date,close
2018-08-23,320.1
2018-08-24,322.82
2018-08-27,319.27
2018-08-28,311.86
2018-08-29,305.01
2018-08-30,303.15
2018-08-31,301.66
2018-09-04,288.95
2018-09-05,280.74
2018-09-06,280.95
2018-09-07,263.24
2018-09-10,285.5
2018-09-11,279.44
2018-09-12,290.54
2018-09-13,289.46
2018-09-14,295.2
2018-09-17,294.84
2018-09-18,284.96
2018-09-19,299.02
2018-09-20,298.33
2018-09-21,299.1
2018-09-24,299.68
2018-09-25,300.99
2018-09-26,309.58
2018-09-27,307.52
2018-09-28,264.77
2018-10-01,310.7
2018-10-02,301.02
2018-10-03,294.8
2018-10-04,281.83
2018-10-05,261.95
2018-10-08,250.56
2018-10-09,262.8
2018-10-10,256.88
2018-10-11,252.23
2018-10-12,258.78
2018-10-15,259.59
2018-10-16,276.59
2018-10-17,271.78
2018-10-18,263.91
2018-10-19,260.0
2018-10-22,260.95
2018-10-23,294.14
2018-10-24,288.5
2018-10-25,314.86
2018-10-26,330.9
2018-10-29,334.85
2018-10-30,329.9
2018-10-31,337.32
2018-11-01,344.28
2018-11-02,346.41
2018-11-05,341.4
2018-11-06,341.06
2018-11-07,348.16
2018-11-08,351.4
2018-11-09,350.51
2018-11-12,331.28
2018-11-13,338.73
2018-11-14,344.0
2018-11-15,348.44
2018-11-16,354.31
2018-11-19,353.47
2018-11-20,347.49
2018-11-21,338.19
2018-11-23,325.83
2018-11-26,346.0
2018-11-27,343.92
2018-11-28,347.87
2018-11-29,341.17
2018-11-30,350.48
2018-12-03,358.49
2018-12-04,359.7
2018-12-06,363.06
2018-12-07,357.965
2018-12-10,365.15
2018-12-11,366.76
2018-12-12,366.6
2018-12-13,376.79
2018-12-14,365.71
2018-12-17,348.42
2018-12-18,337.03
2018-12-19,332.97
2018-12-20,315.38
2018-12-21,319.77
2018-12-24,295.39
2018-12-26,326.09
2018-12-27,316.13
2018-12-28,333.87
2018-12-31,332.8
2019-01-02,310.12
2019-01-03,300.36
2019-01-04,317.69
2019-01-07,334.96
2019-01-08,335.35
2019-01-09,338.53
2019-01-10,344.97
2019-01-11,347.26
2019-01-14,334.4
2019-01-15,344.43
2019-01-16,346.05
2019-01-17,347.31
2019-01-18,302.26
2019-01-22,298.92
2019-01-23,287.59
2019-01-24,291.51
2019-01-25,297.04
2019-01-28,296.38
2019-01-29,297.46
2019-01-30,308.77
2019-01-31,307.02
2019-02-01,312.21
2019-02-04,312.89
2019-02-05,321.35
2019-02-06,317.22
2019-02-07,307.51
2019-02-08,305.8
2019-02-11,312.84
2019-02-12,311.81
2019-02-13,308.17
2019-02-14,303.77
2019-02-15,307.88
