,2018-12-10,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-24,2018-12-26,2018-12-27,2018-12-28,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
09:50,1039.97,1054.76,1067.478,1075.4,1048.8319999999999,1031.392,1028.448,1047.28,1025.55,1012.91,971.99,997.88,1019.342,1044.21,1039.34,1025.08,1038.27,1035.09,1069.876,1073.68,1079.464,1066.108,1054.93,1045.51,1063.5,1090.53,1082.61,1095.26,1085.763,1079.0,1077.61,1084.27,1072.03,1069.55,1076.78,1103.545,1114.197,1120.82,1126.9660000000001,1140.74,1097.843,1088.23,1099.613,1112.86,1132.66,1112.785,1116.09
09:51,1038.46,1053.51,1067.96,1074.57,1048.08,1029.58,1028.1,1048.2,1021.913,1015.51,974.38,1001.3,1021.74,1043.708,1038.713,1021.54,1037.013,1035.41,1067.48,1071.095,1079.16,1065.85,1054.94,1044.77,1064.4460000000001,1089.76,1082.11,1093.89,1086.88,1077.41,1078.39,1083.612,1072.03,1068.02,1077.0,1106.058,1114.3,1119.88,1125.99,1138.84,1097.25,1088.17,1099.45,1113.4,1131.595,1113.588,1115.6
09:52,1035.89,1054.97,1066.943,1073.69,1049.55,1030.88,1029.68,1048.097,1020.91,1015.3969999999999,975.37,997.81,1019.2589999999999,1046.6589999999999,1036.01,1021.85,1036.277,1036.34,1068.703,1071.638,1079.736,1064.5,1055.0,1045.51,1063.548,1089.85,1083.655,1094.57,1086.57,1077.91,1077.5230000000001,1083.781,1071.9,1068.392,1075.61,1106.49,1114.17,1119.37,1130.01,1137.82,1097.86,1088.41,1099.427,1113.39,1131.79,1111.714,1116.37
09:53,1033.68,1054.057,1066.92,1071.596,1051.18,1026.56,1030.24,1048.43,1019.115,1015.17,973.05,998.31,1019.535,1047.452,1036.593,1020.75,1037.84,1035.928,1066.09,1073.5819999999999,1081.354,1064.011,1056.22,1046.225,1064.56,1089.099,1084.745,1095.3310000000001,1086.69,1076.805,1076.98,1082.42,1071.89,1067.2,1075.05,1106.108,1113.31,1119.75,1127.65,1137.92,1096.14,1089.03,1100.53,1113.82,1131.0,1112.234,1115.72
09:54,1035.826,1053.818,1067.09,1069.51,1052.31,1027.46,1031.14,1052.715,1019.57,1011.95,974.99,997.52,1018.495,1047.213,1037.2060000000001,1021.78,1039.0,1036.0,1064.88,1074.01,1080.9189999999999,1064.01,1055.02,1045.497,1064.0,1087.29,1084.87,1095.21,1086.77,1077.32,1076.4389999999999,1082.24,1069.549,1068.242,1076.97,1106.46,1114.25,1119.19,1129.664,1137.52,1096.588,1088.62,1099.75,1114.677,1131.431,1112.16,1115.65
09:55,1037.493,1054.008,1066.6,1069.7060000000001,1053.265,1027.654,1031.41,1052.98,1024.88,1012.925,977.37,994.91,1018.44,1046.518,1036.0,1022.0,1037.56,1036.685,1065.317,1073.869,1080.508,1062.45,1054.769,1046.028,1063.011,1087.8139999999999,1085.19,1094.213,1087.75,1076.597,1073.71,1082.493,1070.89,1067.51,1076.323,1107.51,1114.6,1119.69,1129.06,1135.2,1096.508,1089.39,1099.8,1114.473,1131.16,1113.1,1115.32
09:56,1037.62,1054.77,1067.49,1070.535,1051.345,1028.0,1029.32,1054.547,1028.0,1012.74,974.87,995.96,1018.38,1045.24,1037.95,1023.3,1037.9,1039.08,1064.78,1073.04,1081.3039999999999,1062.36,1055.74,1044.888,1063.06,1089.16,1087.53,1093.0,1088.86,1077.2939999999999,1072.007,1083.28,1070.15,1067.83,1076.0,1106.769,1112.31,1119.55,1129.5,1136.502,1098.02,1089.15,1097.82,1114.7,1131.32,1114.21,1115.1
09:57,1039.836,1053.45,1069.2,1071.07,1052.104,1028.15,1029.798,1055.26,1027.92,1012.495,974.28,994.7589999999999,1020.34,1047.44,1038.838,1021.355,1036.81,1040.142,1065.51,1071.51,1080.945,1063.15,1056.22,1044.42,1063.0,1088.394,1086.703,1093.09,1089.848,1076.0,1072.8239999999998,1084.33,1071.91,1067.7,1075.91,1106.443,1112.07,1119.79,1130.383,1134.404,1097.79,1088.638,1099.0,1114.54,1131.67,1114.5710000000001,1114.61
09:58,1038.28,1052.52,1068.79,1069.5,1054.24,1029.808,1030.662,1057.29,1028.73,1013.7610000000001,974.54,994.465,1021.3380000000001,1046.29,1037.39,1021.61,1035.84,1040.22,1064.69,1072.0839999999998,1080.132,1063.61,1056.705,1042.8,1063.47,1089.058,1087.2830000000001,1093.43,1091.4,1076.86,1071.6,1087.529,1072.08,1067.0,1075.56,1107.09,1111.11,1122.63,1127.433,1133.9,1098.4289999999999,1089.77,1098.22,1114.55,1131.95,1115.322,1114.07
09:59,1035.115,1052.922,1069.5,1069.1,1053.767,1029.33,1031.02,1056.13,1028.34,1013.25,978.39,993.16,1022.64,1047.83,1038.59,1022.94,1036.15,1041.11,1066.33,1074.6789999999999,1080.66,1062.9,1057.29,1043.66,1063.628,1088.79,1087.12,1093.75,1090.445,1076.92,1071.38,1087.77,1071.64,1067.59,1075.86,1106.53,1112.4180000000001,1122.215,1126.995,1132.91,1099.35,1090.2,1097.52,1115.28,1132.5,1114.09,1114.12
