,2018-12-11,2018-12-12,2018-12-17,2018-12-20,2019-01-03,2019-01-04,2019-01-16,2019-01-29,2019-02-04,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13
2 hr,44.375033333333334,44.98544166666666,42.9266,40.79271666666666,39.34555000000001,41.68449166666668,45.87463333333333,44.72884166666668,49.798091666666686,46.68691666666667,42.60877499999999,42.22150833333333,43.548475,44.39899166666668,45.88036666666666
2.5 hr,44.27045333333335,44.98544666666665,42.956846666666664,40.80555333333332,39.37305333333335,41.64748666666667,45.87661999999999,44.79028000000003,49.852986666666695,46.67354666666667,42.6697133333333,42.141879999999986,43.48538666666666,44.365100000000005,45.90315999999999
20 day,42.17199999999999,42.54,43.1035,43.2975,42.0295,41.86300000000001,42.31250000000001,44.82100000000001,46.316500000000005,46.732,46.63000000000001,46.492000000000004,46.418000000000006,46.372499999999995,46.352999999999994
20 min,44.358000000000004,44.94900000000001,42.7911,40.81634999999999,39.1194,41.674499999999995,45.671899999999994,44.419650000000004,49.51805,46.848400000000005,42.58525,42.251400000000004,44.147149999999996,44.46199999999999,45.6243
200 day,58.419725,58.343525,58.065149999999996,57.7165,56.51577499999999,56.37772499999999,55.52852499999999,54.941825,54.6795,54.555,54.49629999999999,54.43069999999999,54.39594999999999,54.35914999999999,54.33574999999999
25 min,44.39308,44.95540000000001,42.79388000000001,40.881479999999996,39.14044,41.67668,45.689519999999995,44.45572,49.55080000000001,46.84692,42.5694,42.23908,44.14396000000001,44.475999999999985,45.63036
3 hr,44.23115555555557,44.97713888888886,43.02429444444445,40.82756111111111,39.39949444444447,41.64617222222222,45.88627222222222,44.81152222222226,49.883283333333374,46.71176111111111,42.657227777777756,42.11535555555553,43.422205555555564,44.320694444444456,45.87163333333332
3.5 hr,44.2379619047619,44.931747619047584,43.119023809523796,40.82199047619046,39.42336666666671,41.62301428571427,45.89087619047619,44.864390476190515,49.92244285714286,46.73721428571427,42.621366666666646,42.078552380952345,43.36674285714288,44.276776190476205,45.80041428571428
30 day,46.47433333333332,46.20166666666666,45.01499999999999,43.81366666666666,42.22666666666667,42.30499999999999,42.945333333333345,43.51166666666667,44.34766666666666,44.854,45.025999999999996,45.10033333333333,45.21966666666667,45.31533333333333,45.432333333333325
30 min,44.43906666666667,44.95650000000001,42.79846666666666,40.90456666666667,39.1579,41.6724,45.70886666666666,44.50443333333333,49.581166666666675,46.838766666666665,42.54650000000001,42.23223333333335,44.10063333333334,44.48099999999999,45.638633333333345
4 hr,44.24240000000002,44.89844999999995,43.253937499999964,40.785712499999995,39.440800000000046,41.58434166666665,45.87702499999999,44.927158333333374,49.96819166666667,46.74710833333332,42.59266249999996,42.032712499999974,43.30143333333338,44.24631666666668,45.73673749999998
4.5 hr,44.27282962962965,44.85338888888884,43.3423148148148,40.76055555555556,39.463700000000046,41.52388518518516,45.875662962962956,44.995192592592645,50.00779999999999,46.77642592592591,42.604862962962926,42.02671851851849,43.21671481481485,44.23493333333336,45.678688888888864
