,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-21,2018-12-26,2018-12-31,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-18,2019-01-22,2019-01-24,2019-01-25,2019-01-28,2019-01-30,2019-01-31,2019-02-05,2019-02-07,2019-02-08,2019-02-12
5 day,1851.65,1850.252,1840.4180000000001,1834.9440000000002,1817.646,1801.06,1716.8280000000002,1679.056,1695.226,1708.1739999999998,1708.1239999999998,1707.3220000000001,1700.2220000000002,1685.78,1688.6219999999998,1678.2900000000002,1711.3059999999998,1714.5259999999998,1746.7459999999999,1762.284,1772.952,1807.7940000000003,1815.2220000000002,1850.3440000000003,1876.8400000000001,1883.666,1883.074
5 hr,1854.7668199999991,1869.0460033333331,1831.420533333335,1812.9444533333337,1756.065586666666,1782.0468566666664,1653.2033033333332,1677.1036166666663,1724.523813333335,1668.5173766666676,1726.1747533333328,1719.310446666668,1698.0042499999988,1661.296316666665,1674.1695133333326,1665.0658866666663,1764.9916700000006,1712.2615333333329,1792.9917366666657,1816.9417366666657,1820.035173333334,1820.0946899999997,1835.3104266666667,1905.2893233333311,1870.1268966666664,1874.4333066666677,1890.7997999999993
5 min,1852.5366,1857.834,1832.464,1809.7050000000004,1736.7405999999999,1771.4240000000002,1632.8564,1702.284,1717.1922,1664.75,1717.0736000000002,1713.5936000000002,1686.4814000000001,1649.904,1676.2318,1668.946,1757.593,1702.784,1796.0100000000002,1801.3310000000001,1812.3700000000001,1819.2810000000002,1833.846,1903.0948,1875.095,1869.0,1896.708
5.5 hr,1855.8386181818173,1870.385018181819,1832.0823727272748,1814.251372727273,1757.2652666666665,1780.3587151515146,1655.7594484848476,1673.9750666666666,1724.8410000000022,1668.6493303030309,1725.0430151515147,1718.6165696969708,1698.6654363636346,1659.9708848484831,1673.4613090909083,1665.0483545454545,1764.8452727272736,1714.9021757575758,1792.3001242424239,1818.0347606060595,1818.629806060607,1819.5233878787878,1835.1540848484844,1905.8387181818161,1872.0441939393936,1874.3033424242435,1888.8604484848477
50 day,1859.1896000000002,1856.5284000000001,1853.6580000000001,1850.3482000000001,1846.4706000000003,1843.7822000000003,1834.0834000000002,1828.7074000000002,1821.9862,1817.3335999999995,1815.1387999999997,1812.7751999999998,1811.4419999999998,1808.3411999999998,1806.4715999999999,1804.0287999999998,1788.1033999999993,1783.2937999999995,1774.5777999999998,1771.8689999999997,1770.0153999999998,1766.5964,1765.4751999999999,1769.7643999999998,1774.9546,1776.3275999999998,1777.6522
50 min,1863.08226,1853.7508599999999,1833.98044,1805.9449000000004,1721.5771199999997,1773.36348,1634.5520800000006,1697.2836399999997,1719.6516199999999,1663.26268,1719.6189000000002,1717.0831800000008,1693.66114,1653.49822,1682.4684399999999,1670.1546199999993,1759.0913200000002,1698.9125400000003,1799.1862799999994,1804.6689399999993,1816.2792000000002,1826.4787000000008,1832.3882799999994,1908.9247999999998,1870.5835400000003,1868.9907600000006,1892.2744599999996
55 min,1862.5738727272726,1853.3485999999998,1833.8658363636364,1805.654272727273,1721.9922909090906,1772.7570181818182,1635.8226727272736,1696.6297999999997,1719.9225636363635,1663.1144181818183,1720.1982181818184,1716.7578909090917,1694.3826000000001,1653.370745454545,1682.2996909090907,1670.1551636363629,1759.1348545454548,1698.7163090909096,1799.5836545454536,1804.6833636363633,1816.8147454545456,1826.773727272728,1832.4673090909087,1909.0977636363632,1870.1896363636367,1868.8354363636367,1891.9728727272723
6 hr,1856.806349999999,1871.9117805555563,1833.9359666666678,1814.5993750000011,1758.6896861111109,1778.0416472222216,1658.6996638888875,1671.1197166666666,1725.5765805555575,1669.6138749999996,1723.0295777777776,1717.7799111111128,1699.5592388888876,1658.693141666665,1672.0328749999996,1665.0304250000004,1763.9031777777777,1717.8287861111114,1791.8197472222216,1818.9617111111106,1816.1213194444451,1819.1138388888887,1834.6841916666674,1906.355516666665,1873.4174277777768,1873.5817250000011,1887.9488666666653
6.5 hr,1857.0368589743584,1872.2637538461552,1835.6384692307709,1813.9797948717958,1759.8990974358971,1775.8225615384608,1661.6943282051277,1668.6789487179478,1726.1597435897454,1671.9450358974357,1720.7792384615384,1717.7817641025663,1702.0333769230765,1657.8635538461526,1670.20551025641,1665.0255538461538,1762.549371794872,1720.4922692307691,1790.7751820512817,1819.4033871794866,1813.9114948717959,1819.4667307692312,1834.6212589743607,1906.1937692307677,1874.2036564102552,1873.8357333333354,1887.0927871794863
60 day,1873.7871666666665,1873.2103333333334,1871.9096666666667,1869.9156666666668,1866.4453333333333,1863.3233333333333,1849.8886666666667,1839.3343333333335,1826.2946666666664,1818.7543333333333,1815.6985,1813.0538333333336,1811.3568333333335,1809.1531666666667,1806.9891666666665,1804.5651666666665,1795.0819999999992,1793.0649999999994,1792.762833333333,1793.2859999999996,1793.7121666666665,1792.3274999999996,1791.272833333333,1789.6831666666662,1786.4866666666665,1785.3774999999996,1784.4429999999998
70 day,1877.7039999999995,1876.3411428571426,1875.0227142857143,1873.807857142857,1871.3795714285714,1869.4882857142857,1861.523,1854.683,1846.503,1839.0792857142853,1835.6334285714283,1832.1592857142857,1828.1508571428571,1823.5815714285716,1819.2005714285713,1814.581714285714,1798.4269999999997,1796.1195714285711,1795.6842857142854,1795.6132857142854,1795.6457142857141,1794.8845714285712,1795.1859999999997,1797.145714285714,1800.372571428571,1801.8051428571425,1803.7517142857141
80 day,1881.3354999999997,1881.5288749999995,1881.2097499999995,1880.0729999999996,1877.8545,1876.2859999999996,1867.5976249999997,1860.4982499999992,1852.8352499999994,1847.504124999999,1845.5264999999988,1843.412624999999,1841.0481249999993,1838.1341249999998,1835.147375,1832.3365,1818.0289999999998,1814.9536249999996,1809.9927499999994,1807.7202499999996,1805.5251249999994,1801.5036249999994,1800.2462499999995,1799.3083749999992,1801.9776249999995,1802.7766249999993,1804.2602499999998
90 day,1888.352555555555,1886.4241111111105,1883.726555555555,1880.7171111111106,1877.3228888888884,1875.4009999999994,1869.7313333333327,1865.6379999999992,1860.7345555555548,1855.9892222222213,1853.9248888888878,1851.4373333333322,1848.7227777777766,1845.4501111111103,1842.4871111111104,1839.3131111111104,1828.7788888888879,1826.8683333333327,1824.4382222222216,1823.1707777777774,1822.3134444444438,1819.9757777777772,1818.6987777777772,1815.6954444444434,1813.9969999999992,1812.7424444444437,1810.4589999999994
Tomorrow,1856.15,1833.07,1807.14,1739.52,1769.42,1736.63,1616.83,1717.8,1721.7,1717.55,1711.82,1686.92,1649.49,1677.33,1665.89,1692.88,1708.98,1744.31,1802.2,1813.6,1808.8,1832.81,1836.96,1906.93,1871.09,1865.0,1919.97
