,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-26,2018-12-31,2019-01-02,2019-01-07,2019-01-11,2019-01-16,2019-01-22,2019-01-23,2019-01-28,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
2 day,168.1438,169.29885000000002,167.49655,164.00650000000002,164.30025,162.78175,158.1815,151.3508,156.3145,157.1559,147.4625,152.39135,153.34725,154.39775,152.95395,156.3593,165.13664999999997,165.76895,171.97735,173.46595000000002,170.30995000000001,169.92000000000002,170.16,170.535,170.49,170.61
2 hr,169.94474166666674,170.46980833333333,166.25927499999995,164.22835833333335,165.69555,162.34740833333325,157.1131249999999,153.94460833333332,157.33456666666672,157.75652499999998,147.27000833333335,152.10524999999998,155.12680000000003,153.42859166666668,153.3295666666667,155.91150000000002,166.7844916666666,166.31973333333335,174.15862500000006,174.07846666666663,170.31834166666658,169.72303333333335,170.60692499999993,170.70299999999997,170.84377499999997,170.246075
2.5 hr,170.2672266666668,170.5793266666667,166.3847266666666,164.37424666666666,165.83824666666663,163.1571399999999,157.10769999999994,153.64936666666674,157.43737333333337,157.90850666666668,147.21666000000013,152.03156666666666,155.12887333333336,153.6206666666667,153.2834666666667,155.87768666666668,166.83883333333333,166.4216666666667,174.04368000000002,174.1194266666666,170.24977333333322,169.74665999999996,170.57255999999998,170.7355533333333,170.88460666666666,170.2055
20 day,178.02937500000002,176.96992,175.90847000000002,174.54083500000002,173.17370000000003,171.93053000000003,170.92733500000003,167.49406000000005,164.27736,163.24877,158.377165,155.107685,152.99873499999998,152.11204,152.27086,152.599945,153.32085500000002,154.53216000000003,156.98364500000002,158.15313,159.89421,160.78373,161.86026,162.74845,163.57453500000003,164.33582
20 min,169.62875000000003,170.92125000000004,165.57280000000003,163.45654999999996,166.34535000000002,160.82725000000002,156.87780000000004,155.75555,157.19750000000002,157.22864999999996,148.03599999999997,152.30695000000003,154.89325000000002,153.29519999999997,153.65815,155.91635,166.54754999999997,166.53725000000003,174.00759999999997,174.14225000000002,170.0195,169.51950000000002,170.7511,170.22684999999998,170.92525000000003,170.20229999999998
200 day,192.44966000000014,192.42351750000012,192.3855075000001,192.33387150000007,192.28983550000004,192.22074900000004,192.13952650000002,191.7506605,191.446198,191.35567600000002,190.9682975,190.68213200000002,190.49526999999998,190.2896765,190.22671700000004,190.010527,189.8478895,189.7991005,189.79197,189.84327750000003,189.9300895,189.97126250000002,190.0169285,190.06840199999996,190.108496,190.1277775
25 min,169.61180000000002,170.82736000000006,165.54492000000002,163.46743999999998,166.19748000000004,160.7478,157.02968,155.54783999999998,157.20216,157.17791999999997,148.04747999999998,152.32124000000005,154.90508000000005,153.2722,153.6714,155.92888,166.56427999999997,166.53444000000002,174.05635999999998,174.15808,170.05239999999998,169.50444,170.75808,170.33816,170.91964,170.23860000000002
3 hr,170.4876222222223,170.5658277777778,166.48746111111103,164.60874444444443,166.03268888888888,163.66999444444434,157.27245,153.2690166666667,157.58535555555554,157.98695555555557,147.27147777777785,152.03159444444444,155.09630555555552,153.7423166666667,153.16718888888894,155.7716944444445,166.93191111111108,166.50470555555563,173.87677222222223,174.1150611111111,170.1999388888888,169.81324999999995,170.50123333333332,170.7517277777778,170.92267777777772,170.1804166666667
3.5 hr,170.55956190476195,170.5848619047619,166.53990476190472,164.86963809523803,166.18716190476192,164.12786190476177,157.41075238095235,153.00964285714284,157.7299095238095,157.9835523809524,147.29038571428578,152.08702857142856,155.06289999999998,153.9198380952381,153.0669666666667,155.66017619047628,167.06985714285716,166.60469523809533,173.84212380952386,174.12221904761904,170.14815714285703,169.91316190476184,170.43683809523816,170.74588571428572,170.94069047619044,170.19580000000005
30 day,187.69570333333334,186.31468333333336,184.5682066666667,182.65948333333336,181.30899000000002,179.98138000000003,178.44691333333333,172.88908666666666,169.46776000000003,168.35619333333338,164.43999333333335,161.52649,158.83603333333335,156.5043666666667,156.02077333333335,154.67421333333334,154.20954,154.22447666666667,155.14420000000004,155.92452000000003,157.18846333333337,157.65336000000005,158.16427000000004,158.60139333333333,159.05321,160.01445333333334
30 min,169.56050000000002,170.77673333333334,165.5957666666667,163.47763333333336,166.07286666666673,160.72466666666665,157.08656666666667,155.3322,157.22629999999998,157.13006666666664,147.99923333333334,152.30296666666666,154.92310000000003,153.25789999999998,153.67316666666665,155.93423333333334,166.60089999999994,166.50886666666668,174.10866666666664,174.16829999999996,170.07336666666663,169.4894666666667,170.7818333333333,170.42626666666666,170.89423333333335,170.26033333333334
4 hr,170.6082791666667,170.6161166666667,166.55835,165.21913749999996,166.24465833333335,164.45353333333327,157.5670250000001,152.78641666666664,157.7772958333333,157.8888791666667,147.29513750000007,152.13969583333335,155.02357916666662,154.0410708333334,152.9436083333334,155.54864166666667,167.2144125,166.70604166666678,173.86737916666672,174.1626125,170.07550416666658,169.94532499999997,170.36707916666668,170.7638458333333,170.9255708333333,170.20640000000006
4.5 hr,170.65336296296297,170.72711851851852,166.62204814814822,165.49224814814812,166.1767111111111,164.6389259259259,157.79253703703714,152.40182592592586,157.76521481481473,157.85004074074072,147.25917777777778,152.14495555555553,155.01957777777776,154.1361111111112,152.90748148148154,155.46416296296297,167.35438148148154,166.82805925925933,173.91438888888894,174.2719629629631,169.99936666666656,169.91506296296288,170.3242962962964,170.76511111111108,170.86388148148143,170.19429629629636
40 day,194.9862625,193.73095750000002,192.3633,191.0855575,189.77922500000003,188.3107025,186.68951750000002,181.855355,177.57274,175.99134,171.7015125,166.56852999999998,163.769785,161.5196875,160.95062750000002,159.59668500000004,158.28481250000004,157.82926750000004,157.68040500000006,157.82354000000004,157.91940250000005,157.94570750000005,157.96246000000005,158.09763000000004,158.28663500000005,158.41311750000006
45 min,169.57675555555556,170.6915111111111,165.79817777777777,163.66217777777774,165.71893333333338,160.70639999999997,157.30815555555554,154.8209333333333,157.19391111111113,157.15117777777775,147.98239999999998,152.25159999999997,155.01840000000004,153.2254666666667,153.6356888888889,155.9374666666667,166.64539999999994,166.44251111111117,174.18586666666664,174.18544444444439,170.17457777777778,169.58388888888888,170.7937555555555,170.53975555555553,170.7867333333333,170.24293333333338
5 day,169.38147999999998,168.6307,168.03126,166.90410000000003,166.39427999999998,164.75928,161.94734,153.83016,154.16274,156.37126,150.1639,150.96844000000002,152.16732,154.13686,154.30614,154.13486,159.40225999999998,161.14677999999998,168.00736,169.79768,171.61408,171.39636000000002,170.88714000000002,170.22397999999998,170.34199999999998,170.344
5 hr,170.69312666666664,170.77436333333333,166.6765466666667,165.7366966666666,166.07964333333337,164.7961299999999,158.0271533333334,151.97549333333328,157.71554999999995,157.8269533333333,147.19666999999998,152.15103,155.01895333333334,154.25798333333339,152.93594000000007,155.39299666666665,167.43241000000006,166.93403333333342,173.98592666666667,174.3035533333334,169.9512833333332,169.90080333333324,170.3097800000001,170.81852999999995,170.80786999999995,170.19941666666676
5 min,169.27100000000002,170.87800000000001,165.677,164.06640000000002,166.25300000000001,161.136,156.79680000000002,156.90939999999998,157.04260000000002,157.6762,147.9108,152.21859999999998,155.0258,153.023,153.7342,156.08800000000002,166.576,166.6224,174.052,174.15019999999998,170.106,169.4274,170.81040000000002,170.091,170.93040000000002,170.203
5.5 hr,170.66727575757574,170.82981212121211,166.70210606060604,165.87402424242418,166.03895757575756,164.9593575757575,158.27844545454556,151.56637878787876,157.63425757575754,157.69852121212122,147.30094242424238,152.19287575757576,154.99457272727273,154.346693939394,153.01078484848486,155.3409272727273,167.50908181818184,167.07000303030307,174.03448181818183,174.28688484848493,169.9349848484847,169.9400121212121,170.2889757575759,170.88784242424245,170.78704242424237,170.2549575757576
50 day,200.33440800000005,199.18866800000004,197.87862400000003,196.618882,195.47498600000003,194.23825,192.859142,188.95748,185.20790800000003,184.065828,179.644676,174.660496,170.79518399999998,167.91296400000002,166.811688,164.01627800000003,162.34205800000004,161.804166,161.45745400000004,161.40687000000003,161.31070200000005,161.22938600000006,161.04384200000007,160.87178000000006,160.73143400000006,160.45922200000007
50 min,169.63444000000004,170.63344000000004,165.86886,163.73317999999998,165.62834000000004,160.75683999999995,157.36401999999998,154.73529999999994,157.19484000000003,157.15515999999997,147.93455999999998,152.25133999999997,155.03400000000005,153.18826,153.59344,155.92562,166.62051999999997,166.41246000000007,174.17427999999995,174.1844399999999,170.19771999999998,169.6065,170.77993999999993,170.56627999999998,170.76355999999998,170.23878000000002
55 min,169.66589090909093,170.59623636363642,165.91603636363635,163.78472727272722,165.55425454545454,160.72349090909086,157.37101818181813,154.660309090909,157.21223636363638,157.17565454545453,147.88814545454542,152.24389090909088,155.0567454545455,153.15616363636366,153.56072727272723,155.91910909090907,166.6102545454545,166.3896363636364,174.16879999999995,174.1928181818181,170.20074545454546,169.62163636363633,170.76612727272718,170.58343636363637,170.77154545454545,170.2379818181818
6 hr,170.68053055555552,170.9223222222222,166.74081111111113,165.9774555555556,166.01529999999994,165.12508333333324,158.5221527777779,151.23984166666665,157.61631666666665,157.51542777777777,147.30501111111104,152.25947500000004,155.01177777777778,154.42165833333337,153.13296666666673,155.3370916666667,167.48043611111117,167.17635833333335,174.0278388888889,174.20345555555568,169.90855833333322,169.97821944444442,170.28428055555568,170.93234722222223,170.80118333333328,170.28030555555557
6.5 hr,170.61151538461533,170.88034615384612,166.8049128205129,166.00571538461546,165.97441025641024,165.18718717948713,158.69974871794886,151.05415641025644,157.67771025641025,157.3121128205128,147.28961538461533,152.32642564102568,155.01364102564105,154.51996923076928,153.24643076923084,155.27969743589748,167.32981794871802,167.19295128205133,174.0267666666667,174.20997435897442,169.85120769230764,169.98933846153844,170.29251538461554,170.9986230769231,170.76137692307685,170.30267948717952
60 day,203.587275,202.81506833333336,201.94993333333335,201.03178833333334,200.1881866666667,199.20685666666668,198.13499666666667,194.58279000000002,190.9965766666667,189.84688666666668,185.96017,181.69340333333332,178.38994999999997,175.1636916666667,174.16095666666666,171.18495833333336,168.43451166666674,167.76673333333338,166.79555666666673,166.21504666666672,165.03877500000002,164.64026333333337,164.29828000000006,164.0345766666667,163.7047016666667,163.3333116666667
70 day,206.12848142857146,205.32313571428574,204.46110142857148,203.6306028571429,202.85591714285718,202.04964857142858,201.10738142857144,198.05965714285716,195.46942,194.59680571428572,191.46789857142858,187.41248714285715,184.15598285714285,181.2171128571429,180.33962285714287,177.70967000000005,175.28155000000007,174.54147571428575,173.17009571428576,172.59965428571434,171.28383000000002,170.69570571428576,170.11341285714292,169.4421628571429,168.73214142857148,168.22563428571434
80 day,207.53168000000005,206.98700625000006,206.37945750000003,205.75261750000004,205.14683125000002,204.46826125,203.71708125,201.0950975,198.47675625000005,197.67514125000002,194.90212250000002,191.4673775,189.023525,186.62925750000005,185.81109625000002,183.21183500000004,180.71537875000007,180.00604500000003,178.71603875000005,178.20115000000004,177.04409875000002,176.46598500000005,175.84670875000006,175.23046500000004,174.68609625000005,174.09617125000005
90 day,207.5890166666667,207.1833688888889,206.7387366666667,206.27552777777782,205.81797666666668,205.3099511111111,204.74223333333333,202.79084666666668,200.8468888888889,200.22309444444443,197.91132888888887,194.7905266666667,192.37907666666666,190.2195277777778,189.4851077777778,187.28292111111114,185.42437222222227,184.8669500000001,183.80473111111115,183.30229000000008,182.11801444444447,181.49498555555562,180.86590888888895,180.19818222222227,179.58232777777783,179.0030444444445
