,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
2 day,139.0684,138.98885,138.49,136.51,133.64499999999998,131.235,130.16500000000002,130.31,127.83,124.825,130.175,130.63,128.17499999999998,128.725,130.885,130.91500000000002,131.36,131.94,132.055,131.275,132.54500000000002,132.85,134.06,134.175,133.795,134.58499999999998,135.57999999999998,135.95499999999998,134.75,136.70499999999998,139.625,140.73000000000002,144.45999999999998,145.415,145.61,146.245,147.16,148.505,149.98000000000002,149.305,148.91
2 hr,140.02107500000005,140.33585833333328,137.46620000000001,135.03617499999996,132.981175,130.26618333333334,130.97053333333332,129.9604166666667,126.65974166666665,125.24623333333344,130.3924,129.97634166666668,126.87135000000008,130.91332500000001,130.98401666666658,130.87355833333334,131.18191666666664,132.0447833333333,131.48985000000005,131.11999999999998,133.16013333333333,132.58263333333338,134.87753333333336,132.51101666666665,134.300375,134.6026,136.15095833333336,135.2991083333334,133.93240833333329,140.13197499999993,138.73718333333335,140.70730833333334,145.1899333333333,145.64528333333334,145.19912500000004,146.07389166666664,147.18484166666667,149.52489166666672,150.7125333333334,148.6623916666667,149.36338333333327
2.5 hr,139.8590933333334,140.5932133333333,137.50636666666665,135.08490000000003,133.20469333333338,130.39362666666668,131.40994666666668,129.95930666666675,126.89841999999997,125.03692666666677,130.44741333333332,130.08729333333332,126.92268000000006,130.94070666666673,131.1515866666666,130.7841333333333,131.17282666666662,131.8261066666666,131.40217333333334,131.13512,133.0478066666667,132.52022666666667,134.87140000000002,132.47711333333334,134.24141999999998,134.5326933333333,136.18368666666672,135.24560666666667,133.95682,139.90947999999997,138.80030000000005,140.73270000000005,145.12898,145.6978466666667,145.21040666666664,146.02190666666658,147.16005333333334,149.5128133333333,150.75276666666664,148.7709266666667,149.24876666666663
20 day,143.00798,142.77928000000003,142.494235,142.13962500000002,141.442295,140.65627,140.041365,139.56963000000002,138.824055,137.11036,134.74981499999998,133.92753499999998,132.90925,132.33139,131.73941,131.37734,131.001385,130.6645,130.30799999999996,129.94299999999998,129.833,129.97999999999996,130.22249999999997,130.36649999999997,130.819,131.459,131.8945,132.183,132.42149999999998,132.83600000000004,133.32100000000005,134.09150000000005,135.44900000000004,136.161,136.87400000000002,137.5915,138.3845,139.3145,140.221,140.9905,141.82699999999997
20 min,140.35515,140.0166,138.02145000000002,134.83125,131.9855,130.3902,130.37539999999996,130.23385000000002,125.66425,126.88320000000002,130.6561,129.70525,126.71400000000001,131.07405,130.7948,131.1204,131.0787,132.39305,131.59374999999997,130.96870000000004,132.84,132.70085,134.95810000000003,132.76860000000002,134.324,134.63560000000004,136.16004999999998,135.28900000000004,133.92315000000002,139.5697,139.11195000000004,141.2927,145.25345,145.52294999999998,145.43310000000005,146.17849999999999,147.29824999999997,149.50225,150.2443,148.262,149.62649999999996
200 day,132.89788550000003,133.02150600000002,133.14785750000001,133.2648,133.37092300000003,133.45460950000003,133.54117,133.628657,133.67967850000002,133.7642585,133.99165299999999,134.06553999999997,134.1329715,134.22023549999997,134.300011,134.3994895,134.5189655,134.6197145,134.7252755,134.82954800000002,135.038493,135.14174050000003,135.2429935,135.330307,135.4426285,135.5529565,135.6643475,135.772813,135.87535400000002,136.004896,136.1285135,136.2562065,136.5371365,136.68959900000002,136.84148100000002,137.00285350000001,137.16585500000002,137.329009,137.4911045,137.65051200000002,137.8139745
25 min,140.42832,140.05248,137.92296,134.856,131.98940000000002,130.36036000000001,130.30851999999996,130.36068,125.62979999999999,126.75476,130.64528,129.6738,126.71148000000001,131.05184,130.82103999999998,131.11584000000002,131.11716,132.36459999999997,131.59439999999998,130.99792000000002,132.90320000000003,132.73148,134.94868000000002,132.71648000000002,134.33812,134.63476000000003,136.11556,135.29060000000004,133.94268,139.63096000000002,139.03236000000004,141.25848,145.29172,145.52372,145.35888000000006,146.17124,147.27339999999995,149.5074,150.28624,148.29548,149.57348
3 hr,139.84935000000002,140.72722222222217,137.43169444444436,135.14772222222223,133.4428444444445,130.53407222222225,131.71676666666673,129.99188333333333,127.00043333333328,124.78359444444453,130.49245555555552,130.11563333333334,126.95697777777785,130.96451666666673,131.25536666666656,130.66652222222214,131.18137777777775,131.706261111111,131.32502222222223,131.14181666666673,133.02536111111115,132.49402222222227,134.91574444444447,132.45007222222225,134.1422055555556,134.46544444444442,136.20106111111113,135.16152222222223,133.98292777777786,139.81133888888883,138.89998888888894,140.7475444444445,145.05286666666672,145.72919444444443,145.18004444444443,145.99527777777763,147.14581111111116,149.49994444444448,150.77934999999997,148.81640555555558,149.16958888888888
3.5 hr,139.84448571428572,140.79698571428563,137.42686666666665,135.20461428571429,133.65496190476196,130.5193142857143,132.00325238095243,130.02717619047618,127.14014285714285,124.69906666666677,130.4520476190476,130.0729095238095,127.066380952381,130.95439523809532,131.32895238095227,130.53635238095234,131.17703333333327,131.67184285714276,131.2920761904762,131.14533333333333,132.97934285714288,132.51986666666676,134.96116666666668,132.47362857142866,134.04141904761912,134.46453333333332,136.22620476190477,135.11137619047628,134.0029714285715,139.75488571428565,138.97172857142866,140.80986666666675,145.00654761904767,145.75053333333332,145.10066666666665,145.9748666666665,147.14297142857146,149.50317142857142,150.79384285714286,148.86693809523808,149.13054761904758
30 day,142.63542333333334,142.77695000000003,142.83418,142.5526966666667,142.29795000000001,141.96716666666669,141.62451333333334,141.19733333333335,140.46097999999998,139.00232,137.69941666666665,137.15686333333332,136.50651333333332,136.12691,135.82041999999998,135.52103666666665,135.23194999999998,134.85290666666666,134.42465666666666,133.86236,132.97835666666666,132.52383333333333,132.26992666666666,131.96327333333332,131.8258933333333,131.68625666666665,131.5933333333333,131.48399999999998,131.34399999999997,131.49699999999999,131.74266666666668,132.13,133.07333333333335,133.74566666666666,134.5366666666667,135.1736666666667,135.76633333333336,136.44200000000004,137.0866666666667,137.687,138.46900000000002
30 min,140.5067,140.08873333333335,137.87163333333334,134.88653333333335,132.01376666666667,130.33323333333337,130.27276666666663,130.40363333333332,125.69516666666665,126.6003,130.65353333333334,129.6508,126.71526666666668,131.00353333333334,130.8167,131.11436666666668,131.17196666666666,132.34709999999998,131.57086666666663,131.0274666666667,132.9694,132.7502333333333,134.94953333333336,132.6809,134.36253333333332,134.6347666666667,136.0854333333333,135.28830000000002,133.97086666666667,139.68413333333334,138.9748,141.22539999999998,145.31273333333328,145.5318,145.31940000000003,146.1661,147.27616666666663,149.52183333333332,150.32909999999998,148.30556666666664,149.5272333333333
4 hr,139.8344625,140.87314583333327,137.41242083333333,135.2382041666667,133.8854166666667,130.473425,132.20017083333337,130.02455833333332,127.33259583333337,124.6076750000001,130.38402083333332,129.98202499999996,127.1339166666667,130.9096041666667,131.3863499999999,130.46667499999998,131.1178541666666,131.6391416666666,131.26943333333332,131.15017916666667,132.93289583333336,132.5454583333334,134.9809291666667,132.4878750000001,133.9225916666667,134.50450416666666,136.24822500000002,135.04492916666675,134.0141833333334,139.72260416666657,139.12150000000008,140.88080000000002,144.99562499999996,145.722,145.03030416666664,145.96512083333312,147.14909583333335,149.4801375,150.8005541666666,148.9107833333333,149.10506249999997
4.5 hr,139.90943703703712,140.93067777777767,137.4542925925926,135.30411481481488,134.03709259259264,130.49200000000002,132.2942740740741,129.9974148148148,127.60134074074074,124.39327037037044,130.31457777777774,129.93756666666667,127.21014074074075,130.8575259259259,131.39944444444438,130.3848481481481,131.07085185185178,131.6300703703703,131.2679185185186,131.1527592592593,132.92725925925924,132.56958888888892,134.96718888888893,132.53477777777783,133.85056296296304,134.5375481481481,136.23471481481485,135.03629259259264,134.01258888888893,139.64814074074067,139.25388518518525,140.89177777777797,144.9947666666666,145.70031851851857,144.9570296296296,145.9397814814814,147.15961481481483,149.47252222222227,150.79964444444428,148.9406222222222,149.05831851851858
40 day,142.13742499999998,142.12052,142.01379500000002,141.81312250000002,141.57209500000002,141.25713750000003,140.9360125,140.6524175,140.36489500000002,139.7243175,139.11927249999997,138.86996249999999,138.52712499999998,138.292885,137.97849999999997,137.57448499999995,137.18366249999997,136.83623999999998,136.54363999999995,136.2186175,135.6376475,135.31813499999998,135.1319325,134.968065,134.8215275,134.6879625,134.50243,134.2774925,133.93327,133.7929075,133.62426749999997,133.50037499999996,133.594205,133.76916999999997,133.9376925,134.128,134.34625,134.62875,135.01975,135.41174999999998,135.90349999999998
45 min,140.6018222222222,140.13617777777776,137.7546,134.92088888888887,132.29502222222226,130.17115555555557,130.24419999999995,130.47399999999996,125.87895555555555,126.24686666666669,130.6326222222222,129.6780666666667,126.62664444444448,130.91344444444442,130.90677777777776,131.0512666666667,131.3110666666667,132.2825555555555,131.5419111111111,131.08795555555554,133.13277777777776,132.68893333333332,134.97748888888893,132.6032888888889,134.39384444444445,134.6777777777778,136.09897777777775,135.33331111111116,133.9498888888889,139.87644444444445,138.77920000000003,141.08117777777775,145.29504444444441,145.5877111111111,145.2458888888889,146.1697333333333,147.27819999999997,149.56319999999997,150.4,148.3254,149.45402222222222
5 day,140.369,139.56556,138.73164000000003,137.98736,136.69353999999998,134.85399999999998,133.16400000000004,131.58200000000002,129.692,127.128,127.94600000000003,129.584,129.286,129.58800000000002,129.84799999999998,129.88400000000001,130.14000000000001,131.39000000000001,131.47199999999998,131.546,132.02,132.11599999999999,132.822,133.276,133.69400000000002,134.092,134.78599999999997,134.84999999999997,135.016,136.01399999999998,137.03199999999998,138.074,141.958,143.184,144.352,145.39,146.166,147.00799999999998,147.99200000000002,148.48600000000002,149.058
5 hr,140.0138066666668,140.99649666666656,137.47972666666672,135.4487866666667,134.16709333333336,130.6754700000001,132.3573133333334,130.03375333333335,127.80457000000004,124.18957333333341,130.27636333333328,129.89846000000006,127.19959666666666,130.80620666666667,131.3870133333333,130.3370299999999,131.02079999999987,131.62707999999995,131.25125000000008,131.16155333333336,132.89398999999995,132.6033066666667,134.91817333333336,132.60220666666672,133.81727666666674,134.5566666666666,136.21233666666666,135.04208666666673,134.02030000000005,139.56028999999987,139.34146666666672,140.87283666666676,144.9780366666666,145.69637000000012,144.92278333333334,145.91816666666654,147.1610666666667,149.43596333333338,150.83396999999994,148.94706333333335,149.02462333333338
5 min,140.087,139.6608,138.29160000000002,135.024,132.30599999999998,130.23600000000002,130.6604,130.16119999999998,125.41,127.53779999999999,130.667,130.02399999999997,126.556,131.26600000000002,130.458,131.2686,131.246,132.43699999999998,131.628,130.96200000000002,132.75900000000001,132.792,135.034,132.892,134.364,134.746,136.3654,135.46300000000002,133.97600000000003,139.448,139.7518,141.508,145.23960000000002,145.478,145.5482,146.493,147.435,149.57199999999997,150.443,148.171,149.64579999999998
5.5 hr,140.15586666666672,141.0337424242423,137.5302757575757,135.55063939393943,134.20390303030305,130.92280000000017,132.41833939393945,130.07870909090911,128.06566060606065,123.9946303030304,130.25838484848475,129.81723939393945,127.15157272727275,130.72735151515153,131.37088787878784,130.27075757575747,130.931209090909,131.61431212121207,131.22533333333337,131.18249696969698,132.86179393939395,132.6515484848485,134.81666060606062,132.6784454545455,133.78269393939402,134.60903939393936,136.2047696969697,135.03964848484858,134.078196969697,139.47294545454537,139.4499242424242,140.87740303030307,144.97650303030298,145.6724666666668,144.95259696969697,145.87750303030293,147.1772060606061,149.35083333333336,150.85629090909086,148.97244545454546,149.03465757575765
