,2018-12-11,2018-12-12,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-30,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-13,2019-02-14,2019-02-15
5 hr,62.14668999999998,63.24456000000001,58.12804333333334,58.243946666666716,55.12503333333331,53.215703333333316,52.42715666666664,53.901826666666665,53.84300333333329,51.456656666666674,53.894423333333364,55.21642,56.96014000000002,57.5952166666667,57.45232666666663,56.25591333333331,55.77648666666666,56.79211333333331,59.006353333333344,55.95013999999999,55.13707333333333,56.800449999999984,56.568790000000035,60.22888333333335,59.362026666666694,58.38883333333332,59.199796666666664,59.656379999999956,56.51468666666666,58.1862533333333,56.712119999999956
5 min,61.855999999999995,62.592000000000006,58.010000000000005,56.784000000000006,54.92900000000001,52.497,53.661,53.726,54.266,51.144999999999996,53.91600000000001,55.251,57.13199999999999,57.814,57.557399999999994,56.013,55.782,56.89300000000001,58.93799999999999,55.21,55.552,56.675,57.064,59.870999999999995,59.278,58.6,59.085,59.553,56.943999999999996,57.79639999999999,56.754200000000004
5.5 hr,62.178787878787844,63.27626666666667,58.17909090909096,58.335472727272744,55.2396333333333,53.33976666666666,52.36598181818178,53.902824242424224,53.81158181818181,51.50301515151516,53.82820000000001,55.173300000000026,56.87796060606059,57.595236363636396,57.376206060606044,56.28151515151514,55.735684848484865,56.7848909090909,59.009518181818194,56.08463636363636,55.18890303030304,56.820772727272725,56.51670606060611,60.21690606060606,59.32558787878792,58.399278787878764,59.164072727272725,59.65476363636358,56.46063333333334,58.16502727272725,56.74205151515147
50 day,55.142799999999994,55.37259999999999,56.0408,56.1746,56.31879999999999,56.484399999999994,56.790199999999984,57.22599999999999,57.382799999999996,57.471599999999995,57.60460000000001,57.756,57.965,58.14679999999999,58.34919999999999,58.4908,58.59259999999999,58.757,58.96939999999999,58.935599999999994,58.88579999999999,58.681,58.222,57.94340000000001,57.94000000000001,57.9404,57.9002,57.85320000000001,57.662600000000005,57.53660000000001,57.381
50 min,61.98366,62.84495999999999,57.937900000000006,56.77525999999999,55.26029999999998,52.55000000000001,53.18246,53.69914000000001,54.06046000000002,51.202699999999986,53.89045999999998,55.24907999999999,57.025180000000006,57.80121999999997,57.612899999999996,56.01758000000001,55.844379999999994,56.888200000000005,58.93266,55.162299999999995,55.31335999999998,56.62189999999999,57.048420000000014,60.0483,59.43288000000001,58.46790000000001,59.49976000000002,59.524820000000005,57.03416,58.091519999999974,56.774919999999995
55 min,61.97987272727272,62.8456,57.905090909090916,56.76396363636363,55.25290909090907,52.58881818181818,53.12996363636364,53.68776363636365,54.0554181818182,51.206272727272705,53.88732727272727,55.23698181818181,57.02370909090911,57.80019999999998,57.599454545454535,56.020254545454556,55.847527272727255,56.891545454545465,58.93550909090909,55.135,55.299599999999984,56.630636363636334,57.052818181818196,60.044454545454556,59.434345454545465,58.46498181818181,59.50269090909093,59.509109090909114,57.0339090909091,58.096072727272706,56.7832909090909
6 hr,62.18988611111108,63.31025277777776,58.22236111111116,58.41281111111113,55.371966666666644,53.42903333333333,52.32695555555551,53.92115833333333,53.77897777777777,51.55644722222223,53.74660833333338,55.1020861111111,56.79699722222222,57.60637222222228,57.285886111111076,56.30729999999996,55.72287777777779,56.80451388888889,58.99010555555556,56.246316666666694,55.24262777777779,56.8379027777778,56.483266666666715,60.14192777777778,59.307180555555604,58.41795,59.117775000000016,59.65317499999996,56.444463888888905,58.12706111111112,56.765505555555514
6.5 hr,62.17638461538459,63.30822307692306,58.251587179487196,58.47448205128209,55.456892307692286,53.4934871794872,52.33572307692301,53.928246153846175,53.72869743589743,51.64524615384615,53.63032820512824,55.04138974358973,56.759989743589735,57.57569743589748,57.24170256410255,56.33339230769227,55.73381025641027,56.83142820512821,58.970384615384624,56.415346153846194,55.292033333333364,56.813235897435916,56.49486410256414,59.98968717948718,59.36589743589747,58.44061282051283,59.09033076923077,59.65309999999997,56.528466666666695,58.01611794871795,56.81363846153841
60 day,54.42633333333334,54.64783333333334,55.26466666666667,55.357,55.40716666666666,55.41049999999999,55.44883333333332,55.58933333333332,55.63399999999999,55.639333333333326,55.705000000000005,55.82899999999999,56.04516666666666,56.264999999999986,56.468499999999985,56.65216666666666,56.78716666666666,57.12233333333333,57.51599999999999,57.643333333333324,57.79099999999999,57.923333333333325,58.394666666666666,58.65150000000001,58.67066666666667,58.533,58.46466666666666,58.4125,58.29383333333333,58.203166666666675,58.08883333333334
70 day,53.98142857142857,54.09928571428572,54.55957142857143,54.64528571428571,54.702571428571424,54.72157142857142,54.79099999999999,54.95057142857142,55.016571428571424,55.03142857142857,55.071285714285715,55.11757142857143,55.18742857142856,55.271999999999984,55.36471428571427,55.43542857142856,55.5112857142857,55.660571428571416,55.90042857142856,56.00771428571427,56.170285714285704,56.3422857142857,56.946571428571424,57.584428571428575,57.763000000000005,57.904714285714284,58.072714285714284,58.22414285714286,58.43157142857143,58.495428571428576,58.54085714285715
80 day,53.93075000000001,54.04337500000001,54.336124999999996,54.37724999999999,54.397875,54.38950000000001,54.356125,54.394625,54.439499999999995,54.443625,54.48425000000001,54.53725000000001,54.61250000000001,54.71,54.799625000000006,54.884,54.947874999999996,55.11699999999998,55.32149999999998,55.362874999999974,55.40412499999998,55.46374999999998,55.754,56.160625,56.34837500000001,56.52362500000002,56.69675000000001,56.87850000000001,57.159875000000014,57.30212500000001,57.42975000000001
90 day,53.951111111111125,54.054333333333346,54.27022222222223,54.29600000000001,54.308333333333344,54.288666666666686,54.269444444444446,54.27366666666667,54.281111111111116,54.25788888888889,54.2638888888889,54.28477777777779,54.32944444444446,54.37055555555556,54.41211111111112,54.43111111111112,54.461555555555556,54.592888888888886,54.77188888888888,54.819777777777766,54.86899999999999,54.94288888888889,55.23888888888888,55.57044444444443,55.647555555555556,55.72255555555555,55.812888888888885,55.907000000000004,56.07611111111112,56.14522222222223,56.2128888888889
Tomorrow,62.56,61.39,56.67,55.01,52.48,51.61,54.12,54.22,51.04,53.92,55.24,57.17,57.84,57.56,56.02,55.76,56.75,58.45,55.31,55.58,56.69,57.23,57.38,59.22,58.67,59.2,59.54,60.39,57.76,56.81,NULL
