,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
2 day,118.3416,118.06784999999999,117.66475,117.72945,118.2769,118.97540000000001,120.11875,120.6875,120.458,120.39815,121.00675,121.5555,122.56825,122.54830000000001,121.31605,121.0616,120.5777,120.42304999999999,119.98904999999999,119.82939999999999,119.90425,119.6049,119.6947,120.07385,120.44300000000001,120.54775000000001,120.19855,120.443,120.7024,121.17635,121.32759999999999,120.695,121.0,121.43,122.09,122.11,121.7125,121.3275,121.445,121.885
2 hr,118.83417500000003,118.42533333333331,118.19845000000004,118.58113333333323,119.13895833333329,119.64576666666659,121.06255833333331,121.10607500000008,120.62461666666665,120.31616666666672,121.330875,121.94201666666669,123.51093333333333,122.11183333333328,121.5905666666667,121.05625000000002,120.50859166666672,120.85492500000002,120.08525,120.10014166666663,120.2404,119.67477499999995,120.47214999999998,120.29917500000002,121.07119166666672,120.55282499999997,120.54957500000002,120.92751666666668,120.71455833333331,121.99595,120.96345000000002,120.8434666666667,120.95112500000005,121.80049999999997,122.37161666666665,121.90538333333326,121.45881666666666,121.12977500000008,121.683675,121.91909999999997
2.5 hr,118.87444000000004,118.41068666666666,118.21794666666666,118.54870666666655,119.12906666666662,119.62983333333325,120.9007866666666,121.1975133333334,120.62488666666664,120.36243333333331,121.27801999999998,121.91464666666664,123.52400666666661,122.0811533333333,121.6193666666667,121.07528666666673,120.56253333333336,120.8688666666667,120.0830266666667,120.13963999999997,120.26943333333331,119.66725999999993,120.48084,120.29471333333335,121.08540666666676,120.5526933333333,120.59118666666662,120.89970000000007,120.71839999999999,122.00367999999997,120.9508133333334,120.84600666666678,120.91938666666671,121.77929999999998,122.35224,121.90079333333328,121.4421133333333,121.14728666666667,121.67634666666667,121.9274933333333
20 day,114.97292499999999,115.19808,115.41278,115.64440499999998,115.91285499999996,116.18404499999997,116.51816999999998,116.82835999999998,117.139535,117.75789,118.74811500000001,119.11523499999998,119.511045,119.73896500000004,120.09514000000001,120.22590000000002,120.31875000000002,120.46142000000002,120.68738,120.75083000000002,120.78026499999999,120.699445,120.680985,120.66103000000001,120.65055000000002,120.67599,120.69445,120.69295,120.66401499999999,120.655035,120.53994999999998,120.44392,120.4376,120.48075999999999,120.58882999999999,120.64945499999996,120.71677499999996,120.78329999999998,120.87833499999999,120.98137500000003
20 min,118.85815,118.32860000000001,118.07725,118.51325,119.23709999999998,119.64655,121.28779999999998,120.7678,120.69485,120.02700000000002,121.44829999999999,122.09694999999999,123.44570000000002,122.1286,121.47645000000003,121.17585000000004,120.41900000000001,120.81229999999998,120.01375,120.13709999999999,120.17705000000005,119.62839999999998,120.34845,120.29974999999999,121.06004999999998,120.58799999999997,120.45430000000002,120.97759999999998,120.89745,121.93389999999997,120.98184999999998,120.93700000000004,121.01675000000003,121.75765000000001,122.39750000000001,121.92919999999997,121.55260000000001,121.13349999999998,121.68325000000002,121.93505000000002
200 day,116.60801850000006,116.62276200000004,116.63246200000003,116.64025750000002,116.65621750000003,116.67728900000002,116.70570649999999,116.73256300000003,116.75600350000002,116.80667700000002,116.86163700000003,116.88674950000002,116.92064950000002,116.9497565,116.9957595,117.01457650000002,117.03174550000001,117.04501700000004,117.05887750000005,117.06269550000005,117.07125700000005,117.07789750000003,117.09297700000003,117.10140500000003,117.11279650000004,117.12237000000005,117.12924350000007,117.14350950000005,117.15595800000007,117.17339950000004,117.18555250000004,117.22147800000005,117.24771350000005,117.27780200000002,117.31312950000003,117.34991800000003,117.38112400000001,117.40560800000003,117.43251550000002,117.46246850000001
25 min,118.83840000000001,118.31748000000003,118.08679999999998,118.5206,119.22687999999997,119.65803999999999,121.30419999999998,120.75343999999997,120.69587999999997,120.0212,121.43043999999998,122.09548,123.43828000000002,122.11248000000002,121.47436000000003,121.13388000000003,120.42164000000001,120.79723999999999,120.01660000000004,120.14728,120.16920000000006,119.61992000000001,120.36187999999999,120.3056,121.05763999999999,120.58535999999998,120.45584,120.97995999999999,120.87876,121.95088,120.97728,120.94180000000001,121.01328000000001,121.77912,122.40044000000002,121.93855999999997,121.54087999999997,121.13395999999997,121.67448,121.93364
3 hr,118.91191666666668,118.39124999999996,118.22065555555558,118.5291055555554,119.10976666666663,119.60512777777777,120.79890555555555,121.2680777777778,120.63558333333329,120.3992222222222,121.2052388888889,121.88155555555555,123.52995555555553,122.0449888888889,121.63261666666672,121.07123333333337,120.60402777777782,120.9101555555556,120.08341666666671,120.16857777777778,120.27827222222218,119.66111666666657,120.5028833333333,120.30473333333335,121.10465555555561,120.53790555555555,120.63362777777778,120.87240000000001,120.7228777777778,121.99646666666665,120.94223888888895,120.86656111111121,120.92790000000007,121.74068888888891,122.3569833333333,121.88705000000002,121.43612777777776,121.16272222222223,121.68530000000001,121.92831111111106
3.5 hr,118.94774285714284,118.39598095238092,118.20188571428578,118.52786190476179,119.09639523809521,119.57967142857139,120.70773333333335,121.31399047619047,120.62386190476182,120.44840952380946,121.21419523809524,121.86654761904762,123.50992857142853,122.02780476190476,121.65350952380956,121.0508,120.67683333333336,120.93342380952386,120.08643333333345,120.18988571428574,120.28587619047617,119.63853333333324,120.49406190476189,120.31612857142856,121.10713333333338,120.51593809523814,120.6546285714286,120.83041428571428,120.73468095238098,121.97422857142857,120.94945714285716,120.87300952380961,120.97280476190485,121.69100476190481,122.36124761904757,121.88464285714288,121.42304761904761,121.17526190476191,121.68781428571428,121.92465714285713
30 day,114.06277666666664,114.20088333333332,114.34852333333333,114.52891999999997,114.72873999999996,114.99890999999997,115.30706333333329,115.60290333333329,115.89310999999998,116.44305333333332,117.17470666666665,117.46215666666664,117.77398999999997,118.02767,118.49911666666667,118.71988666666668,118.92332333333334,119.13808666666667,119.54522666666666,119.72379000000001,119.87624666666666,119.94338333333333,120.02518333333335,120.09801999999999,120.18087,120.24509666666667,120.32291666666667,120.43031333333333,120.52111333333332,120.62361,120.67792666666665,120.67842666666665,120.69782666666666,120.72393666666666,120.81061666666665,120.8806333333333,120.90655666666662,120.90201666666664,120.89918999999996,120.85646666666665
30 min,118.81353333333331,118.31163333333338,118.09316666666663,118.52216666666666,119.22006666666663,119.66703333333331,121.30266666666665,120.7604333333333,120.69793333333331,120.03046666666665,121.41419999999998,122.09256666666666,123.43626666666667,122.09906666666669,121.46696666666668,121.1003666666667,120.42213333333332,120.7922,120.01680000000003,120.15573333333332,120.15966666666672,119.63000000000002,120.37426666666666,120.30899999999998,121.05569999999999,120.5811,120.45519999999998,120.97563333333332,120.84963333333333,121.96456666666668,120.97706666666663,120.94123333333336,121.01183333333334,121.79293333333334,122.40886666666667,121.93846666666664,121.53206666666662,121.13263333333332,121.66973333333334,121.93073333333334
4 hr,118.99030833333333,118.40994583333331,118.18995833333344,118.5382124999999,119.08035416666664,119.56194583333328,120.66226249999995,121.35744583333333,120.61034583333327,120.50834999999991,121.20860833333332,121.85534166666666,123.50638333333335,122.04341249999997,121.66227916666668,121.03491666666666,120.74291666666666,120.94660833333337,120.07879166666679,120.1934666666667,120.29540833333337,119.61404166666661,120.47948333333329,120.34087500000001,121.08907916666666,120.52817083333338,120.67205833333335,120.79562083333332,120.73286666666672,121.96313333333333,120.95654583333335,120.88057916666672,121.00304583333345,121.65842083333334,122.34406250000002,121.89247083333333,121.4083416666667,121.19144166666666,121.68069999999999,121.91877083333333
4.5 hr,119.00622962962962,118.42605555555551,118.17557777777789,118.54500740740734,119.06694074074073,119.55748888888887,120.62757407407406,121.40133333333334,120.5943777777777,120.57389259259253,121.20717037037036,121.8365074074074,123.47760370370368,122.04502592592593,121.68310370370368,121.02169629629624,120.7805,120.95132592592596,120.08103333333345,120.18398888888896,120.28798888888892,119.59858888888881,120.45244444444442,120.35139259259257,121.07258888888886,120.54598148148153,120.68497037037042,120.77330000000002,120.74124074074082,121.95181111111111,120.95328148148148,120.900062962963,121.0208296296297,121.63622592592588,122.33412592592597,121.90925555555557,121.39320370370373,121.20601851851853,121.67790740740739,121.91876296296293
40 day,113.83896999999999,113.95022750000001,114.04807750000002,114.17297250000001,114.31602749999999,114.48302999999999,114.69315999999999,114.88339749999997,115.05183749999996,115.39290999999996,115.9555175,116.186745,116.4876525,116.74196500000001,117.2244025,117.455275,117.6458375,117.82975000000002,118.16589250000001,118.3318425,118.482155,118.60880750000001,118.75467250000004,118.90028250000003,119.06261750000003,119.21694000000005,119.36504250000003,119.54226250000002,119.70606500000001,119.88513500000002,120.0254975,120.18721500000001,120.26637000000001,120.35333,120.45379,120.55543749999997,120.65617749999997,120.73533999999998,120.81458249999999,120.88082
45 min,118.7692222222222,118.32597777777784,118.09944444444443,118.52411111111107,119.17895555555555,119.68617777777777,121.29275555555557,120.77684444444445,120.6989333333333,120.07273333333329,121.43319999999997,122.08575555555551,123.4777333333333,122.08595555555554,121.468,121.02162222222222,120.42564444444443,120.79028888888891,120.02651111111113,120.1243777777778,120.15184444444444,119.64299999999999,120.39059999999998,120.31168888888884,121.03831111111111,120.5469333333333,120.45744444444445,120.97102222222217,120.76977777777779,121.98131111111113,120.96522222222221,120.8992666666667,121.01593333333336,121.82093333333336,122.41575555555558,121.95133333333327,121.4995333333333,121.12408888888889,121.66944444444445,121.93551111111111
