,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-16,2019-01-18,2019-01-22,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
2 day,100.33500000000001,99.265,97.405,94.51499999999999,90.625,88.23500000000001,89.265,89.815,88.9,88.83,92.295,93.96000000000001,95.69,98.045,101.28,103.78999999999999,105.87,106.46000000000001,105.115,105.325,106.27000000000001,104.175,101.88499999999999,101.255,100.22999999999999,101.21000000000001,102.69,103.005,103.72,99.805,97.28,97.22999999999999,98.27000000000001,99.85,102.425,104.66499999999999
2 hr,100.31708333333329,99.77723333333329,95.49420833333333,92.47530000000008,88.87554166666665,87.51365,90.84788333333336,89.64462499999999,88.77705000000002,90.27992499999992,92.24289999999999,95.03996666666664,96.60061666666662,99.25326666666665,102.27396666666665,105.03195833333335,107.21589999999999,105.80672499999993,104.22544166666668,106.20671666666661,106.42999999999998,102.06457500000002,102.66316666666665,100.25436666666666,100.45446666666666,101.92999999999999,102.50756666666669,102.7975,104.238675,98.07936666666664,96.12191666666669,97.64267500000004,98.95927499999998,100.76784166666665,103.88426666666668,105.43802500000002
2.5 hr,100.22437999999995,100.16965333333329,95.54817333333334,92.60490666666672,88.99402666666664,87.69863333333329,91.27068666666669,89.52512666666665,88.87337333333336,90.10503333333331,92.21542666666667,95.00420666666663,96.61633999999995,99.27408666666663,102.34581999999999,105.00377333333334,107.25032666666667,105.71351999999993,104.24368666666668,106.09023999999995,106.44807333333334,102.11020666666666,102.74451333333329,100.2100333333333,100.51838000000001,101.72947999999997,102.53392000000005,102.92667333333334,104.11328,98.18177333333333,96.12090666666667,97.64864666666669,99.14027333333334,100.82354000000001,103.72450666666666,105.39945333333333
20 day,108.16354999999996,107.58268999999999,107.01219499999999,106.21824999999998,105.0395,103.72049999999999,102.55999999999999,101.575,100.55199999999999,98.72549999999998,96.01700000000001,95.25899999999999,94.45849999999999,94.201,94.2415,94.354,94.662,94.9665,95.247,97.12650000000002,98.82700000000003,99.4485,101.38199999999999,101.75300000000001,102.1665,102.6445,103.0395,103.376,103.607,102.96300000000001,102.4865,102.1745,101.88300000000001,101.68350000000001,101.593,101.5855
20 min,100.1422,98.90295,96.11455,92.6729,88.38825000000001,88.12385,90.3905,89.13199999999999,88.45464999999999,91.12294999999999,92.37365000000001,94.91465000000001,96.25099999999999,99.7545,102.25719999999998,105.21900000000001,106.95325,106.02150000000002,104.269,105.81934999999999,106.46005,101.53924999999998,102.2584,100.32565,100.13900000000002,102.06700000000001,102.57085000000002,102.89375,104.49385,98.16620000000003,96.2155,97.7685,98.5771,101.01825,104.10595,105.641
200 day,123.534973,123.398507,123.25881749999999,123.09225549999998,122.89153399999995,122.68193049999995,122.50142849999995,122.31716399999993,122.13693299999994,121.74741249999994,121.25274999999993,121.10322399999994,120.97275399999994,120.84662849999994,120.71087399999993,120.59868299999991,120.49479449999991,120.3613369999999,120.23791699999992,119.95219149999994,119.78856299999995,119.67571999999994,119.47009349999993,119.39067999999993,119.31156349999993,119.23118299999993,119.15340799999993,119.05823299999994,118.94743149999995,118.53319149999994,118.38946899999993,118.25194649999995,118.11294149999995,117.99072049999995,117.86958949999996,117.75855299999998
25 min,100.19292,98.94248000000002,96.09784000000002,92.62431999999998,88.38300000000001,88.07316,90.40800000000002,89.26899999999998,88.34031999999999,91.06836,92.39252000000002,94.83704,96.243,99.71440000000003,102.23096,105.23299999999999,107.058,105.92720000000003,104.32040000000002,105.87787999999996,106.41199999999999,101.54064,102.27832000000001,100.33300000000001,100.1802,102.04999999999998,102.57088000000003,102.8256,104.44311999999998,98.09496000000004,96.18812000000004,97.7484,98.60128,101.01359999999998,104.17316000000001,105.59500000000001
3 hr,100.27213333333331,100.45304444444437,95.72439444444446,92.74992777777784,89.12771666666664,87.85593888888884,91.44773888888889,89.49329444444443,88.9688388888889,89.96295555555555,92.18858333333331,95.02040555555553,96.67552222222217,99.30183888888888,102.40638888888891,104.88923888888884,107.3239833333333,105.75787222222215,104.23632777777782,105.89978333333329,106.44195555555555,102.10247777777775,102.76611111111107,100.2304444444444,100.5242388888889,101.61677222222222,102.6127722222223,103.06281111111113,103.99291666666664,98.32690000000001,96.1209888888889,97.66639444444449,99.24494999999999,100.8359888888889,103.61243333333329,105.42745
3.5 hr,100.27783809523807,100.56700952380955,95.91039523809525,92.90102380952386,89.294919047619,87.97298571428563,91.67641428571432,89.57664761904762,89.10962857142857,89.82780952380952,92.1600666666667,94.99738095238094,96.75918571428562,99.30621904761904,102.52565238095235,104.82094761904757,107.40290476190474,105.83608095238091,104.32549047619054,105.75588571428565,106.36911904761902,102.18938571428572,102.7367380952381,100.26791428571427,100.46276190476189,101.55621904761905,102.66260952380958,103.16746190476184,103.87011428571427,98.42652857142858,96.12991904761904,97.68730476190481,99.27859047619047,100.8758142857143,103.5609047619047,105.51607619047616
30 day,109.73073999999995,109.41208999999996,108.96416999999997,108.3133433333333,107.42062999999997,106.54520999999997,105.7031833333333,104.89605999999998,103.99702999999998,102.44403333333331,100.81216666666667,100.24900000000001,99.644,99.18133333333336,98.97800000000002,98.83533333333335,98.89900000000002,98.79300000000002,98.60166666666669,98.03433333333334,97.87733333333334,97.86533333333333,97.92299999999999,97.98333333333333,98.11133333333332,98.42966666666665,98.91566666666664,99.41433333333332,99.8793333333333,101.14666666666663,101.30033333333331,101.46633333333331,101.69266666666664,101.97,102.257,102.56833333333334
