,2018-12-13,2018-12-14,2018-12-18,2018-12-19,2018-12-21,2018-12-31,2019-01-02,2019-01-04,2019-01-07,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-30,2019-02-01,2019-02-04,2019-02-08
2.5 hr,13.92489333333333,12.664393333333324,12.032619999999998,11.931873333333337,10.1713,11.30108,11.452006666666657,12.175533333333336,12.50694666666666,12.606606666666677,12.323066666666657,12.367993333333327,12.219919999999995,11.886833333333348,12.070233333333332,11.475813333333337,11.500493333333335,11.40684000000001,12.367626666666668,12.811633333333335,12.906986666666674,10.958213333333333
20 day,16.641000000000002,16.40275,15.82375,15.51025,14.840749999999995,13.30125,13.021250000000004,12.441250000000002,12.25025,11.906749999999999,11.80675,11.724249999999998,11.715,11.707999999999997,11.831499999999997,11.8905,11.968999999999998,11.9745,12.029,12.137000000000002,12.1795,12.0435
20 min,14.002249999999998,12.4205,12.089649999999999,11.491,10.0915,11.3167,11.3726,12.198049999999997,12.5078,12.633900000000002,12.279700000000002,12.3204,12.105,11.84365,12.064250000000001,11.364149999999999,11.44645,11.372250000000003,12.4155,12.79825,12.974799999999998,10.99705
200 day,22.088475000000003,22.079900000000006,22.05080000000001,22.03565000000001,21.995000000000008,21.888250000000006,21.86765000000001,21.836800000000007,21.820850000000014,21.782200000000007,21.765650000000004,21.74950000000001,21.714850000000006,21.69515,21.655150000000003,21.629325000000005,21.606625000000005,21.580925000000008,21.50087500000001,21.455875000000006,21.428425,21.287875
25 min,14.003599999999997,12.428600000000001,12.088119999999996,11.496399999999996,10.0824,11.32416,11.355879999999999,12.198559999999995,12.505040000000001,12.625920000000002,12.286959999999999,12.329320000000001,12.120920000000002,11.854079999999996,12.0616,11.373519999999996,11.45604,11.37632,12.418520000000001,12.7866,12.962839999999998,11.00164
3 hr,13.922711111111107,12.68231666666666,12.030600000000007,12.00361666666666,10.183583333333335,11.2938,11.472488888888883,12.161172222222225,12.528672222222218,12.602672222222232,12.333577777777762,12.36900555555556,12.229027777777775,11.89024444444446,12.05145000000001,11.501727777777784,11.494188888888889,11.403155555555571,12.334111111111115,12.833672222222226,12.905166666666679,10.944355555555553
3.5 hr,13.92592857142857,12.719971428571426,12.03403809523811,12.075099999999997,10.197795238095237,11.293980952380954,11.473395238095229,12.136995238095242,12.55287619047618,12.602452380952393,12.355719047619043,12.359052380952384,12.24181428571428,11.891552380952398,12.058957142857151,11.525066666666666,11.484185714285717,11.408176190476206,12.291271428571442,12.843347619047623,12.903600000000012,10.936485714285705
30 day,17.296666666666667,17.10683333333333,16.70716666666667,16.481166666666667,15.859499999999997,14.656833333333333,14.439166666666669,14.03716666666667,13.900500000000001,13.457166666666666,13.296833333333334,13.134833333333335,12.796500000000002,12.6005,12.291833333333331,12.140166666666666,12.0345,11.932166666666667,11.741000000000001,11.767000000000003,11.816666666666668,12.017666666666667
30 min,14.01333333333333,12.444166666666666,12.082599999999998,11.498499999999998,10.087333333333333,11.331133333333334,11.341899999999999,12.199299999999994,12.502033333333337,12.620266666666671,12.291533333333332,12.338599999999998,12.132433333333333,11.867066666666664,12.060500000000001,11.380599999999998,11.466033333333334,11.3766,12.413266666666669,12.784633333333334,12.951366666666663,11.002699999999999
4 hr,13.948541666666669,12.75249583333333,12.03582500000001,12.130550000000001,10.211504166666666,11.308004166666668,11.47714166666666,12.110687499999996,12.572599999999989,12.60212500000001,12.350900000000003,12.344487500000003,12.254150000000001,11.896275000000013,12.061804166666674,11.537829166666665,11.484433333333335,11.410845833333344,12.26080000000002,12.842233333333342,12.899675000000007,10.916412499999991
