,2018-12-12,2018-12-13,2018-12-18,2018-12-31,2019-01-02,2019-01-14,2019-01-17,2019-01-18,2019-01-25,2019-01-28,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-07,2019-02-12
2.5 hr,170.21826000000004,172.60691333333338,166.4810866666666,161.27114000000003,160.44016666666667,168.87353333333343,172.63028666666665,172.68753333333342,177.5273466666667,177.15521999999999,178.45614666666665,181.5463599999999,179.97121999999996,181.84880666666677,182.80254000000005,183.39912000000007
20 day,169.47149999999996,169.459,168.875,166.722,166.21899999999997,164.6415,165.34050000000002,165.738,168.48149999999998,169.20299999999997,170.8625,171.9515,172.88150000000002,173.85750000000002,176.501,178.671
20 min,169.47535,172.3174,165.92839999999998,161.29270000000002,160.18210000000002,168.87675,173.03934999999996,172.86589999999998,176.9506,177.62239999999994,178.47575,181.9667,180.89499999999998,182.12825,183.6087,183.13889999999998
200 day,161.46654999999993,161.54129999999995,161.73129999999995,161.60634999999994,161.56664999999992,161.42474999999993,161.46384999999998,161.47739999999993,161.60934999999995,161.67549999999994,161.81839999999994,161.9002999999999,161.96714999999992,162.0402499999999,162.3029499999999,162.5817499999999
25 min,169.572,172.28592,165.91931999999997,161.24316,160.15704000000002,168.90696,173.01187999999993,172.89144,176.87148000000002,177.64331999999996,178.42340000000002,181.89936,180.80172000000002,182.07644000000005,183.48216000000005,183.14072
3 hr,170.28887222222224,172.66968333333327,166.60730555555543,161.44708333333335,160.4579166666667,168.84518333333347,172.6048833333333,172.75222777777788,177.65425,177.04211111111104,178.41000000000005,181.51311111111107,179.8853388888888,181.78062222222238,182.7184166666667,183.33822777777786
3.5 hr,170.2932047619048,172.71784761904755,166.66219523809517,161.51708571428577,160.43259523809525,168.82048095238102,172.56650952380951,172.72570952380957,177.71537142857147,176.93513333333317,178.45948571428582,181.45559999999998,179.85663809523808,181.70771904761918,182.63572857142861,183.2806714285714
30 day,168.6963333333333,169.02966666666666,169.41899999999998,167.33166666666673,167.01766666666668,166.43366666666668,166.674,166.78133333333335,167.5353333333333,167.82366666666664,168.25199999999998,168.8493333333333,169.37266666666667,169.95133333333334,172.16266666666667,174.17766666666665
30 min,169.6059666666667,172.32260000000002,165.93186666666662,161.1969666666667,160.1872,168.91286666666664,172.99423333333326,172.87966666666665,176.80513333333334,177.65259999999995,178.3585,181.85896666666667,180.67076666666668,182.0318666666667,183.37333333333333,183.1772
4 hr,170.28904999999995,172.65003333333328,166.70748333333327,161.51380833333351,160.3883375,168.86171666666675,172.52808749999997,172.6886416666667,177.81770000000006,176.81831249999988,178.55091666666675,181.44275416666673,179.86755833333325,181.61542083333336,182.53911666666673,183.20026666666664
4.5 hr,170.245637037037,172.59786296296286,166.72945555555552,161.4326074074076,160.37746296296294,168.93347407407418,172.50774814814824,172.677525925926,177.88495925925935,176.6912814814814,178.59779629629637,181.39932222222222,179.79245555555542,181.53199629629628,182.479125925926,183.1290666666666
40 day,164.94750000000002,165.431,166.494,167.78825000000003,167.71125,167.05025000000003,167.10775000000004,167.10550000000003,167.96525,168.27575,168.79225000000002,169.08525,169.36475000000002,169.6805,170.70825,171.65624999999997
45 min,169.6018666666667,172.47728888888892,165.98206666666667,161.0046444444445,160.33602222222225,168.82695555555554,172.91935555555543,172.8406,176.8349777777778,177.6505111111111,178.2853777777778,181.68755555555558,180.40162222222224,181.99284444444447,183.18231111111112,183.32128888888894
5 day,169.762,169.904,168.748,161.994,162.51799999999997,167.84,171.09599999999998,171.748,175.102,176.016,177.798,178.998,179.772,180.74,182.652,183.094
5 hr,170.29533333333328,172.54352333333318,166.68037666666663,161.41596666666686,160.31364666666667,169.06502000000012,172.53407666666675,172.6188600000001,177.97927000000007,176.59082333333333,178.63465000000002,181.25631333333334,179.66097666666653,181.46753333333334,182.4505400000002,183.0848199999999
