,2018-12-13,2018-12-14,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-31,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-24,2019-01-28,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-13,2019-02-14,2019-02-15
30 min,92.09313333333333,88.99803333333334,86.51880000000001,86.11459999999997,83.1516,80.52466666666666,83.26853333333332,80.82499999999997,82.36076666666666,83.52123333333334,83.80263333333332,84.88969999999999,84.28513333333333,85.25253333333333,85.99873333333335,86.9966,87.06053333333332,88.3497,89.3294666666667,89.20543333333335,87.55216666666664,88.90596666666664,89.65233333333335,85.40636666666667,86.73690000000002,88.59836666666666,89.41093333333332,91.02846666666666,90.36156666666668,92.3099333333333,95.72476666666665,95.94863333333335,97.26193333333332
4 hr,91.89071666666668,89.34782916666661,87.05802499999999,87.50220833333336,83.16154999999995,81.26572083333332,83.28364583333334,81.0318375,82.63266250000001,83.76864999999995,83.67707500000002,85.16633750000001,84.07211666666662,85.5505666666667,86.38270416666667,87.07424999999998,87.09622500000002,88.00540416666664,89.51143333333326,89.4021416666667,87.06572499999997,88.53249166666662,89.90387083333326,85.12785,86.51463333333328,88.362525,89.12478333333335,90.89229999999996,90.09058749999998,92.27153333333338,95.18532916666673,95.93165833333329,97.16358749999993
4.5 hr,91.9418925925926,89.47378888888888,87.07625925925922,87.55417777777781,83.28128518518513,81.38848518518515,83.26197407407409,81.08217777777779,82.64762962962963,83.79911851851844,83.62344074074075,85.21181481481482,84.08528518518511,85.59790370370371,86.46273703703703,87.04227407407407,87.12797407407413,87.96474074074068,89.53365555555548,89.4852703703704,87.03046666666663,88.5490222222222,89.9078481481481,85.17586666666669,86.3824629629629,88.31418518518521,89.09591111111112,90.84794814814813,90.0455444444444,92.27182222222226,95.14819259259266,95.92660370370366,97.1656592592592
40 day,91.60635249999999,91.64226999999998,91.62471500000001,91.598075,91.49144249999999,91.4025225,90.26150500000001,89.69472,89.41514250000002,89.18250500000002,88.88459250000002,88.593005,88.2899625,88.0263375,87.78817749999999,87.61538,87.469255,87.3733225,87.311855,87.35875,87.32424999999999,87.30199999999999,87.047,86.80375,86.58449999999999,86.48124999999999,86.41175,86.46775,86.48349999999999,86.53325000000001,86.84899999999999,87.068,87.35299999999998
45 min,92.07126666666667,89.10513333333334,86.4215111111111,86.16528888888888,83.25057777777779,80.616,83.24524444444445,80.83935555555556,82.38402222222221,83.53642222222223,83.7790888888889,85.02724444444445,84.2118888888889,85.22051111111112,86.06424444444444,86.9725111111111,87.07246666666666,88.24380000000001,89.34951111111111,89.20946666666667,87.53357777777775,88.91766666666665,89.74324444444446,85.30995555555555,86.71737777777777,88.60335555555557,89.41106666666666,90.99462222222222,90.28286666666666,92.35457777777776,95.67057777777777,95.9632,97.2568222222222
5 day,90.6,90.67999999999999,89.22999999999999,88.08399999999999,86.26599999999999,84.494,82.38399999999999,82.648,82.38,82.44800000000001,82.46000000000001,82.938,83.73600000000002,84.33000000000001,84.80199999999999,85.492,85.994,86.76,87.59400000000001,88.284,88.79,88.93599999999999,89.16400000000002,88.726,88.2,88.15,88.088,88.37,89.44000000000001,90.51000000000002,93.72999999999999,94.736,95.788
5 hr,91.96208666666669,89.62191999999999,87.10873333333329,87.58507000000003,83.46215333333326,81.48986999999995,83.27215666666666,81.05478333333335,82.68328000000001,83.8175399999999,83.59643666666668,85.25105333333329,84.08266999999992,85.62836333333338,86.52051,87.00157000000003,87.16888000000004,87.9445466666666,89.54785999999996,89.56478333333334,86.97446999999998,88.61034,89.91024,85.18148333333333,86.24458333333328,88.24549333333334,89.12526333333334,90.7866733333333,90.03095666666664,92.26052333333338,95.16683000000005,95.90767,97.1738833333333
5 min,92.05199999999999,89.196,86.29,86.146,82.7868,80.336,83.05600000000001,80.784,82.34799999999998,83.433,83.451,84.596,84.546,85.314,86.00800000000001,86.91600000000001,87.15,88.46400000000001,89.41300000000001,89.162,87.654,89.08099999999999,89.584,85.473,86.964,88.82419999999999,89.52279999999999,91.06,90.648,92.17900000000002,95.88,95.738,97.477
5.5 hr,91.97885151515153,89.83627272727271,87.18914545454541,87.59360000000002,83.64507878787872,81.6713424242424,83.2696787878788,81.0155484848485,82.69640606060605,83.78670303030292,83.52533030303032,85.25201212121208,84.03095757575748,85.65968787878793,86.58303636363635,86.91180909090913,87.20821515151519,87.94192727272721,89.55675757575753,89.62277272727276,86.95558181818184,88.64326969696968,89.89436060606059,85.0823393939394,86.18480303030302,88.18233030303031,89.1970484848485,90.70947878787875,90.05360606060603,92.23142424242425,95.18430000000004,95.90316363636364,97.18719999999995
50 day,90.70300200000001,90.71599199999999,90.688196,90.64117399999999,90.52497599999998,90.44108399999999,90.00161600000001,89.78177200000002,89.68686000000001,89.61415400000001,89.60641800000003,89.52362200000002,89.40655000000002,89.24009600000001,89.09680200000001,89.00440400000001,88.90504200000001,88.80537600000001,88.724514,88.65460399999998,88.35280399999998,88.07406999999999,87.878504,87.727004,87.61965799999999,87.55808399999998,87.6002,87.64699999999999,87.67599999999999,87.74539999999999,87.84759999999999,87.86059999999999,87.89739999999998
50 min,92.05234,89.12366000000002,86.40019999999997,86.17381999999998,83.26480000000001,80.66230000000002,83.25002,80.83992,82.38761999999998,83.52282000000001,83.77931999999998,85.04826000000001,84.17540000000001,85.22036,86.08329999999998,86.96474000000002,87.06922,88.21042,89.36268,89.19792000000001,87.52751999999997,88.91609999999999,89.75515999999999,85.25212000000002,86.70833999999999,88.60202000000001,89.41097999999998,90.98518,90.26314,92.35961999999998,95.64847999999998,95.96725999999998,97.25954
55 min,92.03120000000001,89.11914545454549,86.38390909090906,86.1545636363636,83.24718181818184,80.7146,83.25894545454547,80.84383636363637,82.39372727272725,83.5105090909091,83.78281818181819,85.06223636363636,84.1447272727273,85.22378181818182,86.10498181818183,86.95112727272732,87.07010909090909,88.18970909090908,89.37607272727273,89.18174545454545,87.52661818181816,88.90881818181818,89.77414545454543,85.18467272727273,86.70158181818181,88.60420000000003,89.41699999999997,90.97725454545456,90.24196363636362,92.35870909090906,95.62034545454544,95.9816909090909,97.2701818181818
6 hr,92.06618055555556,90.04673333333332,87.27466666666663,87.58380000000002,83.75157499999995,81.76654444444443,83.28272222222228,81.02184444444444,82.69168611111111,83.71617499999988,83.49321666666664,85.2563555555555,83.92681111111102,85.67205000000004,86.6320222222222,86.84111111111113,87.25546388888895,87.92251666666664,89.5168694444444,89.62613611111115,86.96128333333337,88.63732499999999,89.87111666666665,85.23020555555559,86.14387222222223,88.06112777777777,89.23533888888892,90.59761388888887,90.06023055555555,92.18495555555555,95.21292222222223,95.90478888888892,97.17708333333323
6.5 hr,92.12903846153847,90.15680512820512,87.34500769230768,87.5761,83.81530769230764,81.83059743589739,83.31112820512827,81.07026923076923,82.67182564102565,83.62463333333324,83.52374615384612,85.20967435897431,83.86670512820503,85.65184871794877,86.57575128205126,86.80272307692303,87.28882307692314,87.87089230769223,89.50218461538459,89.60831282051282,86.99837948717953,88.621058974359,89.88588205128202,85.28345641025642,86.19214358974361,87.96836666666668,89.23779743589746,90.47203333333336,90.05801025641023,92.11908717948721,95.2637871794872,95.86503333333333,97.15395384615377
60 day,90.56298999999999,90.56916333333331,90.47591166666666,90.40566833333332,90.28641499999999,90.11103999999999,89.50316000000001,89.30849666666668,89.20797833333334,89.12164666666668,89.10457000000002,89.09935166666668,89.07105000000003,89.05507500000002,89.01073500000003,88.9973466666667,88.99376833333336,89.02614333333337,89.06605000000003,89.102295,89.16835166666668,89.07757999999998,88.99216999999999,88.88053499999998,88.77197999999997,88.69426166666663,88.63983666666665,88.56672833333329,88.4745033333333,88.39997499999998,88.40708666666666,88.45383666666666,88.54121499999998
70 day,90.31222142857142,90.30242285714283,90.22306285714284,90.17153857142854,90.06505142857141,89.95088999999999,89.55056857142857,89.32363857142857,89.21085857142857,89.11764142857143,89.01260571428573,88.9244242857143,88.84023142857144,88.77343857142858,88.73628714285717,88.71356571428574,88.71192142857146,88.72842571428575,88.74426714285717,88.75326857142856,88.8554442857143,88.94220714285714,88.98786857142858,88.96008714285715,88.96598,88.99132857142857,89.02568142857143,89.12772714285713,89.15615857142855,89.18182142857142,89.28614571428571,89.33874428571428,89.39726857142854
80 day,89.87038249999999,89.95038499999998,89.94112374999999,89.91297999999998,89.87149749999999,89.80461624999998,89.44449499999999,89.24642999999999,89.15534625,89.070045,89.00977875000001,88.96376124999999,88.93331625,88.90738375,88.8771175,88.85374750000001,88.82876625000002,88.81418375000001,88.80475125000001,88.79581125,88.73287125,88.70988374999999,88.740745,88.71768125,88.7129975,88.71910875,88.72986,88.81117749999999,88.88388874999998,88.95828750000001,89.24563500000001,89.35107625000002,89.4888575
90 day,88.77404,88.88255777777776,89.0158888888889,89.08444,89.12869777777777,89.1222211111111,89.22689777777778,89.10433222222221,89.03842666666667,89.00855333333334,88.98432555555556,88.96689444444443,88.95001888888889,88.92043555555556,88.86939444444444,88.83688444444445,88.80947555555557,88.80216,88.80053,88.7892622222222,88.7891211111111,88.83600777777777,88.8623311111111,88.82090333333332,88.7909411111111,88.77566777777777,88.77027666666666,88.77224888888887,88.77177444444443,88.79129111111111,88.99732888888889,89.09216111111112,89.20588666666666
Tomorrow,89.19,87.02,86.02,82.92,80.33,78.71,82.23,82.34,83.55,83.5,84.62,84.67,85.31,85.91,86.95,87.13,88.5,89.48,89.36,89.02,89.6,89.9,85.4,86.97,88.86,89.59,91.03,90.75,92.32,94.19,95.78,97.58,NULL
