,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-03,2019-01-04,2019-01-07,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-25,2019-01-30,2019-02-01,2019-02-04,2019-02-13,2019-02-14,2019-02-15
4 hr,25.38325,26.01124166666667,25.415591666666675,24.67070000000001,24.606849999999994,24.610941666666648,23.76664583333331,23.834374999999987,24.182891666666684,23.553037500000027,23.08706666666665,23.943345833333332,24.26207916666669,25.454999999999995,25.947949999999956,26.30745833333334,26.667937500000004,26.86335,26.94442500000002,26.1004,25.91011666666666,26.187583333333333,26.44615833333334,26.41726249999999,26.82226666666667,26.68722916666667,26.555804166666665,27.040374999999994
4.5 hr,25.42871111111112,25.993614814814826,25.457966666666692,24.695644444444454,24.634088888888886,24.624637037037015,23.779885185185165,23.85357037037036,24.156944444444445,23.542385185185207,23.073740740740714,23.927362962962967,24.258362962962988,25.411418518518516,25.96100370370368,26.30502962962964,26.651211111111124,26.84294444444444,26.91385555555557,26.056222222222225,25.924585185185183,26.204070370370363,26.429411111111126,26.412381481481475,26.78731851851852,26.675766666666675,26.566525925925934,27.03449259259258
40 day,27.397749999999995,27.330249999999996,27.225499999999993,27.125249999999994,27.039499999999986,26.95924999999999,26.804999999999996,26.752249999999993,26.643999999999995,26.42425,26.203500000000002,26.105249999999995,26.01275,25.851499999999998,25.812999999999995,25.790249999999997,25.779999999999994,25.729249999999997,25.691749999999995,25.660749999999997,25.634499999999996,25.52725,25.420000000000005,25.333500000000004,25.346250000000005,25.545250000000003,25.593000000000007,25.658000000000005
45 min,25.40011111111112,25.922488888888896,25.27355555555555,24.58333333333334,24.47053333333332,24.462088888888893,23.88588888888889,23.661733333333338,24.52773333333334,23.625888888888895,22.968577777777778,23.824577777777776,24.212444444444458,25.695688888888895,26.04315555555555,26.24331111111112,26.725111111111108,26.878577777777775,26.997422222222234,26.221644444444447,25.888066666666667,26.08366666666666,26.549399999999988,26.397733333333328,27.075888888888887,26.816444444444446,26.50315555555556,27.067199999999996
5 day,25.918,25.752,25.526,25.32,25.104000000000003,24.952,24.374000000000002,24.168,24.078,24.086000000000002,23.678000000000004,23.625999999999998,23.668,24.302,24.958,25.456000000000003,25.951999999999998,26.528,26.669999999999998,26.656,26.506,26.056,26.292,26.357999999999997,26.532,26.470000000000006,26.512,26.696000000000005
5 hr,25.476266666666675,25.975673333333344,25.492036666666692,24.721766666666667,24.66271999999999,24.635079999999977,23.79817333333332,23.85028666666666,24.128556666666668,23.533210000000015,23.056033333333307,23.906806666666668,24.25432333333335,25.36434666666666,25.961079999999974,26.294720000000005,26.63492333333335,26.82358333333333,26.888313333333343,26.035526666666666,25.94825666666665,26.21993666666666,26.406093333333345,26.40329666666667,26.744966666666667,26.68260000000001,26.57607333333334,27.03523333333333
5 min,25.315,25.854000000000003,25.262,24.615,24.517,24.570999999999998,23.809000000000005,23.587,24.726,23.658000000000005,22.922000000000004,23.835,24.175,25.754199999999997,26.169999999999998,26.303000000000004,26.659999999999997,26.827999999999996,26.913,26.259999999999998,25.857,26.078999999999997,26.553999999999995,26.419999999999998,27.156,26.759000000000004,26.476,27.144
5.5 hr,25.521936363636375,25.95342121212122,25.524212121212148,24.750742424242432,24.66192424242423,24.65761818181816,23.827178787878772,23.870872727272722,24.10286060606061,23.535615151515163,23.038515151515135,23.88322727272727,24.246633333333342,25.322463636363626,25.950627272727235,26.285648484848483,26.625309090909106,26.80540303030303,26.871315151515166,26.051021212121196,25.96793939393937,26.23799393939393,26.3808393939394,26.392148484848484,26.701878787878798,26.70606363636364,26.580869696969685,27.032699999999988
50 day,27.91119999999999,27.79539999999999,27.67439999999999,27.54619999999999,27.430399999999985,27.320599999999992,27.08559999999999,26.985199999999992,26.821199999999994,26.5256,26.343000000000004,26.272599999999997,26.2162,26.1826,26.178799999999995,26.172800000000002,26.172199999999997,26.142999999999997,26.1256,26.095399999999998,26.056000000000004,25.923,25.8658,25.794799999999995,25.788399999999996,25.663400000000003,25.635800000000003,25.613400000000002
50 min,25.407800000000005,25.92614000000001,25.269899999999996,24.58986,24.47933999999999,24.451979999999995,23.88322,23.676800000000004,24.50886,23.61440000000001,22.972420000000003,23.828319999999994,24.209000000000017,25.691720000000014,26.037179999999992,26.24178000000001,26.726599999999998,26.884419999999995,26.995080000000012,26.219380000000005,25.885859999999997,26.090100000000003,26.550039999999985,26.394559999999988,27.066999999999993,26.807,26.503140000000002,27.06488
55 min,25.400818181818185,25.928309090909103,25.26954545454545,24.590072727272723,24.485054545454535,24.439927272727267,23.872654545454544,23.69063636363636,24.491599999999995,23.606363636363646,22.978290909090912,23.831836363636352,24.20572727272729,25.68892727272729,26.035072727272723,26.24325454545455,26.729999999999997,26.88829090909091,26.994436363636375,26.215054545454553,25.88158181818181,26.096636363636367,26.55156363636362,26.39223636363635,27.057454545454544,26.79636363636364,26.505309090909098,27.06374545454545
6 hr,25.563911111111125,25.931044444444453,25.552766666666695,24.783955555555572,24.651383333333317,24.676205555555537,23.854255555555543,23.890225000000008,24.084486111111115,23.558630555555567,23.03476388888887,23.846263888888885,24.22949444444445,25.291888888888884,25.929572222222188,26.263705555555557,26.613833333333353,26.805188888888885,26.859927777777795,26.07183888888888,25.97226666666664,26.248352777777782,26.361641666666674,26.380702777777778,26.664624999999994,26.725411111111107,26.587905555555547,27.02656388888887
6.5 hr,25.594710256410266,25.907400000000006,25.573533333333366,24.813771794871794,24.630323076923062,24.698282051282046,23.873323076923068,23.903625641025663,24.079128205128207,23.595189743589753,23.059171794871784,23.80765384615385,24.198443589743587,25.2686205128205,25.894694871794854,26.235733333333332,26.587320512820547,26.80374871794871,26.852951282051297,26.09365897435898,25.97586153846151,26.263212820512816,26.355038461538477,26.35905384615385,26.634474358974348,26.736128205128193,26.58484871794871,27.007733333333324
60 day,28.608999999999995,28.505499999999994,28.38783333333333,28.257499999999993,28.116333333333323,27.985666666666656,27.72833333333332,27.59083333333332,27.345166666666657,26.97633333333333,26.74683333333333,26.640833333333326,26.54816666666666,26.442999999999998,26.403999999999996,26.367166666666666,26.320999999999994,26.269166666666663,26.254833333333334,26.2365,26.218333333333337,26.2095,26.18566666666667,26.139166666666664,26.12933333333333,25.99433333333333,25.971999999999998,25.951166666666662
70 day,29.306857142857144,29.182714285714283,29.053571428571427,28.91914285714285,28.788285714285706,28.663571428571423,28.40228571428571,28.268857142857136,28.024142857142852,27.66742857142857,27.39885714285714,27.28614285714285,27.175857142857136,26.990999999999996,26.912714285714276,26.836999999999996,26.770857142857135,26.658428571428566,26.613571428571426,26.55728571428571,26.502571428571425,26.398142857142854,26.292142857142856,26.247999999999998,26.245428571428572,26.25014285714286,26.232857142857142,26.223999999999997
80 day,29.852875,29.76125,29.661250000000003,29.551,29.446124999999995,29.338,29.094374999999996,28.9625,28.707875,28.320125,28.065375,27.948124999999997,27.834624999999996,27.643250000000002,27.560874999999992,27.489374999999995,27.418874999999993,27.26937499999999,27.20074999999999,27.13237499999999,27.057499999999997,26.844,26.659375,26.56275,26.525,26.335250000000002,26.316250000000004,26.308624999999996
90 day,30.264444444444436,30.17988888888888,30.092444444444435,29.98388888888888,29.879444444444434,29.77477777777777,29.566333333333333,29.456666666666667,29.259777777777778,28.948333333333338,28.73133333333334,28.62266666666667,28.512888888888888,28.31055555555556,28.22011111111111,28.129,28.04433333333333,27.886111111111106,27.81522222222221,27.73788888888888,27.656222222222215,27.427777777777774,27.23211111111111,27.090333333333334,27.039777777777783,26.656888888888904,26.61377777777779,26.581666666666674
Tomorrow,25.83,25.23,24.6,24.55,24.55,24.33,23.57,23.9,24.09,23.7,23.83,24.17,24.82,26.19,26.32,26.65,26.66,26.9,26.25,25.9,25.81,26.3,26.22,27.17,27.17,26.46,27.15,NULL
