,2018-12-11,2018-12-12,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
2 day,161.31,164.23000000000002,163.34,157.89499999999998,154.735,155.7,153.875,148.495,148.11,159.62,159.71,156.88,158.685,163.425,165.225,166.565,167.07,167.71,165.395,164.905,165.96,169.33,171.425,171.43,173.39,174.04000000000002,169.595,169.655,177.075,183.79500000000002,186.42000000000002,188.035,188.885,187.54500000000002,188.01,189.85500000000002,189.91000000000003,188.635,188.14499999999998,189.665
2 hr,163.11845833333328,166.9319666666667,161.26354999999995,154.91513333333336,155.3040333333333,156.22196666666665,152.04508333333325,145.37273333333334,152.30047499999995,159.41149166666662,158.82024166666665,153.91881666666666,163.70203333333333,163.6599666666667,166.2320333333334,167.02784166666672,166.92884166666664,167.46967500000002,164.30934166666665,164.5652333333333,166.214625,171.40671666666657,170.13246666666666,171.3059333333333,175.40169166666666,172.78056666666674,165.934275,171.67775,181.69582499999999,185.6696,187.30701666666658,189.305025,187.50583333333327,186.46971666666667,189.2770916666667,190.64016666666677,189.6224916666667,187.6851083333333,189.0248666666666,189.80374999999995
2.5 hr,162.9302066666667,167.36451333333332,161.28690666666668,155.08679333333328,155.38339333333337,156.87031999999996,151.6390333333332,145.42958666666667,152.09306666666666,159.6097933333333,158.95895333333326,153.8212133333334,163.76580666666658,163.90666000000007,165.94312000000002,167.02127333333337,166.79301333333333,167.4155933333334,164.34068666666664,164.23985999999996,166.0319866666667,171.41313999999986,170.25761333333332,171.34245333333337,175.4128866666667,172.8377400000001,166.21719333333328,171.30078666666677,181.72312666666664,185.66905333333344,187.2741666666666,189.19079999999997,187.47702666666655,186.45811333333333,189.15035333333333,190.61332666666678,189.7093,187.68984666666663,189.05234000000002,189.6576733333333
20 day,145.41549999999998,147.0365,149.998,150.877,151.951,153.53199999999998,154.79450000000003,155.38600000000002,156.42250000000004,158.815,158.602,157.91299999999998,157.8295,157.598,157.924,158.24900000000002,158.50000000000003,158.59700000000004,158.531,159.23199999999997,159.77549999999997,160.59499999999997,161.5305,164.30649999999997,165.39499999999998,166.09549999999996,166.45199999999997,167.099,168.18849999999995,169.79049999999998,170.962,172.2515,173.32799999999997,174.34949999999998,175.42199999999997,176.56399999999996,177.87349999999998,179.03749999999997,180.19749999999996,181.408
20 min,163.1334,166.24589999999998,161.67004999999997,154.25525,156.44854999999995,155.58445,152.61245000000002,144.8339,153.14185,159.12795,159.01264999999998,154.29079999999996,163.18085000000002,163.58870000000005,166.60215,165.9606,167.76795,167.43994999999998,163.8465,165.06705,166.61270000000002,171.59205000000003,170.29835,171.13924999999998,175.43789999999998,172.30115,166.8888,172.17720000000003,181.11835000000002,185.93305,186.70745,189.205,188.25955,186.9532,189.10184999999998,190.53214999999997,189.58125,187.69829999999996,188.65905000000004,190.29444999999998
200 day,134.45655000000005,134.64310000000006,135.02340000000007,135.13580000000005,135.24975000000006,135.34845000000007,135.42085000000006,135.46080000000006,135.55845000000008,135.88435000000007,136.00640000000004,136.11850000000007,136.26985000000005,136.42020000000005,136.59885000000003,136.79155000000003,136.97265000000004,137.17775000000006,137.37555000000006,137.76285000000004,137.97070000000005,138.20090000000005,138.42475000000005,138.90970000000002,139.1551,139.38445,139.57675,139.8163,140.0898,140.35725,140.62815,140.91475,141.2045,141.48839999999998,141.80764999999997,142.14624999999995,142.46419999999995,142.78174999999993,143.10024999999993,143.42609999999996
25 min,163.20904,166.15196,161.62715999999998,154.29611999999995,156.29543999999996,155.4678,152.81224000000003,144.68756,153.07676,159.19456,158.8412,154.31903999999997,163.23208,163.58204000000003,166.55336,166.07047999999998,167.70156,167.46876,163.9228,165.02236000000002,166.62276000000003,171.53168000000002,170.26448,171.09031999999996,175.41863999999998,172.40991999999997,166.95044,172.15096000000005,181.12768,185.92864,186.69756,189.20579999999998,188.22243999999995,186.91796,189.05748,190.49012,189.54752000000005,187.71164000000002,188.68624000000003,190.16996
3 hr,163.01906666666665,167.75796111111111,161.38259999999994,155.31828333333323,155.58455000000006,157.32408333333328,151.305211111111,145.21090555555554,151.88847777777784,159.8705555555555,159.01328888888875,153.8981388888889,163.84478888888884,164.08105555555557,165.64925555555567,167.08906111111114,166.7357888888889,167.37929444444447,164.36677222222215,164.03016666666662,165.93411111111118,171.46352777777764,170.42721111111115,171.29183888888895,175.31869444444445,172.85653888888905,166.5522388888889,171.07415555555565,181.77731666666668,185.64134444444454,187.28487222222216,189.10111111111112,187.4807444444444,186.3714055555556,188.96862222222222,190.6179944444445,189.80072222222225,187.66210555555554,189.0908388888889,189.63348333333332
3.5 hr,163.1177523809524,167.96485714285714,161.51725714285715,155.63655238095234,155.6597142857144,157.71191428571422,150.94582380952366,144.97762380952378,151.76695238095243,160.00700476190465,158.85213333333326,154.12329047619048,163.8726047619047,164.21763809523804,165.4105571428572,167.19739523809525,166.79780952380952,167.40540476190478,164.37326190476188,163.91544761904757,165.91425714285725,171.4964571428569,170.63148571428573,171.24788571428573,175.23088571428576,172.8605,166.88269523809524,170.9100523809525,181.7494095238095,185.6253000000002,187.3447571428571,189.0640428571429,187.46788571428567,186.1826238095239,188.7533904761906,190.69194285714292,189.89608095238086,187.65840476190468,189.12834761904753,189.64963809523803
30 day,141.943,143.36866666666666,145.55666666666667,146.08566666666664,146.84799999999996,147.69366666666662,148.263,148.286,148.62933333333336,151.20199999999997,151.98733333333334,152.64700000000002,153.9563333333334,155.17933333333337,156.30766666666665,157.33833333333334,158.26266666666666,159.2196666666667,159.80300000000003,160.4866666666667,160.44600000000003,160.68133333333336,160.76933333333335,161.52766666666665,161.94899999999998,162.1816666666666,162.24966666666663,162.60266666666666,163.5283333333333,164.54,165.57633333333334,166.81733333333335,168.26899999999998,169.74233333333333,170.929,171.98933333333335,172.988,173.92366666666666,174.88366666666667,176.10933333333335
