,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2019-01-02,2019-01-03,2019-01-04,2019-01-09,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-14,2019-02-15
30 min,110.57816666666668,110.22816666666667,108.60816666666669,106.51489999999998,106.5058,105.93953333333334,103.55379999999998,101.04366666666667,100.98493333333332,101.9665,100.98716666666665,102.66136666666664,104.79043333333333,106.08003333333333,105.99540000000002,107.15673333333335,107.08179999999997,108.02333333333331,108.46770000000001,102.03713333333334,102.5977,101.90939999999999,101.27276666666667,101.31950000000002,102.27839999999999,103.8295,104.7544666666667,105.81176666666667,105.5203,105.05099999999999,105.27150000000003,104.99989999999997,105.44963333333335,106.29893333333332,106.38060000000002
4 hr,110.94220000000011,110.05335416666658,108.59259999999998,106.8593625,106.94219999999994,107.37329999999994,102.70914999999995,101.70362083333326,100.23980416666659,101.82572500000002,100.95780000000003,102.68147083333334,105.17473333333334,106.03953750000011,106.10872916666668,107.23073749999998,106.8391583333333,107.93533333333336,108.01370416666668,101.7058541666666,102.51677499999991,101.7496958333333,101.32227083333333,101.13451249999999,102.1164333333333,103.44967500000003,105.14594583333344,105.71866666666669,105.71673333333328,104.84610416666663,105.07412916666667,105.0264583333334,105.41603333333327,106.25985416666671,106.12715416666676
4.5 hr,110.96077037037045,110.07406666666658,108.64592222222218,106.9829444444444,106.94540740740733,107.40131481481475,102.78152592592586,101.8249666666666,100.16473333333325,101.77555555555558,101.0158777777778,102.6685074074074,105.15496296296298,106.0369037037038,106.09750740740739,107.20744814814812,106.82736296296297,107.96367407407406,108.01283333333336,101.62501481481475,102.51664814814804,101.7518222222222,101.25290370370372,101.14222592592591,102.11005925925926,103.40964444444444,105.15377407407415,105.71481851851853,105.75622592592585,104.81163333333329,105.04209259259255,105.05873703703706,105.43683703703701,106.21807777777781,106.11810370370378
40 day,105.488685,105.65005500000002,105.75900500000003,105.8475675,106.00141249999999,106.09839250000002,106.13160750000002,106.16039,106.13192999999998,106.1680125,106.1257725,106.11458499999999,105.99635249999999,105.99918500000001,106.00720750000002,106.05061250000003,106.01735250000004,106.12899000000002,106.18183250000004,106.06990750000003,105.94982250000001,105.79504500000003,105.54825000000002,105.33462750000004,105.18263500000005,105.02900000000002,104.93850000000002,104.85750000000003,104.81325000000001,104.72750000000003,104.63175000000001,104.49975000000002,104.37925,104.26525000000001,104.26424999999999
45 min,110.60322222222223,110.23422222222221,108.5475777777778,106.49837777777778,106.37931111111112,105.89648888888888,103.46104444444443,101.09166666666664,100.81626666666665,101.90637777777776,100.89404444444442,102.67946666666661,104.8616888888889,106.0524,106.05640000000002,107.20120000000006,107.02742222222219,107.98906666666669,108.40135555555557,102.0338,102.62146666666665,101.93982222222219,101.22217777777779,101.31233333333334,102.17626666666668,103.82777777777778,104.82280000000002,105.80580000000003,105.54171111111113,105.04566666666669,105.31402222222226,104.97911111111108,105.46453333333332,106.26839999999999,106.36424444444448
5 day,108.96399999999998,109.152,109.506,109.122,108.576,107.704,106.292,104.61600000000001,102.15799999999999,102.00399999999999,101.872,101.97,103.01999999999998,104.74199999999999,105.332,106.492,106.73600000000002,107.70599999999999,107.954,106.91599999999998,106.032,104.67999999999999,103.268,101.848,101.98400000000001,102.212,102.796,103.77400000000003,104.58200000000002,105.098,105.426,105.45400000000002,105.326,105.424,105.636
5 hr,110.9566833333334,110.07988333333323,108.73188333333331,107.09745333333329,106.9614499999999,107.42076999999993,102.91783999999996,101.92208333333325,100.07684333333326,101.74474000000005,101.01617333333334,102.70234333333333,105.12965000000004,106.03816333333342,106.06949999999998,107.17599333333332,106.84700333333336,107.97692333333333,108.03736666666667,101.51533333333326,102.50024666666656,101.72850666666665,101.1924933333333,101.14580333333332,102.08781666666664,103.35195,105.11649333333338,105.7289066666667,105.80108666666659,104.8142966666666,105.04553333333334,105.09736333333338,105.45007999999997,106.18544333333332,106.11720000000007
5 min,110.306,110.26100000000001,108.974,106.55,106.64200000000001,106.154,103.171,100.694,101.343,102.149,100.825,102.65,104.76500000000001,106.049,106.0144,107.106,107.027,107.84400000000001,108.67,101.904,102.631,101.952,101.19399999999999,101.486,102.49899999999998,103.804,104.878,105.94800000000001,105.576,105.08600000000001,105.27799999999999,105.096,105.468,106.258,106.48599999999999
5.5 hr,110.95458787878795,110.0963696969696,108.81979393939392,107.1554121212121,106.98933939393923,107.4697666666666,103.08817272727262,102.06085757575748,99.98883333333329,101.6849454545455,100.98752424242434,102.73483030303035,105.0650090909091,106.03674545454554,106.04701818181819,107.14372121212115,106.8621696969697,108.0140545454545,108.05678787878787,101.47262121212115,102.43926969696963,101.68565151515152,101.15258484848484,101.16322121212124,102.0568333333333,103.32415151515154,105.06773939393942,105.72910000000007,105.83049696969692,104.86479393939389,105.06173636363634,105.12393636363645,105.43938181818174,106.15071212121208,106.15814848484857
50 day,105.552894,105.55360399999999,105.53490400000003,105.50487999999997,105.484618,105.474286,105.415932,105.35183799999999,105.28959599999996,105.19685399999999,105.20412999999999,105.21531399999998,105.38567399999998,105.60005799999999,105.695588,105.88561000000001,105.97841800000002,106.17558000000002,106.23499800000005,106.13788200000005,106.05756200000003,105.99294800000006,105.90316600000006,105.82576800000007,105.73049000000009,105.63828200000006,105.60136800000005,105.60739200000006,105.58846600000004,105.56412600000004,105.52365800000003,105.46103600000004,105.34860000000002,105.19830800000004,105.1294
50 min,110.61890000000001,110.22049999999999,108.53402000000001,106.50453999999999,106.33848,105.90164000000003,103.41874,101.11449999999999,100.77903999999998,101.88583999999999,100.87403999999998,102.69663999999993,104.87576000000001,106.04674000000001,106.07496000000003,107.21308000000005,107.02027999999994,107.97656000000002,108.37092000000001,102.08012000000001,102.61872,101.94893999999998,101.19416000000001,101.30590000000001,102.15264,103.84404,104.84692000000001,105.79652000000002,105.54404000000001,105.04036000000002,105.31952000000007,104.96839999999996,105.46737999999998,106.25953999999997,106.35894000000006
55 min,110.60936363636364,110.21185454545454,108.51238181818185,106.50221818181817,106.31376363636363,105.86303636363637,103.36521818181818,101.14690909090908,100.75112727272727,101.87185454545454,100.86530909090908,102.70207272727266,104.88705454545456,106.03981818181819,106.09960000000004,107.2231636363637,107.01030909090902,107.96705454545456,108.34165454545455,102.13861818181817,102.61387272727272,101.95014545454544,101.16716363636364,101.31263636363637,102.14707272727273,103.84740000000002,104.86647272727274,105.79247272727274,105.54712727272728,105.02887272727274,105.31774545454553,104.9592727272727,105.46792727272725,106.25630909090906,106.35249090909096
6 hr,110.93654166666674,110.12248611111097,108.89441944444442,107.20372499999996,107.01569444444426,107.47582222222216,103.25392777777766,102.1759388888888,99.94921944444444,101.64141666666667,100.97574444444456,102.71719166666666,105.01255277777776,106.03863888888895,106.01345833333332,107.1180305555555,106.90854722222225,108.03927777777771,108.11535555555551,101.45981666666661,102.35343333333334,101.65293888888885,101.1557222222222,101.16103611111117,102.01659166666663,103.3054833333334,105.01860277777774,105.7022666666667,105.82026666666661,104.88390833333332,105.05133333333339,105.15955000000011,105.43633055555551,106.07234166666666,106.21024166666668
6.5 hr,110.91418461538466,110.15905897435883,108.9424205128205,107.23906923076918,107.06072820512806,107.42518974358967,103.40461282051272,102.28027948717939,99.96785384615379,101.59255641025642,101.00542564102575,102.67051025641017,104.96196153846157,105.99032564102575,105.97811025641026,107.11859230769227,106.94545384615387,108.07392564102557,108.19753076923068,101.57922051282044,102.2531666666667,101.63390256410253,101.22582307692305,101.18187948717957,101.97428974358972,103.2526435897436,104.95870512820503,105.68086153846166,105.84073589743586,104.89144615384616,105.0439230769231,105.22068974358986,105.43458974358974,105.97489230769236,106.24737692307694
60 day,106.36305333333333,106.35916,106.33560333333337,106.27802166666666,106.22010166666668,106.16381333333335,106.03511,105.87039166666666,105.52928999999997,105.01973333333332,104.90634833333333,104.84240499999997,104.84000333333329,104.97678999999998,105.01336999999998,105.12337833333335,105.23494166666667,105.45223833333334,105.60309333333338,105.60539500000003,105.64478666666669,105.6613816666667,105.66082333333337,105.65114666666672,105.64634166666673,105.66901500000003,105.69922333333338,105.73315000000005,105.73166500000005,105.7050683333334,105.68446833333338,105.68162333333339,105.67763833333338,105.65224166666673,105.62040166666671
70 day,107.09368142857141,107.05374714285713,107.01262285714287,106.93692285714283,106.87873285714285,106.81482142857143,106.70493142857141,106.54765285714284,106.22167428571426,105.75173285714285,105.61937285714286,105.52369714285713,105.2325714285714,105.09578142857141,105.03543142857141,104.98205714285716,104.97529857142858,105.0380942857143,105.10517000000003,105.10628857142858,105.11271142857143,105.11839142857144,105.08103142857145,105.03500285714287,105.02718142857147,105.07595000000002,105.11622428571434,105.1763471428572,105.26193714285718,105.31048142857148,105.38396000000004,105.44189857142861,105.50213428571432,105.5912928571429,105.64929857142859
80 day,107.76849250000001,107.76108624999999,107.73806125000002,107.67369249999997,107.61044124999998,107.52735625,107.40877499999999,107.25632875,106.91951374999996,106.3940575,106.27076624999998,106.17334374999999,105.88995124999997,105.76054000000002,105.70437000000001,105.62726625,105.59057625,105.5497075,105.52491875000003,105.4165,105.3145925,105.20480875000003,105.09187750000004,104.98544000000001,104.91555000000005,104.86863625000004,104.84892875000006,104.84845750000004,104.86889875000001,104.9106275,104.95099750000001,104.99421750000002,105.01465250000001,105.05640875000006,105.13283125000002
90 day,108.11680333333334,108.1112177777778,108.09241222222225,108.04317,107.99547444444445,107.93856666666669,107.85619777777778,107.73852111111113,107.50369999999998,107.10928222222222,106.98872555555553,106.87798333333333,106.56715777777777,106.39575222222226,106.31735888888892,106.21205111111114,106.17279222222223,106.12461333333334,106.09006333333335,105.98040111111109,105.8769688888889,105.78359111111112,105.6802177777778,105.58029111111112,105.49645888888894,105.42740111111115,105.37809777777784,105.32429555555561,105.26826111111116,105.20811111111115,105.14841555555559,105.08483000000003,105.03166888888892,104.95393333333338,104.94223222222224
Tomorrow,110.26,109.14,106.63,106.53,105.96,103.2,100.76,99.47,102.15,100.74,102.64,103.05,105.85,106.0,107.42,107.07,108.74,108.66,101.86,102.65,101.98,101.19,101.56,102.54,103.79,104.9,106.08,105.6,105.12,105.43,105.04,105.44,105.01,106.49,NULL
