,2018-12-11,2018-12-12,2018-12-13,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-26,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-17,2019-01-18,2019-01-22,2019-01-24,2019-01-25,2019-01-29,2019-01-30,2019-01-31,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
30 min,1649.961033333334,1672.8452,1654.3215000000002,1511.9796333333331,1549.8793333333335,1498.1199666666664,1461.7446333333335,1459.570166666667,1536.4857,1503.2318000000002,1572.5016666666668,1630.8708333333338,1656.7641666666666,1657.9420666666663,1657.6078333333328,1641.991266666667,1621.1556333333333,1693.9622333333332,1695.482,1626.3629333333338,1651.0152333333333,1669.6769333333339,1594.1224666666667,1667.8834333333334,1715.2733999999996,1658.9124999999997,1638.7337999999995,1610.9278333333334,1584.4541666666667,1591.0473333333332,1636.4441000000002,1642.591,1622.839266666666,1606.1209000000001
4 hr,1641.3052333333321,1688.767716666666,1649.2140125000005,1534.659012499999,1550.1791916666675,1547.2893666666664,1455.951066666666,1434.5792458333328,1539.0024458333341,1513.2654875000007,1579.6990291666666,1625.2156958333335,1655.8847833333332,1660.6600583333325,1652.6562458333349,1642.5295916666669,1631.0549958333343,1689.6190541666665,1704.4007124999991,1636.6749041666674,1645.6585000000005,1672.1543333333336,1599.6239249999994,1659.6641500000003,1723.3350916666664,1655.7034958333325,1639.344558333332,1605.2784125000003,1581.2803458333333,1591.247629166666,1631.495487500001,1647.8002999999999,1627.360783333333,1608.9494916666672
4.5 hr,1642.492674074072,1689.638685185185,1650.199977777778,1537.878396296295,1548.922951851853,1549.3114814814817,1455.00651111111,1430.701322222222,1537.0863481481485,1515.0111518518524,1577.9936925925927,1625.0337074074075,1654.6577851851848,1660.328292592592,1652.7095444444458,1642.981003703704,1632.580918518519,1689.3010925925926,1705.145551851851,1638.810574074074,1645.2764259259266,1672.6192592592595,1599.6458222222213,1657.999207407408,1722.863396296296,1655.7839074074063,1639.5448666666655,1604.6818185185182,1580.3654962962962,1591.0747148148146,1631.2140814814823,1647.6583999999998,1626.2305518518513,1608.825811111112
40 day,1661.25975,1658.8245,1654.7849999999999,1642.5442499999997,1637.2305000000001,1629.8749999999998,1622.17825,1599.7565000000002,1590.9545000000003,1586.8232500000004,1585.5130000000001,1585.1805000000002,1582.7077500000005,1580.3205000000003,1578.9152500000005,1579.0080000000003,1578.659,1584.6515000000002,1589.2492500000003,1592.6670000000001,1599.5710000000004,1601.8020000000001,1601.1170000000002,1601.0385,1601.7525,1596.2125,1596.4907500000002,1595.8242500000001,1594.44875,1592.63525,1592.1260000000002,1593.32825,1595.8717499999998,1597.2834999999998
45 min,1651.2518222222225,1673.6617555555554,1653.9417555555558,1513.5532666666666,1544.7686222222223,1498.6470666666667,1464.0042444444446,1455.5764000000001,1537.7371555555558,1502.8896444444447,1572.7682222222224,1630.5972000000008,1656.7108888888886,1660.4531777777777,1656.5582444444444,1642.1078666666667,1622.5515333333335,1693.5155777777775,1696.0344444444443,1624.3485555555562,1650.154866666667,1670.5309777777784,1594.2584444444446,1667.8487555555553,1715.658311111111,1659.0214888888886,1637.8218666666667,1610.0054222222223,1584.7102,1591.1078000000002,1635.9863777777778,1644.2496888888886,1623.5669777777778,1606.613022222222
5 day,1656.1979999999999,1655.2259999999999,1647.0639999999999,1615.596,1597.2440000000001,1563.5520000000001,1524.042,1429.644,1490.3320000000003,1496.208,1518.958,1549.256,1580.178,1604.236,1635.4240000000002,1648.4579999999999,1645.998,1661.866,1672.9940000000001,1675.986,1663.3079999999998,1658.7780000000002,1639.458,1645.5400000000002,1658.3,1661.502,1655.4679999999996,1634.596,1626.994,1618.532,1614.372,1614.3200000000002,1615.976,1619.922
5 hr,1643.5500866666648,1690.2790500000003,1650.4978433333335,1541.1154499999986,1547.702293333334,1550.5707533333332,1456.5902799999994,1425.6086266666666,1535.7167400000005,1515.8483266666676,1576.3946233333336,1624.6478966666666,1653.3836233333334,1659.9836199999997,1652.8950700000007,1643.0953100000002,1633.4400900000003,1689.1018533333338,1705.5149766666655,1641.0710666666664,1644.4160266666672,1673.0055300000006,1599.5999199999992,1656.6924866666675,1721.4765766666662,1656.2028533333328,1639.9751966666656,1605.1685199999995,1580.2206733333337,1590.996373333333,1631.1055600000009,1647.8507666666667,1625.3882066666667,1609.0425433333337
5 min,1643.532,1666.1432,1657.1155999999999,1516.5628000000002,1552.6508000000001,1499.9075999999998,1458.6522,1470.7148,1538.7926000000002,1500.69,1574.3408,1630.6336,1655.0067999999999,1657.5878,1656.1922000000002,1640.1095999999998,1618.3468,1692.3182000000002,1693.3847999999998,1627.8646,1654.7939999999999,1669.1196000000004,1593.4843999999998,1670.3262000000002,1719.6268,1657.325,1639.6341999999997,1612.386,1585.8647999999998,1592.0134,1638.143,1640.4056,1623.472,1607.5326
5.5 hr,1644.8422242424228,1689.5532484848486,1651.36263030303,1542.5872818181806,1546.6433575757578,1552.233421212121,1459.2883606060605,1420.697654545455,1533.4162212121219,1515.4455030303038,1574.577821212121,1623.7676454545451,1651.6191484848484,1659.2164212121197,1652.2872484848492,1643.5358636363633,1633.6406515151514,1688.707430303031,1705.568903030302,1643.1476818181814,1644.1592969696978,1673.2533818181826,1600.5932515151505,1655.320924242425,1719.907730303031,1656.686645454545,1640.482199999999,1605.9107757575757,1580.4234333333334,1591.1578878787875,1630.5572303030308,1648.0346969696973,1624.9366484848479,1609.6266303030304
50 day,1703.5169999999998,1696.7005999999997,1690.4419999999998,1675.4547999999998,1668.6914000000002,1661.3046,1653.1148,1631.6966,1607.6446000000003,1602.3696000000002,1598.0913999999998,1595.3075999999999,1595.1552000000001,1592.7002000000002,1592.9684000000002,1595.0020000000002,1596.7377999999999,1599.1876000000002,1600.5556000000004,1600.3428000000004,1596.0338000000002,1595.1966,1594.4716,1595.9000000000003,1597.8858000000002,1604.2296,1606.7002,1608.9464,1609.0842000000002,1609.2758000000001,1608.4810000000004,1607.8096000000003,1606.4592000000002,1603.171
50 min,1651.7549400000003,1674.4569399999998,1653.2514400000007,1514.5247599999996,1543.36912,1499.5134999999998,1464.3997600000002,1454.8473400000003,1537.76008,1502.7532600000006,1573.1848200000002,1630.389860000001,1656.6444000000001,1660.8554000000001,1656.1615399999998,1642.2482599999996,1622.7091800000003,1693.2405999999996,1696.2262599999992,1623.5679800000005,1649.9971600000001,1670.6742000000006,1594.3270400000004,1667.8903199999997,1715.5311599999998,1658.9514399999998,1637.5991599999998,1609.62676,1584.6284,1591.0726000000006,1635.6642800000002,1644.5992799999995,1623.7578799999997,1606.7204799999995
55 min,1651.0434363636366,1674.728290909091,1652.7716363636368,1515.225854545454,1542.006581818182,1499.4104909090904,1464.2280909090914,1454.0581636363638,1537.9000000000003,1503.0648181818185,1573.5448545454547,1630.0403636363646,1656.4321818181816,1661.0627272727274,1655.9517636363635,1642.3022909090907,1622.7386000000004,1693.1310363636362,1696.3462909090902,1622.5785272727276,1649.7658545454547,1670.8137818181826,1594.3560181818186,1668.2458363636363,1715.9562,1658.8615090909086,1637.4596909090906,1609.3503090909091,1584.5562545454545,1590.9686909090913,1635.377381818182,1644.8570545454545,1624.132527272727,1606.8949454545448
6 hr,1645.9591333333312,1689.0906083333325,1653.5344999999995,1543.4461749999984,1545.538519444445,1553.5549333333329,1462.5318666666665,1416.831819444445,1530.3701472222226,1515.2985722222227,1571.6446638888892,1621.7038611111109,1651.8115611111102,1658.897483333331,1650.9190333333336,1644.313597222222,1632.7397111111106,1688.249902777779,1705.3007888888872,1644.7838666666657,1644.3601611111126,1673.5587833333343,1602.2676888888886,1653.6947333333342,1718.5810333333343,1656.841930555555,1640.6654055555541,1606.5162472222228,1580.4109111111113,1591.5515638888887,1629.8287472222228,1648.0020194444446,1624.5306027777772,1609.9379333333331
6.5 hr,1647.5928179487162,1687.6521999999989,1655.5745179487174,1543.6106205128192,1545.3905461538466,1554.038010256409,1465.047561538462,1414.981415384616,1526.4041179487183,1516.195364102564,1568.5279974358987,1620.4019871794872,1652.748453846152,1658.6930923076902,1649.4184999999995,1644.2097205128207,1631.1306999999997,1688.085982051283,1705.4179076923062,1646.9225384615377,1644.3305897435905,1673.3619923076926,1603.9428205128206,1652.335194871796,1716.5466897435904,1656.9562102564091,1642.4314230769216,1607.0208128205127,1580.3609384615384,1592.0772153846156,1628.4130128205134,1648.2743820512826,1623.9370794871793,1610.4964717948717
60 day,1745.1733333333332,1741.0984999999998,1736.3873333333331,1723.7556666666665,1717.6968333333332,1710.3754999999996,1701.8135,1671.8381666666667,1640.8866666666668,1634.3971666666669,1629.5800000000002,1625.5665,1623.922,1622.923,1620.7165,1618.71,1615.3308333333332,1610.0821666666666,1608.5305,1606.255,1603.7313333333334,1604.194,1606.9018333333333,1608.1088333333335,1608.9955000000002,1608.699,1606.7785,1604.4361666666666,1602.3660000000002,1601.6018333333334,1601.7158333333334,1602.3990000000003,1602.4525,1602.6948333333335
70 day,1779.2005714285713,1774.2124285714283,1768.7677142857142,1756.7632857142853,1751.0405714285712,1744.698714285714,1737.1798571428571,1712.0691428571429,1687.2257142857143,1681.3010000000002,1676.172857142857,1671.243714285714,1666.697,1661.6461428571429,1656.692142857143,1651.495,1646.4364285714285,1636.4325714285715,1634.0294285714288,1630.6272857142858,1628.0607142857143,1626.3744285714286,1621.386714285714,1619.0824285714286,1618.3397142857143,1612.572857142857,1612.230857142857,1609.8337142857142,1609.0538571428572,1609.7984285714285,1611.3354285714288,1611.935285714286,1611.3227142857145,1610.500142857143
80 day,1797.0070000000003,1794.2735,1791.5443750000002,1783.1006249999998,1778.707875,1773.5789999999997,1767.743375,1745.9809999999998,1720.6736250000001,1715.0262500000001,1710.4809999999998,1706.0104999999996,1701.8427500000003,1697.712125,1693.7875,1690.444125,1686.396125,1677.2189999999996,1674.2419999999997,1669.96225,1661.3012499999998,1657.1458749999997,1647.8471249999998,1644.318,1641.934375,1633.108875,1631.6715,1630.359125,1627.8542499999999,1625.729875,1623.4555,1621.0588750000002,1619.208,1617.257
90 day,1806.1156666666668,1804.3406666666665,1802.2365555555552,1795.1678888888885,1791.3118888888887,1786.9649999999997,1782.1275555555553,1765.5,1748.0945555555559,1743.6210000000005,1739.9543333333336,1736.6413333333333,1733.5720000000003,1729.808888888889,1725.9626666666668,1721.8276666666668,1717.1354444444444,1707.650555555555,1704.9526666666663,1701.0084444444442,1693.3982222222219,1690.0691111111107,1683.2101111111108,1680.3657777777776,1677.8594444444445,1667.7975555555558,1664.079888888889,1659.650888888889,1655.042222222222,1650.4493333333335,1646.746,1643.270888888889,1640.0845555555554,1636.9545555555555
