,2018-12-13,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-07,2019-01-08,2019-01-09,2019-01-16,2019-01-18,2019-01-22,2019-01-29,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-11,2019-02-12,2019-02-13
20 min,44.16525,42.19235,43.08780000000001,41.9733,41.53225,40.80375,42.38425000000001,43.35629999999999,43.104,41.65945000000001,43.44595000000001,43.59795000000001,43.80650000000001,45.313,46.52004999999999,45.620450000000005,46.36549999999998,48.65769999999999,49.68925,50.083700000000015,50.53125,50.56475,50.85770000000001,52.14949999999999,51.4415
200 day,42.86640000000002,42.906450000000014,42.92430000000001,42.939850000000014,42.95080000000001,42.957750000000004,42.97535,43.041099999999986,43.06429999999998,43.08079999999999,43.132649999999984,43.16404999999999,43.20139999999999,43.40725,43.5041,43.5481,43.78529999999998,43.94154999999997,43.99914999999997,44.06264999999998,44.12994999999997,44.199149999999975,44.309649999999976,44.370849999999976,44.42784999999998
25 min,44.1642,42.197480000000006,43.061840000000004,41.94624000000001,41.5892,40.7914,42.339800000000004,43.370239999999995,43.087799999999994,41.67756,43.45676000000001,43.602720000000005,43.818000000000005,45.31391999999999,46.51363999999999,45.61184000000001,46.37615999999999,48.65735999999999,49.67824,50.08856000000001,50.5238,50.545959999999994,50.849560000000004,52.1496,51.47319999999999
3 hr,44.09693888888889,42.36932777777778,43.05312222222223,42.5422611111111,41.53047777777776,41.2127,41.938661111111074,43.483411111111124,43.26125555555556,41.7423,43.50298333333333,43.56048888888888,43.939794444444466,45.33266111111116,46.40932222222222,45.65666666666668,46.39197777777778,48.49003888888888,49.80323888888891,50.01134444444446,50.351138888888926,50.5020777777778,50.825422222222265,51.995427777777785,51.5144388888889
3.5 hr,44.07916190476192,42.41890000000002,43.081576190476206,42.64285238095238,41.51556666666664,41.21494761904762,41.91816190476189,43.49852857142856,43.22945714285712,41.79832857142858,43.525509523809504,43.54154761904761,43.96274761904763,45.324876190476225,46.42936666666668,45.689899999999994,46.3958380952381,48.489028571428555,49.79324285714285,49.981638095238104,50.32845238095242,50.4809761904762,50.82525238095242,51.956571428571415,51.48423333333337
30 day,44.45633333333333,44.31133333333334,44.24199999999999,44.14666666666666,44.042,43.86,43.532666666666664,43.41233333333333,43.33533333333333,43.19433333333333,43.23533333333332,43.255666666666656,43.29699999999999,43.40500000000001,43.452000000000005,43.51133333333335,43.92433333333333,44.44399999999999,44.697333333333326,44.98133333333333,45.30766666666666,45.65,46.175,46.467999999999996,46.73066666666667
30 min,44.174,42.20673333333333,43.0367,41.93153333333334,41.620666666666665,40.82016666666667,42.299833333333325,43.3837,43.07116666666666,41.6883,43.45730000000002,43.60433333333334,43.83400000000001,45.31926666666666,46.50103333333333,45.60786666666666,46.387100000000004,48.65613333333334,49.679366666666674,50.09946666666668,50.5154,50.5343,50.84296666666666,52.14683333333334,51.497333333333316
4 hr,44.06087083333335,42.50493333333336,43.08615416666667,42.71258749999999,41.48404999999996,41.21775,41.8909958333333,43.49854166666663,43.18945416666665,41.842995833333326,43.541174999999974,43.532716666666666,43.96168333333332,45.31260000000001,46.44292500000002,45.73535416666665,46.39179583333335,48.50798333333331,49.800225000000026,49.96492083333335,50.30075000000003,50.46214999999999,50.83176250000003,51.925883333333324,51.46755000000003
4.5 hr,44.07082222222221,42.54715555555557,43.06024814814815,42.75724444444444,41.46618148148145,41.25291481481483,41.836255555555546,43.479592592592574,43.180037037037025,41.899699999999996,43.5444148148148,43.516429629629634,43.949425925925915,45.30097777777777,46.447392592592585,45.78147777777776,46.37725185185188,48.529118518518494,49.81223703703706,49.92892222222226,50.288959259259286,50.44382592592592,50.839122222222244,51.906788888888876,51.455762962962986
40 day,44.18599999999999,44.31325,44.38724999999999,44.424249999999994,44.292,44.18150000000001,43.95275000000001,43.87975,43.82775,43.73725,43.663,43.600999999999985,43.535749999999986,43.4895,43.585249999999995,43.66275,44.0055,44.22574999999999,44.34974999999999,44.50175,44.69699999999999,44.876999999999995,45.21524999999999,45.41574999999999,45.619249999999994
45 min,44.182622222222236,42.243555555555545,42.963577777777765,41.91902222222222,41.67699999999999,40.872555555555564,42.21644444444443,43.384800000000006,43.08095555555555,41.64486666666665,43.470733333333335,43.60315555555553,43.868000000000016,45.34375555555557,46.474755555555575,45.58733333333332,46.37931111111112,48.636088888888885,49.706688888888905,50.103422222222235,50.50926666666666,50.51102222222222,50.85484444444445,52.14040000000001,51.54366666666666
5 day,43.676,43.57199999999999,43.419999999999995,42.96,42.45,41.944,41.448,42.626,43.21,42.998,42.983999999999995,43.022,43.146,44.758,45.476,45.75600000000001,46.153999999999996,47.39,48.036,48.791999999999994,49.392,49.902,50.577999999999996,50.98799999999999,51.164
5 hr,44.077819999999996,42.58864,43.046536666666654,42.79908666666665,41.48712999999996,41.28575333333334,41.76720666666667,43.46096999999998,43.17876999999998,41.92434666666666,43.534739999999985,43.51745333333334,43.93251666666666,45.28360000000001,46.44239666666667,45.82565666666664,46.35655000000001,48.52818333333332,49.80635666666668,49.92179333333335,50.29472000000001,50.44658666666665,50.84719333333336,51.883366666666646,51.456736666666686
5 min,44.117999999999995,42.259,43.124,42.18000000000001,41.503,40.715999999999994,42.553999999999995,43.323,43.17999999999999,41.572,43.427,43.666000000000004,43.812,45.379999999999995,46.55799999999999,45.636,46.318999999999996,48.693999999999996,49.681999999999995,50.082,50.478,50.556,50.855,52.138999999999996,51.384
5.5 hr,44.0906606060606,42.61194545454543,43.03654848484846,42.84660303030301,41.53039090909087,41.33474545454546,41.6972212121212,43.45850606060603,43.15617272727271,41.92573636363635,43.51900606060605,43.521057575757574,43.90315151515149,45.27132424242426,46.42739393939394,45.872963636363636,46.348045454545456,48.53154242424241,49.78089090909091,49.92130000000001,50.298233333333336,50.45078484848483,50.86618181818185,51.84044545454544,51.47112424242427
50 day,43.59400000000001,43.538199999999996,43.54159999999999,43.55519999999999,43.560199999999995,43.584399999999995,43.66000000000001,43.8622,43.926,43.95440000000001,43.9388,43.90999999999999,43.856399999999994,43.852599999999995,43.8978,43.9194,43.968999999999994,44.13839999999998,44.276799999999994,44.4248,44.5732,44.73259999999999,45.03519999999999,45.18239999999999,45.32719999999999
50 min,44.17184000000002,42.2576,42.94489999999999,41.92462,41.68333999999999,40.8933,42.19539999999997,43.38132,43.08945999999999,41.62997999999999,43.46866000000001,43.60073999999998,43.875200000000014,45.34718000000001,46.46802000000002,45.573399999999985,46.372060000000005,48.62858,49.71824000000002,50.100780000000015,50.506539999999994,50.50422,50.85576000000001,52.13504,51.552299999999995
55 min,44.16338181818184,42.26200000000001,42.92727272727271,41.910199999999996,41.678854545454534,40.91954545454546,42.17399999999997,43.38174545454546,43.098236363636346,41.62343636363635,43.46185454545456,43.594127272727256,43.87972727272729,45.35034545454547,46.45856363636364,45.56199999999998,46.364418181818195,48.61743636363636,49.72894545454548,50.10125454545455,50.5004909090909,50.49856363636363,50.85592727272728,52.128854545454544,51.558545454545445
6 hr,44.118641666666655,42.62131111111109,43.020683333333324,42.87597499999999,41.57482222222221,41.37288611111111,41.650225000000006,43.47368888888886,43.12798055555554,41.928022222222204,43.48839999999999,43.5451611111111,43.882833333333316,45.27318611111112,46.383700000000005,45.91179722222221,46.350616666666674,48.526500000000006,49.73994722222223,49.91639444444446,50.27338055555555,50.43508333333334,50.890263888888924,51.805127777777734,51.49049722222227
6.5 hr,44.14256666666664,42.6100974358974,43.012682051282034,42.88829743589742,41.615379487179474,41.393284615384616,41.60737692307693,43.4800102564102,43.097610256410256,41.97156666666666,43.460894871794835,43.577823076923075,43.86364102564101,45.270112820512836,46.33694871794874,45.94407692307689,46.357056410256405,48.501030769230766,49.68118205128205,49.91238974358974,50.26769487179487,50.40901282051282,50.910851282051325,51.760169230769186,51.530982051282095
60 day,43.863833333333346,43.77633333333334,43.73533333333333,43.67733333333333,43.61299999999999,43.542,43.41816666666667,43.34783333333334,43.34466666666667,43.32183333333334,43.38783333333334,43.45766666666667,43.53633333333334,43.93033333333334,44.12433333333333,44.106500000000004,44.190333333333335,44.34299999999999,44.422000000000004,44.51166666666667,44.58383333333334,44.6525,44.83033333333332,44.955833333333324,45.07149999999999
70 day,44.19028571428572,44.082571428571434,44.03442857142857,43.97157142857143,43.90157142857143,43.82757142857143,43.68942857142858,43.61242857142858,43.576428571428586,43.51928571428573,43.45771428571429,43.43942857142857,43.42285714285715,43.431428571428576,43.54642857142858,43.61028571428572,44.07385714285715,44.41157142857143,44.54128571428572,44.587428571428575,44.66414285714286,44.722,44.89385714285714,45.004571428571424,45.101571428571425
80 day,44.49262500000001,44.422375,44.381125000000004,44.322,44.256,44.178250000000006,44.035500000000006,43.91075000000001,43.869375000000005,43.80800000000001,43.72962500000001,43.70212500000001,43.67137500000001,43.62337500000001,43.63912500000001,43.64362500000001,43.71787500000001,43.88,43.98350000000001,44.09312500000001,44.23062500000001,44.37375000000001,44.6535,44.800875000000005,44.937875000000005
90 day,44.58444444444445,44.532222222222224,44.50711111111111,44.47255555555556,44.43033333333334,44.37133333333333,44.28344444444445,44.22311111111112,44.19511111111112,44.14133333333335,44.06377777777779,44.027777777777786,43.9898888888889,43.878555555555565,43.872222222222234,43.86466666666668,43.884000000000015,43.97155555555556,44.01733333333334,44.06911111111112,44.13055555555557,44.192444444444455,44.318777777777775,44.40366666666667,44.47544444444445
Tomorrow,43.22,43.07,42.09,41.56,40.69,40.31,43.41,43.23,41.53,43.26,43.67,43.85,44.32,45.74,45.78,45.48,47.48,49.69,50.08,50.48,50.58,50.91,52.13,51.36,51.66
