,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-16,2019-01-17,2019-01-18,2019-01-23,2019-01-24,2019-01-28,2019-02-05,2019-02-06,2019-02-07,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
2 day,67.725,67.64,66.175,64.655,64.28,63.685,62.66,59.655,61.065,60.045,58.355000000000004,58.540000000000006,60.31,61.845,62.855000000000004,63.195,63.629999999999995,64.325,65.31,64.43,64.46,65.22,67.605,67.84,67.05000000000001,67.80000000000001,68.92,69.85,70.575,70.435
2 hr,68.40731666666666,66.75505833333337,65.56651666666669,64.34427499999998,64.16628333333333,63.369808333333324,62.28399166666666,60.18288333333333,60.72356666666671,58.99830000000002,57.9074,59.74720833333334,61.33273333333329,62.13290833333334,63.20189166666663,62.97049166666664,63.856216666666676,64.81056666666665,65.67528333333335,64.270675,64.57362500000002,64.77890833333329,68.18002500000004,67.71075833333333,66.38894166666667,68.01156666666672,69.61656666666669,70.59899166666668,70.63109166666666,70.19208333333334
2.5 hr,68.44615333333333,66.79191333333334,65.64072000000003,64.37262,64.19839999999995,63.64483999999998,62.24231333333329,60.119279999999996,60.784300000000016,59.07328000000001,57.93440000000001,59.75675333333333,61.350133333333275,62.11590666666667,63.17540666666665,62.90022666666664,63.82718666666668,64.79881999999996,65.66925333333337,64.25204,64.57183333333334,64.78148666666664,68.14051333333336,67.85366666666667,66.36385999999997,67.97526666666673,69.63244000000005,70.62853333333331,70.54913333333329,70.24052000000007
20 day,68.366,68.26899999999999,68.10350000000001,67.84100000000001,67.56500000000001,67.30250000000001,67.08399999999999,65.83599999999998,64.761,64.274,63.647000000000006,63.18050000000001,62.791500000000006,62.581500000000005,62.380500000000005,62.16599999999998,61.589,61.612999999999985,61.751499999999986,62.08950000000001,62.40150000000001,62.791999999999994,64.55350000000001,64.8065,64.973,65.44149999999999,65.77349999999998,66.11999999999998,66.46799999999999,66.73099999999998
20 min,68.2694,66.95114999999998,65.30075,64.16484999999997,64.42795000000001,63.029999999999994,62.39175,60.7506,60.794,58.85569999999999,57.765399999999985,59.495349999999995,61.37880000000001,62.2845,63.16329999999999,63.08824999999998,63.82885,64.81064999999998,65.61664999999999,64.29924999999999,64.53195,64.838,68.19375,67.57505,66.52184999999999,68.30445,69.47330000000001,70.4175,70.87250000000002,70.12205000000002
200 day,72.78359999999994,72.78254999999994,72.76844999999996,72.74234999999994,72.71504999999995,72.68044999999995,72.64199999999995,72.40694999999995,72.21954999999996,72.14449999999995,72.07054999999995,71.99904999999995,71.93829999999997,71.89229999999996,71.85764999999996,71.81239999999995,71.67249999999996,71.64604999999995,71.62294999999995,71.55909999999994,71.52964999999995,71.46144999999996,71.27094999999997,71.25199999999998,71.22659999999998,71.19584999999998,71.18484999999998,71.18119999999998,71.17684999999999,71.17309999999999
25 min,68.30452000000001,66.90191999999999,65.3242,64.16667999999999,64.39968,63.00760000000001,62.4594,60.69708,60.785599999999995,58.82576,57.78151999999999,59.50667999999999,61.40424000000001,62.27120000000001,63.16264,63.07739999999999,63.822559999999996,64.83143999999999,65.63928,64.29719999999998,64.52596,64.83639999999997,68.20868,67.57572,66.49828,68.26288,69.49643999999999,70.42800000000001,70.87940000000002,70.12824000000002
3 hr,68.48263888888889,66.77936666666665,65.72835555555558,64.40960000000001,64.27769444444445,63.82653888888887,62.235299999999974,60.04929999999998,60.838444444444455,59.10063333333335,57.96213333333334,59.76672777777778,61.35034444444438,62.08762777777778,63.1672722222222,62.86077222222222,63.8042388888889,64.78593333333333,65.6679777777778,64.23391111111111,64.56450555555556,64.76070555555555,68.10979444444447,67.94348333333332,66.32971111111107,67.97125000000004,69.62012777777781,70.65584999999997,70.48338333333328,70.28807222222225
3.5 hr,68.52235714285715,66.78832380952377,65.8013904761905,64.45234761904764,64.30854285714287,63.97296190476188,62.2237095238095,60.023219047619015,60.84556666666666,59.06217619047621,58.027919047619044,59.743147619047626,61.33059047619042,62.063195238095226,63.1664095238095,62.87032380952382,63.79496666666666,64.75074761904759,65.6724666666667,64.20483333333333,64.57802380952376,64.72490000000002,68.0859142857143,68.00251904761905,66.30143333333329,67.97292857142858,69.60798571428573,70.68935238095236,70.44449523809521,70.32752857142863
30 day,69.28999999999999,69.11333333333332,68.87500000000001,68.60566666666668,68.35866666666668,68.161,67.91,66.72466666666665,65.96133333333333,65.613,65.20733333333332,64.911,64.73,64.549,64.398,64.22233333333332,63.523,63.34266666666666,63.24533333333332,63.01833333333333,62.928,62.76099999999999,63.043000000000006,63.300000000000004,63.57533333333334,64.00766666666667,64.28366666666666,64.59333333333333,64.98566666666666,65.39866666666666
30 min,68.32493333333335,66.88693333333332,65.33700000000002,64.16656666666667,64.37076666666668,62.98633333333334,62.48813333333333,60.64223333333333,60.78166666666666,58.79813333333335,57.80859999999999,59.51856666666664,61.411200000000015,62.255333333333354,63.16553333333334,63.072166666666654,63.82553333333332,64.85686666666666,65.64923333333334,64.29949999999998,64.51583333333333,64.83816666666664,68.2214,67.57520000000001,66.48556666666667,68.22706666666666,69.51509999999999,70.42536666666668,70.87716666666668,70.12706666666668
4 hr,68.5434125,66.79112499999998,65.87885000000003,64.57122916666667,64.28504166666669,64.08363749999998,62.176441666666655,59.99234583333328,60.83400000000001,59.001775000000016,58.075924999999984,59.70795833333336,61.301695833333284,62.03007083333331,63.13370416666664,62.876395833333355,63.7798375,64.71633749999998,65.67159166666669,64.16370833333332,64.59646666666664,64.68475416666668,68.05066250000002,68.04262083333334,66.27964583333328,67.96950833333335,69.58595416666667,70.70994166666664,70.42135416666669,70.36717083333339
4.5 hr,68.56725555555558,66.81687037037035,65.9688814814815,64.64692592592591,64.24210740740745,64.14989999999999,62.128466666666675,59.93199259259256,60.79856296296298,58.96975185185186,58.11192962962962,59.65140370370373,61.26102592592588,61.97696666666662,63.1235148148148,62.89924444444449,63.76578148148149,64.67577037037034,65.66526296296301,64.1630407407407,64.60754814814814,64.66681481481483,68.03510370370371,68.08066296296299,66.26490740740738,67.95930000000004,69.55580740740743,70.71645925925921,70.40219259259264,70.40153333333339
40 day,67.93299999999998,67.98424999999999,67.96950000000001,67.96225000000001,67.965,67.91100000000002,67.86300000000001,67.65225,67.07549999999999,66.7435,66.39199999999998,66.15275,65.938,65.7105,65.4875,65.29225,64.715,64.589,64.527,64.38475,64.30425,64.166,63.672500000000014,63.69400000000002,63.676750000000006,63.68050000000001,63.7325,63.864250000000006,64.02850000000001,64.17200000000001
45 min,68.36428888888888,66.86806666666666,65.37973333333336,64.239,64.26366666666668,62.95299999999998,62.53548888888887,60.50799999999998,60.72486666666668,58.78486666666667,57.81413333333333,59.55684444444444,61.425377777777776,62.18671111111112,63.18759999999999,63.05184444444443,63.828799999999994,64.86146666666664,65.68813333333334,64.30982222222221,64.52671111111111,64.84399999999997,68.22673333333336,67.60133333333334,66.46377777777778,68.15864444444445,69.54186666666666,70.46971111111112,70.83244444444445,70.10722222222223
5 day,67.67999999999999,67.326,67.016,66.40200000000002,65.78799999999998,64.78599999999999,63.79600000000001,60.886,60.617999999999995,60.754,60.098,59.644000000000005,59.681999999999995,59.955999999999996,60.806000000000004,61.89200000000001,63.236000000000004,63.576,64.114,64.66,64.81,64.774,66.10400000000001,66.668,66.96600000000001,67.57400000000001,67.806,68.378,69.21600000000001,69.816
