,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
2 day,267.51,270.1,275.45,271.42999999999995,264.82,266.87,268.855,263.67499999999995,253.48499999999999,243.77499999999998,261.87,267.66,269.43,284.385,306.455,317.80499999999995,331.125,335.265,353.015,352.28999999999996,346.145,323.57500000000005,324.33000000000004,332.36,336.855,332.28,334.78,340.08000000000004,339.675,345.595,353.575,354.0,348.45,346.14,346.65,352.85,355.87,355.41999999999996,357.97
2 hr,265.71725,277.03278333333327,275.3658583333333,269.78707499999996,263.5364499999999,271.10671666666667,269.88472499999995,258.8006916666666,246.11136666666653,246.6312666666667,267.14538333333326,267.82058333333333,272.7785916666667,295.8075416666666,314.0379833333334,319.35529166666663,338.24478333333354,333.70095,352.5296333333333,352.90107499999976,339.64201666666656,320.51259999999996,326.9864333333333,338.14070833333335,334.17643333333336,329.39676666666657,339.2263166666667,340.72823333333326,340.6126166666666,349.99906666666664,357.4372999999999,351.0184666666667,343.54091666666676,346.46440000000007,345.8706333333333,357.8266499999998,354.31980833333324,358.75899166666653,356.29239166666684
2.5 hr,265.70947999999987,277.5652733333333,275.33145333333323,270.44581333333315,263.8426666666666,271.57423333333344,271.27204,258.30613333333326,246.1312533333334,246.18772000000007,267.34946666666673,267.88048666666657,272.7546666666666,295.7971799999999,314.0481200000001,319.20005333333324,338.01212000000027,333.8811799999999,352.4485999999999,352.7992999999997,340.2421933333334,320.46583999999984,326.79502,338.07552666666675,333.93530000000015,329.51752666666664,337.9743466666666,340.7117399999999,341.0066066666665,349.77121999999986,356.98370000000006,350.8153666666668,343.5611333333335,346.05524666666673,345.9268133333334,357.57593999999983,354.92274666666657,358.37043999999986,356.32103333333345
20 day,277.213,276.2535,275.33450000000005,274.34000000000003,272.977,272.2135,272.02200000000005,271.702,270.915,269.28,266.34375000000006,265.42025000000007,264.46525,265.57725,267.20025,269.95675,278.57225,281.41825,290.23775,294.35024999999996,297.96675,304.97574999999995,309.61524999999995,313.83425,317.839,321.47999999999996,325.13,328.722,332.1544999999999,334.843,336.8665,338.4625,339.7,340.8455,341.25249999999994,342.60400000000004,342.4605,342.8445,343.0285
20 min,265.8528,276.13430000000005,276.31165,266.35524999999996,262.25135000000006,272.10020000000003,267.2345,260.5331,245.07065000000003,251.83445,266.52395,267.26194999999996,272.22594999999995,296.3803,315.96290000000005,319.8959,338.1146,333.2487,350.91889999999995,353.27060000000006,339.2123,321.8188,326.63969999999995,337.77619999999996,335.2721499999999,328.8844,340.27525,339.3902499999999,339.23595,350.84225000000004,356.81000000000006,352.6662,343.76720000000006,346.82730000000004,346.14575,359.29425000000003,351.30165,359.73659999999995,356.2718
200 day,336.41640000000024,336.33775000000014,336.26095000000015,336.1432000000002,335.9519500000001,335.7316500000002,335.43940000000026,335.1365000000002,334.78345000000024,333.95750000000015,333.06142500000004,332.80747500000007,332.596075,332.49642500000004,332.4907250000001,332.55857500000013,332.8597250000001,333.09557500000005,333.7475250000001,334.0951250000001,334.34592500000014,334.66757500000006,334.8512750000001,335.05117500000006,335.2111250000001,335.30937500000005,335.4544250000001,335.6130250000001,335.6319750000002,335.7160750000001,335.83162500000014,335.95372500000013,336.08382500000005,336.2865750000001,336.4864250000001,336.71637500000014,336.9164250000002,337.1494750000001,337.36732500000005
25 min,266.02824,276.08212,276.30807999999996,266.618,262.2230400000001,271.84736000000004,267.15592000000004,260.80596,244.64492000000007,251.54708000000002,266.5598,267.08603999999997,272.29356,296.10416,315.86500000000007,319.9116,338.27788,333.32768,350.95023999999995,353.16136000000006,339.26980000000003,321.63444,326.50859999999994,337.71291999999994,335.39315999999997,328.84780000000006,340.09664000000004,339.60795999999993,339.33716,350.76300000000003,357.19788,352.56451999999996,343.64207999999996,346.80944000000005,346.0706400000001,359.17940000000004,351.50936,359.78252,356.15731999999997
3 hr,265.8935111111109,278.08353333333343,275.04223888888885,271.19439444444424,264.3178555555554,272.1395166666667,272.0838166666666,258.21737777777776,246.22385,245.86431666666672,267.6164444444446,267.5912611111111,272.6245999999998,295.72166111111096,314.2056333333334,318.8597055555555,337.9524444444447,333.77341666666666,352.4593277777777,352.82624999999973,340.9855888888889,320.426861111111,326.4691777777778,337.88147777777783,333.62133888888906,329.5510222222222,337.1959444444443,340.79423888888886,341.530011111111,349.65093888888873,356.6386833333334,350.74416666666684,343.3950611111112,345.798388888889,346.11207222222225,357.3474666666666,355.26544999999993,358.0781333333333,356.36949444444457
3.5 hr,266.17075714285704,278.47230952380954,274.7721333333334,272.0013571428569,264.80944761904755,272.42212380952384,273.1193666666666,258.14738095238096,246.2352238095238,245.49514761904777,267.44276666666684,267.11360476190475,272.77557142857125,295.51327619047606,314.2952952380954,318.4528904761903,338.2281523809526,333.70221904761905,352.4319,352.7546619047615,341.84603809523827,320.4548904761904,326.48523809523823,337.8692904761905,333.3943142857144,329.61955714285705,336.7202809523809,340.8321999999999,341.96558571428557,349.5521095238094,356.4828857142857,350.7258000000001,343.044661904762,345.5616000000002,346.29924761904755,357.0512952380953,355.49083809523785,357.83140476190476,356.5914857142858
30 day,287.278,286.94599999999997,286.61966666666666,285.455,283.6356666666667,282.3636666666667,280.74133333333333,279.066,276.3623333333333,271.90099999999995,268.70450000000005,267.9578333333334,267.45750000000004,268.3565,269.9685,271.9065,278.41749999999996,280.09383333333335,284.4655,286.5618333333333,288.68749999999994,291.9918333333333,293.89083333333326,296.31516666666664,298.3411666666667,300.10383333333334,302.5645,305.1211666666667,307.41816666666654,310.2371666666666,313.4115,316.9381666666667,320.6325,323.7625,326.768,330.231,333.0346666666667,336.08166666666665,338.9373333333333
