,2018-12-12,2018-12-13,2018-12-18,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-03,2019-01-04,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-29,2019-01-31,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-12,2019-02-13,2019-02-15
2 day,64.04,64.24000000000001,60.695,55.875,55.415000000000006,58.195,58.635000000000005,57.455,58.599999999999994,60.855000000000004,59.86,60.115,58.355000000000004,55.67,54.44,57.735,59.515,56.655,52.355000000000004,53.285,56.28,57.995,59.78,61.965,62.254999999999995,61.215,60.55,63.81,65.74000000000001,64.905
2 hr,65.09811666666666,63.41996666666666,60.68024999999998,55.112275,55.81295000000001,58.80445000000002,58.22150000000001,56.10452500000002,60.88224166666664,59.2434916666667,60.81297499999999,59.11535833333333,57.496958333333346,54.37210000000002,54.639658333333315,58.176025,60.97670833333335,52.68130833333338,51.86099166666668,54.31565833333333,58.26352500000002,57.44211666666669,60.8979916666667,62.14604999999998,62.157941666666645,59.88010000000001,61.19630833333335,65.19753333333334,67.07008333333332,64.24443333333332
2.5 hr,65.14798000000002,63.48385999999997,60.72523333333331,55.17133333333333,55.95532000000001,58.61164000000001,58.23721999999998,56.101606666666676,60.91476666666663,59.25542666666671,60.73484000000001,59.009139999999995,57.55031333333335,54.41282666666668,54.66712,58.08852,60.99998666666668,52.84402000000006,51.87274,54.21619999999998,58.21892666666667,57.42605333333334,60.98533999999999,62.13990666666663,62.13919999999998,59.93155333333332,61.11755999999996,65.15912666666667,67.22702,64.19842666666666
20 day,60.581500000000005,60.996,61.4695,61.37450000000001,61.144000000000005,61.154500000000006,60.92,60.145999999999994,59.95299999999999,59.828500000000005,59.7995,59.611500000000014,59.23100000000001,58.75450000000001,58.25949999999999,57.963499999999996,58.18500000000002,58.041500000000006,57.879,57.781499999999994,57.6875,57.60200000000001,57.711500000000015,57.9615,58.1255,58.096999999999994,58.169,58.98299999999999,59.5585,60.27549999999999
20 min,64.95159999999998,63.57695000000001,60.82405,55.23545,55.2041,59.9173,58.1558,55.75865,61.42554999999999,59.027249999999995,60.74949999999999,59.41239999999999,57.04485000000001,54.173,54.6034,58.18769999999999,60.792600000000014,52.25005000000001,52.084999999999994,54.32885000000001,58.26089999999999,57.706950000000006,60.64295,62.20100000000001,62.22130000000001,59.87205,61.196799999999996,65.43915000000001,66.42625000000001,64.16300000000003
200 day,89.96674999999998,89.64289999999997,88.62459999999999,87.81070000000001,87.40010000000001,86.64110000000002,85.54005000000001,84.78164999999998,84.40809999999999,83.7219,83.4112,83.06524999999999,82.7597,82.45535,82.13095000000001,81.5542,81.27555,80.95745,80.65044999999999,80.33659999999999,80.0097,79.35714999999999,78.8013,77.94005000000001,77.6564,77.367,77.1015,76.63715,76.40865,75.90759999999999
25 min,65.01119999999997,63.53448,60.80092,55.285560000000004,55.15828,59.88264,58.167440000000006,55.79396,61.39135999999999,59.07191999999999,60.756799999999984,59.41312,57.072400000000016,54.217240000000004,54.62472,58.21279999999999,60.823160000000016,52.21276000000001,52.06879999999999,54.32968000000001,58.27363999999999,57.69912000000002,60.64576,62.2078,62.22028000000001,59.84788,61.21663999999999,65.45164000000001,66.50180000000002,64.17804000000002
3 hr,65.2352388888889,63.5176722222222,60.80151666666664,55.273072222222225,56.003666666666675,58.54546666666664,58.325005555555514,56.07611666666665,60.95711111111108,59.21032777777781,60.61468333333333,58.961049999999965,57.59172777777778,54.4361277777778,54.666616666666684,57.999644444444414,61.036033333333314,52.91461111111118,51.897583333333316,54.15058888888889,58.20546666666664,57.40236111111113,61.09888333333334,62.137277777777754,62.12562222222222,59.962177777777775,61.052944444444435,65.11774444444444,67.32278888888888,64.14072222222222
3.5 hr,65.25114285714287,63.539623809523825,60.85768095238092,55.378109523809535,55.98590952380954,58.542266666666656,58.422219047619016,56.0857571428571,60.99553809523806,59.12460000000004,60.478942857142854,58.98390476190476,57.58372380952378,54.44609523809525,54.65130000000002,57.88132380952378,61.05485714285715,52.997676190476234,51.93458095238093,54.100342857142856,58.19806666666667,57.37616666666666,61.16820952380954,62.14731904761905,62.090542857142836,59.97079047619047,61.005076190476196,65.10638095238096,67.41721904761903,64.1167238095238
30 day,60.809,61.098333333333336,60.962999999999994,60.38333333333333,60.062,59.984,60.28066666666666,60.13399999999999,60.28166666666665,60.44166666666667,60.56533333333333,60.57666666666667,60.510666666666665,60.251666666666665,60.082666666666654,59.58533333333332,59.44233333333332,59.10666666666666,58.792666666666655,58.56433333333332,58.392333333333326,57.97599999999999,57.78366666666667,58.199,58.42933333333333,58.55433333333333,58.58633333333333,58.917,59.175000000000004,59.67166666666666
