,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
2 day,141.965,143.29000000000002,144.755,144.535,142.125,141.925,138.45,133.32,129.12,132.14499999999998,133.385,133.71,134.845,138.0,140.29000000000002,143.38,144.21499999999997,144.0,144.595,148.245,147.92000000000002,148.805,145.935,145.065,147.42000000000002,148.24,145.82999999999998,158.555,166.2,167.48000000000002,170.20499999999998,170.825,168.435,166.85500000000002,166.56,165.415,164.555,164.01,163.225
2 hr,142.59975000000003,145.35222499999998,144.14081666666664,144.91565,140.6738333333333,144.18763333333334,135.403175,133.22202500000006,132.4563,130.38220000000004,136.26492500000003,131.78786666666667,137.3397666666666,138.25259166666666,142.17460000000003,143.78444999999994,144.10697500000003,143.7758,145.79916666666665,147.85540833333334,147.65368333333342,147.1980333333333,143.86520833333327,145.46543333333332,149.2654666666666,147.28481666666667,143.96155833333336,167.64228333333338,166.63765833333335,168.7558666666667,171.01204999999996,170.24799999999996,165.8127749999999,166.76634166666656,165.7162833333334,165.87752499999993,164.827125,164.07078333333325,161.7113166666667
2.5 hr,142.45520666666673,145.55162666666664,144.11991999999992,145.03719333333336,140.96227999999994,144.30558,135.64168,133.1912666666667,132.43759333333335,130.3958733333334,136.44653333333335,131.93738666666673,137.32301333333328,138.23013999999992,142.15696000000005,143.85152666666656,143.91750666666664,143.84404000000004,145.7090133333333,147.81571999999997,147.63352666666674,147.31517333333332,143.88062,145.38298666666662,149.3220266666667,147.3229466666667,144.00161333333332,167.66137333333342,166.72820666666664,168.76213999999996,170.8577733333333,170.2664333333333,165.9026266666666,166.6441466666666,165.6682333333334,166.01030666666668,164.9292533333334,164.13919333333334,161.68060000000003
20 day,138.4635,138.61100000000002,138.7535,138.74550000000002,138.56250000000003,138.76900000000003,138.8535,138.902,137.91500000000002,137.33350000000002,137.08700000000002,136.61950000000002,136.62050000000002,136.5415,136.797,136.916,137.02200000000002,136.987,137.006,137.618,137.85,139.39849999999998,140.36599999999999,141.4545,142.19599999999997,142.8435,143.393,145.91,147.6085,149.1735,150.82899999999998,152.22699999999998,153.3345,154.491,155.59050000000002,156.57300000000004,157.329,158.14950000000002,158.8595
20 min,142.4065,145.29534999999998,144.82389999999998,144.5147,139.5555,144.39125,133.9607,133.41655000000003,133.62684999999996,130.3062,135.43665000000001,131.5449,137.71949999999998,138.10224999999997,142.32605,143.99644999999998,144.2941,143.73255,145.84355000000002,147.6556,147.97205,147.33165000000002,144.11765,145.5888,149.14295,147.2896,143.9205,167.18595000000005,166.11430000000001,168.9618,171.04059999999998,170.60065000000003,165.97899999999998,166.80684999999997,165.92815000000002,164.99780000000004,164.28515000000002,164.05265000000003,162.19225
200 day,171.66812500000003,171.48332500000006,171.31677500000006,171.15737500000006,170.97522500000002,170.79152500000004,170.55882500000004,170.307275,169.461575,168.705975,168.45892500000002,168.254825,168.103825,167.94712500000003,167.835325,167.759525,167.68022499999998,167.638125,167.599925,167.50647499999997,167.46742499999996,167.383275,167.31877500000002,167.258275,167.178125,167.083875,166.985475,166.92427500000002,166.909525,166.92397499999998,166.939275,166.96032500000004,166.9630250000001,167.00122500000006,167.03172500000005,166.98612500000002,166.938525,166.89827499999998,166.841475
25 min,142.53052000000002,145.303,144.7348,144.56215999999998,139.46867999999998,144.32508,134.0822,133.51824000000002,133.48907999999997,130.27611999999996,135.38176,131.58148,137.6216,138.07095999999999,142.38324000000003,143.99256,144.31307999999999,143.738,145.93872000000005,147.69664,147.9698,147.27576000000002,144.16292,145.57183999999998,149.07976,147.29316,143.9268,167.21676000000008,166.18883999999997,168.89808000000002,171.08267999999995,170.58656000000002,165.91104000000004,166.77707999999998,165.90712,165.09584000000004,164.38732,164.03772000000004,162.1142
3 hr,142.4470333333334,145.71741666666662,144.04604999999995,145.11992777777775,141.32508333333328,144.4954555555556,135.51838888888895,133.20283888888895,132.3402222222223,130.44054444444453,136.4454277777778,132.07285000000002,137.31168333333326,138.22978888888886,142.1701055555556,143.9380833333333,143.85185555555552,143.97144444444442,145.57389999999998,147.83267777777777,147.69857777777784,147.3798944444444,143.95495555555553,145.2372555555555,149.33385555555557,147.28478888888895,144.05195555555557,167.86736666666673,166.77189444444446,168.7648222222222,170.73598888888887,170.23535,165.96209444444438,166.54349999999994,165.72112222222228,166.08072777777772,164.97932222222227,164.22003888888892,161.64519444444448
3.5 hr,142.4730333333334,145.83639999999997,144.02784761904758,145.16401428571422,141.6953571428571,144.65887619047624,135.74634285714288,133.1751523809524,132.219080952381,130.46341904761908,136.38945714285714,132.19989999999999,137.2797095238095,138.20763809523808,142.19185714285717,144.00001904761905,143.88741428571424,144.09907142857148,145.3835904761905,147.8045,147.7866285714286,147.54215714285704,144.0354571428571,145.11753333333328,149.3451714285714,147.24659047619053,144.09050952380952,168.02586666666664,166.7191857142858,168.69568571428567,170.6308714285714,170.17863809523817,165.95677142857141,166.42938095238085,165.8003523809525,166.17145714285712,165.0274333333335,164.2554095238095,161.67784761904758
30 day,141.81500000000003,141.89533333333335,141.85500000000002,141.59733333333332,141.21200000000002,140.98900000000003,140.47433333333336,139.92299999999997,137.88400000000001,136.91333333333336,136.64100000000002,136.38133333333337,136.5946666666667,136.78200000000004,137.03900000000002,137.45566666666667,137.71633333333335,138.00966666666667,138.29733333333334,138.87066666666666,139.111,139.7793333333333,140.00866666666667,140.14133333333334,140.3723333333333,140.47133333333335,140.444,141.5393333333333,142.2743333333333,143.47466666666662,144.7333333333333,146.25133333333332,147.66200000000006,148.767,149.80933333333334,150.8706666666667,151.97,152.91233333333332,153.93766666666664
