,2018-12-18,2018-12-20,2018-12-21,2019-01-07,2019-01-17,2019-01-22,2019-01-31,2019-02-07,2019-02-12,2019-02-13,2019-02-14
20 day,101.790335,100.36575500000001,99.62752500000002,93.76608500000002,94.10876499999998,95.385205,99.73627,103.398535,105.324045,106.03515999999999,106.80475999999999
20 min,93.79025,92.45235000000001,91.34475,93.32084999999998,99.84159999999999,103.53399999999999,107.01984999999999,108.7355,111.37399999999998,111.16,112.28450000000002
200 day,117.22170449999994,116.96395699999998,116.82872249999998,115.59590049999997,114.84098449999998,114.75197449999997,114.48898249999995,114.21869599999997,114.11868899999995,114.08653349999993,114.06498149999994
25 min,93.73880000000001,92.52928000000001,91.33580000000002,93.34523999999998,99.88879999999997,103.47524,106.98688,108.66679999999998,111.36859999999999,111.15099999999998,112.31348
3 hr,93.88551111111116,92.44587222222225,92.44715555555558,93.63219999999995,99.6050166666666,103.60312777777767,106.68147222222213,108.42740000000005,111.23174999999996,110.82566666666666,112.21743333333333
3.5 hr,93.93131904761907,92.4735523809524,92.52657142857142,93.62541904761899,99.49357142857139,103.69886666666655,106.65592857142852,108.35713333333338,111.22330952380949,110.80981904761899,112.22502857142858
30 day,103.58751333333332,102.49480999999999,101.83073666666665,97.60288333333332,95.21394666666667,95.40848,97.19652666666664,100.06800999999997,101.78065333333333,102.38907333333333,103.02550999999998
30 min,93.71333333333334,92.56940000000002,91.36873333333337,93.35119999999999,99.9033333333333,103.45436666666666,106.95346666666667,108.61599999999999,111.35516666666668,111.1475,112.31723333333333
4 hr,93.9663541666667,92.49066250000003,92.5969166666667,93.5811041666666,99.43042499999991,103.77450833333317,106.6853666666666,108.28221250000004,111.22900833333328,110.79120416666663,112.21185833333335
4.5 hr,93.97694444444448,92.47665555555561,92.70371481481487,93.56819629629625,99.34513703703696,103.86999629629614,106.72591851851847,108.22222222222226,111.26515185185183,110.77997407407403,112.19295185185189
40 day,104.79204499999999,103.91279,103.52398499999997,99.89039249999999,97.94954999999999,97.87547999999998,97.53878749999998,98.410225,99.3669925,99.83203749999998,100.29839249999998
45 min,93.59766666666668,92.59033333333335,91.45882222222222,93.36315555555555,99.85011111111105,103.4784222222222,106.86386666666668,108.56377777777776,111.31033333333329,111.0963555555555,112.28337777777773
5 day,94.59509999999999,92.6298,92.26268000000002,92.53206000000002,97.65375999999999,100.53086,105.37126,108.49198000000001,109.53,110.06800000000001,110.71600000000001
5 hr,93.97195666666671,92.49909000000001,92.77453000000006,93.51453666666661,99.27102333333326,103.94810666666655,106.76583666666666,108.2404366666667,111.2878833333333,110.77160666666663,112.18069333333331
5 min,93.72,92.348,90.951,93.274,99.8504,103.58600000000001,107.165,108.80199999999999,111.468,111.21399999999998,112.17999999999999
5.5 hr,93.97954545454552,92.52484545454548,92.87354848484851,93.44390909090905,99.21386969696962,104.04389696969683,106.79405151515151,108.29511515151512,111.27136060606051,110.77348484848483,112.16177878787875
50 day,106.36866199999999,105.282806,104.82722199999998,101.54565999999997,99.79601399999997,99.65096799999998,99.30240599999999,99.55781599999999,99.73005399999998,99.83173799999997,99.95182799999996
50 min,93.57900000000001,92.58229999999999,91.49794,93.36444,99.83489999999995,103.47037999999999,106.84514000000001,108.55586,111.29971999999998,111.06397999999996,112.27883999999996
55 min,93.56269090909093,92.54809090909092,91.55720000000001,93.36603636363634,99.82099999999996,103.46070909090908,106.8403090909091,108.56223636363636,111.29447272727272,111.02861818181816,112.28103636363633
6 hr,93.98451388888891,92.54941388888888,92.95292500000002,93.36218055555554,99.23040555555546,104.14590833333321,106.7781388888889,108.33559444444444,111.23735833333329,110.7482527777778,112.12496388888883
6.5 hr,93.9880743589744,92.52894871794868,92.96885128205128,93.30870769230768,99.24193333333325,104.24216153846146,106.78490512820514,108.3695051282051,111.20853846153842,110.68963846153851,112.02057179487174
60 day,108.58723833333332,107.66626666666667,107.16782333333332,103.08186166666664,101.23095166666664,101.07026166666664,100.66141166666667,100.60719333333333,100.82088999999999,100.92258666666665,101.01933666666665
70 day,110.62272999999999,109.63864285714286,109.15182142857141,105.43924857142856,102.86583428571426,102.45491999999997,101.79076714285712,101.77922857142855,101.90067142857141,101.91442999999998,101.93892285714284
