,2018-12-11,2018-12-12,2018-12-14,2018-12-17,2018-12-18,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-09,2019-01-10,2019-02-05,2019-02-14,2019-02-15
2.5 hr,20.976339999999976,21.35095999999999,20.32764,19.645439999999994,19.589606666666672,18.75508666666667,18.409146666666683,18.781500000000012,19.340260000000004,19.68871333333335,19.501199999999997,19.942146666666687,20.76090000000001,20.846920000000008,21.815373333333326,21.955213333333322,22.14354666666665
20 day,22.377000000000002,22.217000000000006,21.886000000000003,21.686,21.500500000000002,21.210999999999995,21.068499999999997,20.768,20.319000000000006,20.189500000000002,20.023500000000002,19.916000000000004,19.7365,19.734500000000004,21.3485,21.552999999999997,21.5735
20 min,20.945249999999998,21.2334,20.118000000000002,19.505100000000002,19.59325,18.6147,18.18865,19.022750000000002,19.45135,19.59545,19.4699,19.87625,20.749149999999997,20.867250000000002,21.859,21.90975000000001,21.93415
200 day,22.75337499999999,22.717674999999996,22.638999999999992,22.603249999999992,22.563499999999994,22.47954999999999,22.43589999999999,22.34764999999999,22.22704999999999,22.18759999999999,22.152949999999983,22.117499999999982,22.04039999999998,22.016349999999985,21.70244999999999,21.61569999999999,21.604949999999985
25 min,20.9624,21.235,20.14868,19.50764,19.585800000000003,18.63816,18.16592,19.006520000000002,19.450560000000003,19.592959999999994,19.476119999999998,19.8704,20.751119999999997,20.8554,21.8642,21.91100000000001,21.94692
3 hr,20.977777777777757,21.37801111111111,20.354555555555553,19.673033333333326,19.601505555555555,18.820483333333343,18.413066666666687,18.769966666666676,19.348950000000002,19.704527777777805,19.492349999999988,19.954438888888905,20.771711111111127,20.854788888888898,21.797983333333313,21.96293888888888,22.15160555555553
3.5 hr,20.990304761904753,21.391376190476176,20.382195238095235,19.704080952380938,19.60606190476191,18.86730952380953,18.403642857142874,18.769380952380967,19.34066190476191,19.707228571428583,19.47925238095237,19.952685714285728,20.776957142857164,20.870528571428583,21.78953333333332,21.967542857142867,22.15442380952379
30 day,22.611666666666675,22.605666666666675,22.495000000000005,22.380333333333336,22.26633333333334,21.963333333333328,21.775999999999996,21.425333333333334,20.975666666666665,20.845333333333333,20.71533333333333,20.62033333333333,20.541000000000004,20.49433333333334,20.678333333333335,21.24233333333333,21.323666666666664
30 min,20.98466666666667,21.231400000000004,20.174733333333332,19.509999999999998,19.5745,18.651133333333334,18.16393333333333,18.988933333333332,19.446966666666672,19.588799999999996,19.478433333333335,19.86183333333333,20.755999999999993,20.844199999999997,21.874166666666664,21.90483333333334,21.9561
4 hr,21.01378333333332,21.393758333333324,20.40540833333333,19.758329166666663,19.608841666666667,18.901762500000007,18.411841666666678,18.766700000000004,19.347587500000014,19.695495833333357,19.46289999999999,19.941487500000026,20.773820833333353,20.880591666666668,21.789566666666648,21.97467916666668,22.154729166666648
4.5 hr,21.050540740740736,21.399925925925903,20.44347037037036,19.817314814814807,19.597344444444452,18.930344444444444,18.440429629629637,18.743577777777787,19.343696296296304,19.697622222222243,19.457944444444433,19.92692592592595,20.771896296296323,20.88244814814815,21.805944444444417,21.971918518518525,22.147018518518514
40 day,22.450750000000003,22.439750000000004,22.352250000000005,22.290750000000003,22.227250000000005,22.0655,21.986250000000002,21.839250000000003,21.66,21.576249999999998,21.485999999999997,21.395999999999997,21.147,21.055750000000003,20.580000000000002,20.722749999999998,20.778999999999996
45 min,21.00773333333333,21.233355555555562,20.225155555555567,19.541688888888885,19.543244444444444,18.686244444444448,18.170622222222217,18.92353333333333,19.40868888888889,19.597488888888886,19.48004444444445,19.85477777777777,20.755666666666663,20.82279999999999,21.877666666666663,21.896555555555558,21.99086666666667
5 day,21.604,21.43,20.848,20.46,20.2,19.464,19.139999999999997,18.844,19.169999999999998,19.384,19.445999999999998,19.564,20.158,20.448,21.741999999999997,21.538,21.68
5 hr,21.09502666666666,21.407559999999968,20.47940333333332,19.860803333333326,19.59768000000001,18.964143333333336,18.457556666666672,18.716703333333342,19.346290000000003,19.69804666666668,19.440979999999982,19.928500000000017,20.762733333333358,20.882963333333336,21.8299733333333,21.96393000000001,22.14661
5 min,20.918,21.166,20.073,19.512,19.631999999999998,18.5572,18.387,19.088,19.4464,19.601,19.445,19.878,20.741999999999997,20.857999999999997,21.868,21.916,21.868999999999996
5.5 hr,21.147336363636352,21.405612121212084,20.4990909090909,19.876836363636354,19.59461212121212,19.010766666666665,18.463775757575767,18.69944242424243,19.356024242424237,19.68903333333334,19.414224242424233,19.91813939393941,20.752915151515168,20.87345757575758,21.848718181818146,21.954527272727283,22.143748484848476
