,2018-12-21,2018-12-31,2019-01-02,2019-01-03,2019-01-07,2019-01-08,2019-01-10,2019-01-11,2019-01-14,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-29,2019-02-01,2019-02-04,2019-02-08
3.5 hr,39.56606666666667,38.538861904761895,39.8279523809524,37.00547142857141,35.668457142857164,35.98911904761907,35.286233333333335,33.18655238095237,32.8160476190476,33.01915714285714,34.136504761904774,32.796499999999995,31.97456190476192,32.457504761904765,32.41658571428573,31.628604761904764,31.73015238095237,28.381566666666675
30 day,47.99166666666665,46.57099999999999,46.225999999999985,45.79033333333332,45.138,44.789333333333325,43.948666666666654,43.42533333333333,42.82199999999999,41.016,40.501333333333335,39.934000000000005,39.44733333333333,38.89966666666667,37.20499999999999,35.794,35.452666666666666,34.04266666666667
30 min,39.3729,38.731766666666665,39.8003,36.539466666666655,35.81793333333333,36.44366666666666,35.04956666666668,33.41573333333333,32.561499999999995,32.87846666666666,34.27306666666667,32.41726666666667,31.90606666666667,32.6476,32.26546666666667,31.8285,31.744933333333325,28.46843333333333
4 hr,39.59265416666667,38.47497083333332,39.84025416666668,37.100883333333314,35.68337916666667,36.026870833333355,35.298874999999995,33.13371666666667,32.893762499999994,33.04919166666666,34.06776250000002,32.85580833333332,31.958108333333353,32.44883333333334,32.432325000000006,31.595012500000006,31.746908333333334,28.35882916666667
4.5 hr,39.6462074074074,38.48598888888888,39.841303703703744,37.18624814814813,35.69877407407407,36.031837037037064,35.285944444444446,33.0933962962963,32.934455555555544,33.077796296296306,34.009059259259274,32.937685185185174,31.92546666666668,32.41154814814815,32.4180925925926,31.57086296296295,31.76987037037037,28.344633333333338
40 day,50.91574999999999,47.949749999999995,47.23474999999999,46.94524999999999,46.212749999999986,45.80099999999999,44.974499999999985,44.61199999999999,44.23674999999999,42.988749999999996,42.668749999999996,42.3335,41.9475,41.58575,40.28824999999999,38.84075,38.39475,36.5585
45 min,39.38359999999999,38.66384444444444,39.723155555555564,36.53888888888888,35.81595555555554,36.34755555555555,35.08348888888889,33.3753111111111,32.563311111111105,32.877977777777765,34.312444444444466,32.46066666666667,31.995577777777783,32.5912888888889,32.278400000000005,31.78984444444444,31.739399999999996,28.471444444444447
5 day,42.462,41.162,41.11,39.95,37.652,37.29599999999999,36.227999999999994,35.424,34.726,32.94,33.14,33.114,32.82,32.815999999999995,32.260000000000005,31.855999999999995,31.869999999999997,30.508
5 hr,39.68073333333333,38.486093333333336,39.86377666666669,37.264596666666655,35.720670000000005,36.00535000000003,35.26935666666667,33.05439,33.00549999999999,33.09424333333332,33.964190000000016,33.02201666666665,31.92705333333334,32.37365333333332,32.379030000000014,31.55007666666665,31.78751,28.32565000000001
5 min,39.481,38.5906,39.84439999999999,36.568,35.898,36.757,35.0236,33.285,32.42700000000001,32.849,34.29800000000001,32.29200000000001,31.825,32.79,32.242999999999995,31.926,31.9032,28.619
5.5 hr,39.724839393939384,38.49036969696971,39.797145454545465,37.34591818181818,35.76294545454546,35.95537878787881,35.259451515151525,33.050581818181804,33.10516666666665,33.09732424242424,33.902857575757594,33.07917272727272,31.95491818181819,32.35469696969696,32.34915151515153,31.546463636363615,31.803487878787873,28.326830303030313
50 day,53.935199999999995,51.41739999999999,50.894199999999984,50.29659999999999,49.12699999999999,48.578399999999995,47.38039999999998,46.789799999999985,46.14859999999998,44.47299999999999,44.12639999999998,43.75419999999999,43.325199999999995,42.90339999999999,41.926799999999986,40.854,40.55,39.177
50 min,39.40303999999999,38.64436,39.71224000000001,36.52879999999999,35.81735999999998,36.32304,35.09004,33.37037999999998,32.55923999999999,32.878179999999986,34.31908000000003,32.466260000000005,32.009220000000006,32.57736000000001,32.29476000000001,31.78346,31.73606,28.463860000000007
55 min,39.43067272727271,38.632054545454544,39.708654545454564,36.52872727272727,35.81905454545453,36.300763636363634,35.099854545454555,33.37252727272726,32.562345454545444,32.8818,34.32136363636365,32.468509090909095,32.01901818181818,32.565545454545465,32.30814545454547,31.778054545454548,31.731672727272727,28.455527272727277
6 hr,39.77446666666666,38.47500000000002,39.69426666666668,37.440352777777775,35.83449444444444,35.95461666666669,35.25128611111112,32.9919722222222,33.25653055555554,33.08701388888889,33.836066666666696,33.118777777777765,31.98985555555556,32.337666666666664,32.332558333333346,31.545274999999982,31.814036111111115,28.349019444444448
6.5 hr,39.83501025641025,38.48110000000002,39.53053589743591,37.555989743589734,35.981384615384606,35.97903076923078,35.27262051282052,32.96489743589741,33.343271794871775,33.06958974358977,33.77898461538465,33.16031025641025,32.0484153846154,32.29579743589743,32.31223076923079,31.56211538461537,31.829497435897448,28.39672307692307
60 day,56.550166666666655,53.973833333333324,53.47133333333332,52.93716666666666,51.92166666666666,51.48416666666666,50.504666666666644,49.968166666666654,49.37466666666664,47.67783333333332,47.14216666666665,46.59249999999999,46.05233333333332,45.50516666666665,43.90499999999998,42.44666666666665,42.11783333333332,40.65616666666666
70 day,58.62842857142857,56.49242857142856,56.0502857142857,55.57585714285713,54.57542857142856,54.07571428571428,53.05771428571427,52.4952857142857,51.91114285714284,50.3152857142857,49.82371428571427,49.349999999999994,48.903857142857134,48.47142857142856,46.99071428571426,45.48314285714284,44.98971428571427,42.99157142857141
80 day,60.261999999999986,58.19499999999999,57.866625,57.487874999999995,56.65474999999999,56.203499999999984,55.27187499999998,54.81049999999999,54.33874999999998,52.951874999999994,52.46949999999998,51.9935,51.49399999999999,51.02362499999999,49.508124999999986,48.065249999999985,47.60512499999999,45.88337499999999
90 day,61.75722222222222,60.03166666666665,59.64499999999999,59.22733333333333,58.36488888888887,57.92499999999998,57.01277777777776,56.55055555555555,56.09633333333331,54.943,54.551111111111105,54.12866666666667,53.672222222222224,53.23322222222222,51.932999999999986,50.65888888888888,50.20344444444443,48.38255555555555
Tomorrow,40.15,39.89,36.55,37.32,36.77,36.02,33.3,32.46,33.26,34.3,32.33,31.79,32.74,32.71,31.34,31.9,31.68,28.78
