,2018-12-17,2018-12-19,2018-12-20,2018-12-26,2019-01-02,2019-01-03,2019-01-07,2019-01-22,2019-01-23,2019-01-25,2019-01-31,2019-02-01,2019-02-11,2019-02-13,2019-02-14,2019-02-15
5.5 hr,44.79592121212121,45.35244545454544,42.99658484848483,43.34896060606058,44.443915151515135,43.652336363636365,45.63188787878785,48.63269393939391,48.222839393939424,50.56016060606057,51.45782424242425,52.16903030303031,53.673039393939405,55.52893636363635,55.96501818181817,59.44222121212125
50 day,48.747738,48.39667600000001,48.20963400000001,47.749061999999995,47.22468999999999,47.087953999999996,46.87312,46.43302799999999,46.361149999999995,46.33072200000001,46.61139199999999,46.702963999999994,47.555200000000006,47.83559999999999,47.99940000000001,48.217000000000006
50 min,44.131280000000004,44.790600000000005,43.53000000000001,44.21768,44.34299999999999,43.24226000000001,45.74376,48.37974,48.29122,50.70800000000002,51.26915999999999,52.02134,53.76572,55.58773999999998,56.22780000000001,59.850240000000014
55 min,44.137727272727275,44.77636363636364,43.50900000000001,44.19552727272726,44.349727272727264,43.24096363636363,45.73767272727273,48.370345454545465,48.28447272727273,50.71569090909094,51.27358181818181,52.019,53.76010909090909,55.58639999999998,56.231454545454554,59.843981818181824
6 hr,44.82090833333332,45.35238055555555,43.064977777777756,43.256824999999964,44.415938888888874,43.645877777777784,45.616958333333315,48.637855555555525,48.26602222222223,50.50971666666665,51.47076944444447,52.15456388888889,53.66256111111113,55.53479166666665,55.964530555555534,59.31783333333338
6.5 hr,44.81716410256409,45.333448717948706,43.13567692307689,43.19866666666664,44.3951923076923,43.665817948717965,45.60427435897432,48.628912820512795,48.30640256410259,50.467456410256375,51.47401794871795,52.11934102564102,53.646958974358995,55.54228205128206,55.93575128205128,59.275192307692365
60 day,49.87328166666667,49.52515500000001,49.32951833333335,48.660183333333336,47.976115,47.804763333333334,47.549695,46.99159999999999,46.973631666666655,46.96874166666667,47.040568333333326,47.06612833333333,47.31376,47.59335666666666,47.74649333333333,47.954303333333336
70 day,50.712467142857136,50.44231285714286,50.26792142857144,49.64899428571429,49.051098571428575,48.88611285714286,48.60387285714286,47.55459571428571,47.51337999999999,47.509187142857144,47.46934999999999,47.49453857142857,47.72462142857143,47.87827571428571,47.95220142857143,48.08682428571429
80 day,51.57141999999999,51.259857499999995,51.0778075,50.49493,49.888158749999995,49.7646375,49.51568125,48.47638875,48.3816725,48.22251250000001,48.00233625,47.9813225,48.066961250000006,48.149868749999996,48.21343125,48.33409625
90 day,52.00418777777777,51.765240000000006,51.63886555555557,51.237953333333344,50.74326222222223,50.595277777777774,50.31916222222222,49.30104999999998,49.20487777777776,49.04021777777778,48.83552111111111,48.80275444444444,48.581037777777766,48.58884222222221,48.60452111111111,48.6735088888889
Tomorrow,44.61,43.65,42.44,45.3,43.37,45.08,46.24,48.33,49.48,50.58,51.97,52.0,55.33,56.34,59.86,NULL
