,2018-12-20,2018-12-31,2019-01-02,2019-01-03,2019-01-07,2019-01-08,2019-01-18,2019-01-22,2019-01-23,2019-02-11,2019-02-12
2.5 hr,24.14600000000001,22.385593333333333,22.606506666666654,21.84648666666667,23.87613999999999,24.19808666666669,26.963046666666663,25.38992666666667,24.278533333333357,27.869153333333326,27.391020000000026
20 day,27.255000000000003,25.453000000000007,25.124000000000002,24.732000000000003,24.283,24.177,24.339500000000005,24.3945,24.465,26.1555,26.234
20 min,24.253249999999998,22.445000000000004,22.559500000000003,21.817749999999997,23.937500000000004,24.114749999999994,26.938499999999998,25.33375,24.218149999999998,27.690800000000003,27.50265
200 day,36.730925,35.989525,35.858425000000004,35.720974999999996,35.457525000000004,35.33777499999999,34.48547500000001,34.36472500000001,34.24512500000001,32.814024999999994,32.70927499999999
25 min,24.28628,22.451920000000005,22.544200000000004,21.816399999999998,23.943800000000007,24.136799999999997,26.9476,25.31596,24.214119999999998,27.713040000000007,27.49032
3 hr,24.148788888888895,22.384900000000002,22.64044999999999,21.858650000000008,23.88127777777777,24.215850000000035,26.967138888888883,25.43928888888889,24.29814444444447,27.878127777777777,27.374533333333375
3.5 hr,24.164104761904763,22.375342857142872,22.645709523809515,21.871466666666663,23.8856857142857,24.22530000000004,26.984242857142835,25.504766666666672,24.330004761904785,27.891809523809517,27.359895238095262
30 day,28.416999999999998,26.69933333333334,26.42166666666667,26.148333333333333,25.867000000000004,25.736,24.849,24.75466666666667,24.691333333333336,25.38133333333333,25.516666666666666
30 min,24.3014,22.44683333333334,22.52216666666667,21.8235,23.939666666666668,24.153166666666667,26.95233333333334,25.310466666666667,24.21526666666667,27.737066666666674,27.48226666666667
4 hr,24.18445000000001,22.360670833333337,22.655287499999986,21.88038333333332,23.884099999999986,24.23650833333338,27.015808333333307,25.54377916666668,24.33437083333336,27.88091666666666,27.378050000000016
4.5 hr,24.19141851851852,22.340262962962964,22.688444444444425,21.913051851851833,23.8867185185185,24.235455555555582,27.025259259259233,25.58680740740742,24.35566666666669,27.85347037037036,27.40301481481483
40 day,28.55325,27.815500000000004,27.633250000000004,27.4235,27.085500000000007,26.871999999999996,25.866750000000003,25.824750000000005,25.732000000000006,25.11825,25.17125
45 min,24.33315555555555,22.378000000000007,22.503666666666675,21.801666666666662,23.934555555555562,24.159444444444443,26.96984444444445,25.32364444444444,24.25037777777778,27.81231111111112,27.47404444444445
5 day,24.894,23.288,23.354,22.9,22.806000000000004,23.131999999999998,26.176,26.038,25.762,26.52,26.706
5 hr,24.18469000000001,22.33414666666666,22.70933333333332,21.931409999999985,23.88002999999998,24.23491666666669,27.033733333333306,25.642526666666676,24.39338000000001,27.819539999999996,27.43239000000001
5 min,24.240000000000002,22.406,22.651999999999997,21.786,23.939999999999998,24.112,26.969,25.339000000000002,24.279999999999998,27.582,27.587
5.5 hr,24.193621212121215,22.371742424242413,22.690239393939386,21.927263636363627,23.851881818181802,24.21389090909093,27.032145454545432,25.69785757575758,24.43840303030304,27.7893212121212,27.438742424242434
50 day,29.162399999999998,28.120400000000004,27.955400000000004,27.762200000000004,27.460800000000003,27.392599999999998,26.891600000000007,26.80800000000001,26.641600000000007,25.689999999999994,25.623199999999994
50 min,24.326139999999995,22.364800000000006,22.499420000000008,21.798699999999993,23.92910000000001,24.158500000000007,26.97286000000001,25.325479999999988,24.25234,27.825880000000016,27.474100000000004
55 min,24.307399999999994,22.35827272727273,22.497836363636374,21.79927272727272,23.922454545454542,24.154454545454552,26.9725090909091,25.320981818181806,24.251763636363638,27.83043636363638,27.472363636363642
6 hr,24.213155555555563,22.4466611111111,22.670133333333325,21.919052777777775,23.80998333333331,24.21314444444447,27.028622222222197,25.759761111111118,24.48515833333334,27.75710277777777,27.45523333333334
6.5 hr,24.226015384615387,22.53024615384614,22.618456410256393,21.935094871794867,23.759123076923046,24.229274358974372,27.006156410256395,25.834817948717948,24.548338461538474,27.74646666666664,27.496343589743596
60 day,29.761833333333335,28.821333333333335,28.651500000000002,28.46316666666667,28.150500000000005,28.043,27.25983333333334,27.16700000000001,27.11383333333334,26.312166666666663,26.25216666666666
70 day,30.30528571428572,29.39428571428572,29.22814285714286,29.054714285714287,28.808857142857146,28.691428571428574,27.893714285714292,27.800142857142863,27.711142857142864,26.927428571428567,26.91085714285714
80 day,30.537874999999996,29.861250000000002,29.753500000000003,29.628125,29.403500000000008,29.276625000000003,28.503375000000005,28.420000000000005,28.32000000000001,27.347625,27.276249999999997
90 day,30.95411111111111,30.18777777777778,30.057666666666666,29.924888888888887,29.710444444444445,29.600999999999996,29.07233333333334,28.991777777777784,28.881444444444455,27.897999999999996,27.84033333333333
Tomorrow,22.92,22.71,21.78,23.13,24.11,25.06,25.35,24.33,25.12,27.61,27.52
