,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-04,2019-01-07,2019-01-08,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
5 hr,225.78078999999997,229.2665533333333,226.3498099999998,207.54607000000004,204.39292000000003,203.2693133333334,204.29467333333324,196.87209333333342,197.1863233333332,194.89132000000006,202.9397733333335,203.44380333333325,206.40217333333342,207.7821099999999,207.18490666666673,210.0107000000001,210.69866333333317,209.41463666666684,210.34530333333325,210.6512733333332,213.47346666666667,212.59653333333327,211.4582899999999,210.33060666666668,210.0073633333334,209.4391899999999,209.70062333333337,210.84447666666674,210.9123333333333,210.2234299999999,211.63613999999987,211.23002333333335,207.15105333333335,208.00919333333337,211.5018400000001,212.30866999999992,213.88557333333335,216.33085666666668
5 min,226.45339999999996,228.00799999999998,226.57399999999998,207.308,201.964,203.214,201.824,196.6564,194.541,198.52779999999998,202.83200000000002,204.788,206.2,207.2,208.612,210.47200000000004,210.63000000000002,209.08200000000002,210.18580000000003,211.28699999999998,213.31439999999998,211.6506,211.93400000000003,210.23200000000003,209.0172,210.5686,210.32600000000002,211.452,213.887,210.0284,211.41559999999998,211.6742,207.23199999999997,208.702,211.8584,212.974,213.77400000000003,216.456
5.5 hr,225.8172969696969,229.1770636363635,226.37259090909086,207.83213333333336,204.44211212121223,203.2671363636364,204.40927272727268,197.07605454545464,197.35406060606056,194.50487878787885,202.88580909090925,203.27107272727264,206.26044545454562,207.66458484848488,206.97059393939404,210.01585454545466,210.66802424242402,209.46540000000002,210.3234484848483,210.62761515151504,213.36918484848476,212.80671515151502,211.59207575757557,210.29943030303036,210.146096969697,209.45822424242422,209.6723696969697,210.7675515151516,210.89405454545468,210.27677575757565,211.66886666666653,211.2022030303031,207.14507575757577,207.97121212121212,211.55035454545467,212.30123939393926,213.8518515151517,216.32088787878786
50 day,227.377074,227.25153999999998,227.06644799999998,226.556086,225.97963000000004,225.67423,225.235634,224.70689199999998,224.18817600000003,223.009642,221.56881,221.10450400000002,220.08760400000003,219.664594,219.37179600000002,218.913116,218.68607599999999,218.31947600000004,217.60274399999997,217.24063600000002,216.835648,216.36195200000003,215.809242,215.24297199999998,214.67111799999998,214.198196,213.72288,213.28486199999995,212.97948799999998,212.56560599999997,212.06176599999995,211.92274199999991,211.492222,211.21843800000002,210.862048,210.510494,210.174156,209.87446000000003
50 min,226.73402000000002,228.81657999999996,226.29026,206.31210000000007,201.71565999999996,202.96086000000003,201.26262000000003,197.22758000000002,195.28601999999995,196.82468000000006,203.06622,203.69478000000007,205.81007999999997,207.72391999999996,208.7254200000001,210.23992,210.7580800000001,208.9948199999999,210.38739999999999,210.90885999999995,213.42409999999992,211.61873999999992,211.86599999999999,210.41100000000003,209.02235999999994,210.08766,210.25361999999998,211.24890000000002,211.1634,209.72317999999999,211.67102,211.39916000000002,207.02470000000002,208.40712000000008,211.63126000000008,213.19437999999994,214.01376000000005,216.63988000000006
55 min,226.66658181818187,228.8148181818181,226.26930909090905,206.34741818181826,201.80463636363632,202.88367272727274,201.22490909090914,197.14520000000002,195.4152545454545,196.71887272727272,203.0557090909091,203.6693454545455,205.84316363636367,207.71036363636364,208.7028363636364,210.20216363636368,210.7706545454546,208.99096363636355,210.4067272727273,210.89352727272717,213.42570909090904,211.59376363636355,211.84783636363636,210.45589090909093,209.0479636363636,210.05896363636364,210.21969090909093,211.2728181818182,211.07909090909092,209.70809090909088,211.68174545454548,211.38136363636363,207.0451090909091,208.38580000000005,211.61923636363645,213.16279999999992,214.02940000000007,216.64452727272732
6 hr,225.81111944444447,229.1162055555554,226.55926666666662,208.14103611111102,204.5000750000001,203.20476111111117,204.4494527777777,197.2754111111111,197.511988888889,194.21213333333355,202.8939472222223,203.09319722222213,206.04338055555576,207.45297777777773,206.9063472222222,209.8877611111112,210.60930555555524,209.47274999999996,210.3166638888887,210.6247055555554,213.2651666666666,212.9844472222221,211.74869999999984,210.2663833333333,210.26403333333332,209.37043611111113,209.66168611111107,210.6811805555557,210.89163055555574,210.36117222222202,211.6579694444443,211.1816833333335,207.0786583333335,207.90732222222218,211.54760277777785,212.29131666666655,213.75638611111128,216.28373055555554
6.5 hr,225.7779153846154,229.0403179487178,226.7473615384615,208.59559999999996,204.60859230769245,203.26861794871795,204.44421538461526,197.44247435897432,197.58145128205132,194.03182564102585,202.8804564102566,202.8914897435897,205.82325128205147,207.21510256410255,206.97153333333333,209.65473333333347,210.58350256410225,209.4570487179485,210.32840512820496,210.59065384615369,213.22705641025635,213.09294102564095,211.90902307692292,210.26442820512818,210.36780512820513,209.2705000000001,209.6717897435897,210.641571794872,210.88893333333354,210.52705897435882,211.59946666666653,211.2044102564104,207.12553076923095,207.90327435897433,211.46851282051293,212.31084871794857,213.61851025641027,216.18827179487184
60 day,228.24778833333338,228.18712000000002,228.06604166666665,227.62996166666667,227.11243666666672,226.59361500000006,226.0720783333334,225.48619833333336,224.84234500000005,223.5267616666667,221.93605333333335,221.49772666666667,220.91529666666665,220.63873499999997,220.439675,219.98812833333332,219.76427166666664,219.46275000000003,218.8847066666667,218.59107500000002,218.34296333333336,218.08021333333335,217.895055,217.63653333333332,217.49354166666666,217.3086633333333,217.02493666666666,216.74672333333328,216.50694499999997,216.1854083333333,215.3999816666666,214.9312466666666,213.95863999999997,213.539835,213.17968166666662,212.84832333333327,212.59031499999995,212.3581883333333
70 day,229.58324142857143,229.51517857142858,229.40670714285713,229.00790857142857,228.52508714285716,227.98515285714285,227.39826142857143,226.73575142857143,226.06121428571433,224.82313285714292,223.5165228571429,223.10897571428575,222.24944000000005,221.88787714285715,221.53589142857146,220.86301857142857,220.52701714285715,220.14534000000003,219.5388685714286,219.44140000000002,219.30164857142856,219.14153142857143,219.02134285714283,218.86484999999996,218.6177771428571,218.42960428571425,218.18982,217.95333999999997,217.76231285714286,217.49367428571426,217.01020142857138,216.84451428571424,216.47964285714284,216.30000142857142,216.08761571428568,215.87799571428565,215.66944571428564,215.4905071428571
80 day,229.33785499999993,229.37790374999994,229.38115249999996,229.12716875,228.80466,228.48790375,228.12949250000003,227.73323249999999,227.30158250000005,226.41973625000006,225.23640625000002,224.84547750000002,223.88768000000005,223.43102625000006,223.01570875000007,222.33031125000008,222.06926750000002,221.76017375000006,221.19356875,220.9100425,220.67073,220.42168124999998,220.15782374999998,219.8694125,219.5546,219.26384,218.94620250000003,218.68070625000001,218.47500374999998,218.37488374999992,218.0726062499999,217.96133374999994,217.59008625,217.40690750000005,217.22405375,217.04237624999996,216.87258000000003,216.72210250000003
90 day,228.31670222222212,228.39255111111103,228.4464966666666,228.2723422222222,228.0367255555555,227.87944444444437,227.68182888888884,227.4450566666666,227.15245555555552,226.55311555555556,225.76147111111112,225.50283222222222,224.9277277777778,224.6848677777778,224.45664777777785,224.0264944444445,223.78196333333338,223.50356555555558,222.94994888888888,222.62385777777786,222.30235555555558,221.95628000000002,221.6263355555556,221.28960111111115,221.00424,220.7750822222222,220.51484777777782,220.27166555555556,220.06405555555554,219.7988455555555,219.32928666666658,219.08931777777772,218.53700555555557,218.26208333333335,218.0037011111111,217.79014222222222,217.60494222222223,217.59113000000002
Tomorrow,227.1863,225.8998,206.5022,201.6852,202.4431,200.8674,196.5989,193.99599999999998,189.4782,200.5383,204.2084,199.8801,206.4423,207.9882,209.3345,209.9429,208.437,210.4615,210.8903,213.0146,211.8278,211.5186,209.7434,208.5068,210.2022,209.7434,210.7806,214.0518,209.7035,210.6111,211.03,209.05,208.72,211.9,212.8,213.84,216.47,NULL
