,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2019-01-04,2019-01-07,2019-01-11,2019-01-18,2019-01-22,2019-01-23,2019-01-25,2019-02-01,2019-02-05,2019-02-06,2019-02-12,2019-02-14,2019-02-15
2 day,17.07,17.005000000000003,17.060000000000002,16.9,16.555,16.455,16.44,16.105,15.765,15.735,16.035,16.490000000000002,16.365000000000002,16.57,16.884999999999998,17.240000000000002,17.3,17.509999999999998,17.595,17.68,17.799999999999997,17.95
2 hr,16.94825000000001,17.05159166666666,17.11359166666666,16.658475,16.413416666666663,16.508375000000004,16.44454999999999,15.795058333333332,15.725175,15.905000000000006,16.14045000000001,16.44323333333334,16.353608333333334,16.617649999999994,17.054783333333322,17.152150000000006,17.222875,17.585024999999973,17.6135833333333,17.71218333333332,17.91955000000001,17.967266666666667
2.5 hr,16.937660000000005,17.062573333333322,17.120266666666662,16.663793333333338,16.409666666666666,16.510300000000008,16.487473333333327,15.799613333333337,15.740113333333344,15.905013333333345,16.15545333333333,16.425473333333333,16.348566666666667,16.621706666666665,17.055559999999993,17.14233333333334,17.229093333333335,17.587293333333314,17.613386666666646,17.70650666666666,17.915633333333336,17.97383333333333
20 day,17.563319999999997,17.552894999999996,17.523574999999997,17.490184999999997,17.439799999999998,17.379984999999998,17.305705,17.213884999999998,17.11755,16.240500000000004,16.17,16.04,15.985499999999998,16.029,16.097500000000004,16.295,16.723000000000006,16.8705,16.9365,17.187,17.3255,17.410500000000003
20 min,16.988750000000003,17.065749999999998,17.145250000000004,16.6825,16.3737,16.5303,16.343899999999998,15.820249999999998,15.6617,15.89925,16.172750000000004,16.483999999999998,16.38675,16.67925,17.054949999999998,17.099250000000005,17.247149999999998,17.568149999999996,17.623250000000002,17.72025,17.923250000000003,17.982699999999998
200 day,17.058253499999996,17.063606999999994,17.070467499999992,17.075279999999992,17.07775449999999,17.080138499999993,17.080196499999992,17.077456499999993,17.071551999999993,17.017283999999997,17.012497999999997,17.004662999999997,16.989195499999997,16.987109999999998,16.9885485,16.9924365,17.000846499999998,17.003394999999998,17.007043,17.025104999999996,17.036564499999997,17.044131999999998
25 min,16.986400000000003,17.069999999999997,17.144800000000004,16.678360000000005,16.377959999999998,16.52584,16.339119999999998,15.83292,15.65136,15.898599999999997,16.173800000000007,16.478199999999994,16.382,16.671599999999998,17.05132,17.0988,17.23971999999999,17.569679999999995,17.622200000000003,17.719399999999997,17.9288,17.974559999999997
3 hr,16.944055555555558,17.062299999999993,17.111316666666667,16.676927777777777,16.404077777777776,16.519544444444453,16.516549999999995,15.80978333333334,15.747588888888902,15.914883333333334,16.16672222222222,16.41820000000001,16.345277777777778,16.61616666666667,17.048005555555545,17.141294444444448,17.23337222222223,17.58232222222221,17.61347777777776,17.70100555555555,17.91027777777778,17.98588888888889
3.5 hr,16.94709523809523,17.048128571428567,17.102923809523812,16.690985714285716,16.39674761904762,16.519776190476193,16.541780952380947,15.824980952380956,15.755542857142878,15.920671428571419,16.16420476190476,16.413671428571437,16.345000000000002,16.62094285714286,17.03753809523809,17.144214285714284,17.23495238095238,17.581109523809513,17.61122857142856,17.69366666666666,17.912404761904764,17.996033333333333
30 day,17.362143333333332,17.372446666666665,17.372473333333332,17.357509999999994,17.334206666666663,17.320539999999998,17.30088,17.262226666666663,17.23350333333333,16.73313666666667,16.68259,16.524026666666668,16.288,16.25933333333333,16.257666666666665,16.269,16.360000000000003,16.45366666666667,16.518333333333334,16.824333333333335,16.969333333333335,17.050666666666668
30 min,16.988166666666668,17.070166666666662,17.146833333333337,16.678300000000004,16.379799999999996,16.52486666666666,16.341766666666665,15.839266666666667,15.650466666666665,15.895533333333331,16.171766666666674,16.47166666666666,16.377666666666673,16.664166666666667,17.050733333333337,17.095666666666666,17.23219999999999,17.572033333333327,17.621000000000002,17.71916666666667,17.931833333333334,17.969299999999997
4 hr,16.95130833333332,17.03272916666666,17.095516666666672,16.7023,16.40056666666667,16.524266666666673,16.547549999999998,15.843708333333328,15.765345833333356,15.92146249999999,16.162820833333328,16.410333333333345,16.342670833333337,16.624529166666672,17.022958333333328,17.15001666666666,17.239804166666666,17.580762499999995,17.610974999999986,17.69525833333332,17.92115416666666,18.00019166666668
4.5 hr,16.96292222222222,17.018314814814808,17.084077777777775,16.714648148148147,16.408118518518517,16.529692592592603,16.543948148148143,15.8596074074074,15.780362962962991,15.921518518518507,16.163262962962964,16.40757777777779,16.34468888888889,16.629988888888903,17.0225111111111,17.16073703703702,17.243177777777777,17.58436296296296,17.612399999999987,17.699914814814804,17.922970370370347,18.008018518518522
40 day,17.269272499999996,17.265552499999995,17.257362499999996,17.246139999999993,17.233389999999996,17.2226425,17.206652499999997,17.1806475,17.15562,16.872660000000003,16.85167,16.7964475,16.645602500000003,16.621442499999997,16.607525,16.585455,16.520250000000004,16.52025,16.533250000000002,16.597,16.659250000000004,16.696500000000004
45 min,16.983577777777786,17.06388888888888,17.144555555555552,16.685977777777794,16.38948888888888,16.5118,16.35362222222222,15.842177777777778,15.656644444444437,15.883133333333333,16.169733333333337,16.456444444444433,16.37180000000001,16.653,17.05166666666666,17.117044444444442,17.221488888888892,17.573911111111116,17.621444444444446,17.718977777777788,17.934422222222224,17.965866666666678
5 day,17.253999999999998,17.169999999999998,17.074,16.994,16.842000000000002,16.747999999999998,16.616000000000003,16.366000000000003,16.162,15.669999999999998,15.776,16.368000000000002,16.398000000000003,16.454,16.586000000000002,16.936,17.294,17.392000000000003,17.45,17.688,17.74,17.792
5 hr,16.97846333333332,17.012003333333325,17.075369999999996,16.732633333333332,16.413449999999997,16.529570000000017,16.53584666666666,15.88674333333333,15.791363333333356,15.924316666666646,16.160470000000014,16.40450333333334,16.344099999999994,16.63342333333334,17.022876666666654,17.175159999999998,17.242723333333338,17.588109999999997,17.610726666666658,17.706069999999983,17.91726666666665,18.014243333333336
5 min,16.977,17.043,17.095,16.719,16.3748,16.531,16.389999999999997,15.818999999999999,15.6948,15.913,16.164,16.505999999999997,16.41,16.682,17.052,17.094,17.272,17.567,17.624000000000002,17.714,17.897000000000002,18.020999999999997
5.5 hr,17.00064242424241,17.00872727272727,17.068836363636354,16.751193939393936,16.413451515151507,16.527527272727294,16.53043636363635,15.913763636363626,15.814024242424264,15.920939393939378,16.1538787878788,16.396757575757572,16.337390909090903,16.62958484848485,17.022084848484837,17.194836363636362,17.246051515151517,17.58898181818181,17.609918181818177,17.70643939393938,17.912784848484826,18.01886666666667
50 day,17.231064,17.231672,17.23567,17.227092,17.216892,17.203516,17.186743999999997,17.155987999999997,17.125814,16.882922,16.868517999999998,16.839468,16.774728,16.768935999999997,16.779102,16.786728,16.767994,16.757754000000002,16.758020000000002,16.761900000000004,16.755800000000004,16.757400000000004
50 min,16.98382000000001,17.063299999999987,17.141299999999998,16.68878000000002,16.392759999999992,16.508020000000002,16.358159999999994,15.840660000000005,15.662279999999996,15.884919999999997,16.162120000000005,16.455199999999994,16.37144000000001,16.64848,17.049499999999988,17.13092,17.220340000000007,17.57452000000001,17.621400000000005,17.71922000000001,17.935080000000003,17.965580000000013
55 min,16.979472727272736,17.063363636363626,17.138036363636363,16.687709090909106,16.39459999999999,16.50383636363637,16.360054545454542,15.836418181818186,15.669618181818178,15.886290909090905,16.157200000000007,16.454272727272727,16.37121818181819,16.643527272727276,17.049654545454533,17.14150909090909,17.21940000000001,17.574836363636376,17.62063636363637,17.719236363636377,17.93607272727273,17.96525454545456
6 hr,17.016366666666663,17.00759166666667,17.066488888888887,16.77069722222222,16.410247222222218,16.53091388888891,16.52656944444443,15.93626944444443,15.837230555555571,15.917433333333317,16.14473611111112,16.385941666666668,16.326397222222216,16.621269444444447,17.02837499999999,17.218822222222222,17.249855555555555,17.593633333333326,17.60661666666666,17.706658333333312,17.905872222222207,18.021247222222225
6.5 hr,17.02696153846153,17.002030769230764,17.065892307692316,16.788143589743594,16.417710256410256,16.53792051282053,16.530076923076912,15.951625641025625,15.848328205128217,15.905633333333311,16.128923076923083,16.378346153846163,16.323307692307694,16.616864102564097,17.02858461538461,17.237428205128204,17.252276923076924,17.590484615384614,17.602543589743593,17.709858974358962,17.888456410256396,18.021633333333337
60 day,17.2464,17.241431666666664,17.231491666666667,17.219863333333333,17.203235,17.193581666666667,17.179106666666666,17.154139999999998,17.124351666666666,16.920286666666666,16.89999,16.857035,16.799601666666668,16.796764999999997,16.802913333333333,16.815571666666667,16.84027,16.857946666666667,16.875918333333335,16.905858333333335,16.919433333333338,16.92432833333334
70 day,17.295317142857147,17.287647142857143,17.282967142857142,17.273000000000003,17.259172857142858,17.24066142857143,17.222851428571424,17.197897142857137,17.17008857142857,16.95180571428571,16.93497714285714,16.891194285714285,16.843531428571424,16.833991428571426,16.832010000000004,16.84058428571429,16.85293857142857,16.869084285714287,16.882497142857147,16.929345714285716,16.94851714285715,16.963945714285718
80 day,17.360200000000006,17.34500875,17.330443750000004,17.314101250000004,17.29636,17.280365,17.26460125,17.242583749999998,17.218071249999998,17.018494999999994,17.000659999999993,16.941073749999994,16.880704999999995,16.872854999999994,16.86763875,16.870290000000004,16.8871975,16.8926175,16.89800875000001,16.927181250000004,16.946320000000007,16.959571250000003
90 day,17.356407777777786,17.36073444444445,17.362755555555562,17.361215555555564,17.353478888888894,17.341462222222226,17.329100000000004,17.314151111111112,17.29214222222222,17.07831222222222,17.06229666666666,17.01039222222222,16.947884444444437,16.938142222222215,16.93173555555555,16.920599999999997,16.915721111111107,16.920648888888888,16.92234555555556,16.951816666666666,16.969051111111114,16.97817555555556
Tomorrow,17.03,17.09,16.71,16.4,16.51,16.37,15.84,15.69,15.0,16.16,16.31,16.43,16.71,17.06,17.37,17.42,17.46,17.63,17.71,17.7,18.0,NULL
