,2018-12-26,2019-01-02,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-15,2019-02-04,2019-02-05,2019-02-12,2019-02-13,2019-02-15
4.5 hr,34.82852222222226,33.83795555555557,34.855300000000035,37.08897407407406,38.657188888888896,40.70617037037036,42.981525925925915,43.191692592592595,43.0011407407407,43.460377777777765,46.67849629629631,45.75558518518518,50.959748148148144
40 day,34.83875,34.80475,34.532,34.53425,34.545249999999996,34.584,34.70925,35.47624999999999,38.500499999999995,38.71024999999999,39.67249999999999,39.94425,40.775499999999994
45 min,36.032622222222216,33.59873333333333,34.63075555555555,36.86857777777778,39.33173333333333,40.574488888888894,42.17411111111111,43.035688888888885,43.06546666666667,43.67220000000002,46.429199999999994,45.78466666666667,51.24033333333333
5 day,32.897999999999996,36.316,35.248000000000005,35.164,35.57,36.898,38.888000000000005,41.916,42.724000000000004,43.136,43.364,44.208,47.564
5 hr,34.660550000000036,34.0144,34.82066666666669,37.048959999999994,38.56810333333335,40.79703999999999,42.83002666666665,43.14381333333334,42.898386666666624,43.42669666666665,46.845756666666674,45.71548000000001,50.909830000000014
5 min,36.459999999999994,33.977,34.742000000000004,36.9174,39.99999999999999,40.729,42.1884,42.9936,42.9624,43.564,46.402,46.182399999999994,51.428
5.5 hr,34.51149696969699,34.18101212121213,34.846442424242454,36.93254242424243,38.456930303030326,40.83147575757574,42.6983909090909,43.10119393939396,42.8021545454545,43.39786363636362,46.991075757575764,45.68584242424243,50.86544545454548
50 day,35.17439999999999,35.00019999999999,34.886799999999994,34.8948,35.014399999999995,35.1302,35.306999999999995,35.72539999999999,37.66119999999999,37.96239999999998,38.94979999999999,39.13839999999999,39.651999999999994
50 min,35.98971999999999,33.554939999999995,34.64768,36.873720000000006,39.296060000000004,40.568020000000004,42.188100000000006,43.04491999999999,43.08012000000001,43.67170000000001,46.43998,45.772980000000004,51.2499
55 min,35.95165454545454,33.519254545454544,34.654509090909094,36.87716363636364,39.25632727272728,40.5602909090909,42.19070909090909,43.046272727272736,43.08810909090909,43.674090909090914,46.45323636363637,45.76216363636363,51.26518181818181
6 hr,34.41181111111112,34.33515000000001,34.85206666666669,36.80516388888889,38.46002777777779,40.89985555555553,42.57795555555554,43.04031666666667,42.731413888888845,43.40259166666665,47.040930555555555,45.666525000000014,50.845569444444465
6.5 hr,34.32796923076924,34.4488153846154,34.80158974358978,36.704351282051284,38.459515384615386,40.908171794871784,42.40936410256409,42.92271282051282,42.68824615384611,43.40868717948716,47.009253846153854,45.71347948717949,50.88098205128206
60 day,35.22633333333332,35.22699999999999,35.15016666666666,35.18216666666667,35.302499999999995,35.4075,35.508666666666656,35.7005,37.14016666666666,37.25199999999999,37.85649999999998,38.104333333333315,38.67383333333332
70 day,36.387714285714274,36.094,35.791285714285706,35.634857142857136,35.54528571428571,35.51457142857143,35.50542857142857,35.744,37.020999999999994,37.12128571428571,37.78385714285714,37.90685714285713,38.19457142857142
80 day,37.66812499999999,37.217999999999996,36.91524999999999,36.794,36.686249999999994,36.554625,36.486749999999994,36.539875,36.95175,37.0585,37.540124999999996,37.61549999999999,37.941374999999994
90 day,37.79122222222222,37.80566666666667,37.694333333333326,37.64422222222222,37.63766666666666,37.63444444444444,37.61388888888889,37.501,37.25022222222222,37.20211111111111,37.32111111111111,37.43655555555555,37.757666666666665
Tomorrow,35.83,32.25,36.89,40.0,40.64,42.2,42.5,43.96,43.51,42.0,46.22,49.28,NULL
