,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-16,2019-01-22,2019-01-23,2019-01-24,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-08
2 day,15.47,15.225000000000001,15.08,14.895,14.364999999999998,14.045,13.895,13.530000000000001,13.004999999999999,13.129999999999999,13.469999999999999,13.815,14.125,14.58,15.190000000000001,15.530000000000001,15.879999999999999,15.815,15.765,15.915,15.84,15.405000000000001,15.375,15.205,15.09,14.0,13.57,13.735,13.594999999999999,13.71,13.135
2 hr,15.345466666666665,15.108591666666678,15.060158333333327,14.699416666666675,13.972516666666666,14.100183333333343,13.877941666666665,13.182441666666664,12.885133333333332,13.388683333333317,13.48944166666667,14.09530833333333,14.305216666666663,14.887958333333318,15.462166666666661,15.756799999999997,16.204333333333327,15.591800000000013,15.971100000000005,15.78264166666666,15.553291666666667,15.249033333333337,15.386624999999997,15.355316666666658,14.771591666666684,13.337741666666668,13.91159166666667,13.603483333333324,13.553641666666648,13.833491666666676,12.912450000000007
2.5 hr,15.337180000000002,15.132920000000007,15.062466666666653,14.726260000000005,13.992313333333326,14.118746666666679,13.94085333333334,13.176386666666673,12.908699999999994,13.370993333333313,13.49758,14.112706666666666,14.321379999999996,14.885779999999977,15.491426666666664,15.772333333333336,16.217313333333323,15.576140000000004,15.972579999999986,15.782266666666668,15.575706666666665,15.225173333333338,15.361866666666662,15.330586666666653,14.79368000000002,13.345060000000004,13.914426666666671,13.62801999999999,13.55858666666664,13.814526666666671,12.915660000000013
20 day,16.822499999999998,16.6875,16.56,16.429000000000002,16.256,16.0855,15.903,15.741999999999996,15.543999999999997,15.176499999999999,14.632499999999999,14.488499999999998,14.325000000000003,14.254,14.206999999999999,14.2085,14.235,14.243,14.289000000000005,14.481500000000002,14.802499999999998,14.934999999999999,15.071499999999997,15.261500000000002,15.3275,15.3145,15.303,15.275500000000003,15.2045,15.127500000000001,14.760000000000002
20 min,15.3761,15.084,15.141749999999998,14.6572,13.99025,14.120499999999996,13.71675,13.347250000000003,12.72405,13.509749999999997,13.483700000000002,14.060250000000002,14.20475,14.955750000000004,15.364149999999999,15.723499999999998,16.073999999999998,15.53355,15.939649999999997,15.781300000000005,15.47675,15.295599999999999,15.424749999999998,15.44875,14.720250000000002,13.31105,13.881500000000003,13.63355,13.573149999999995,13.864749999999997,12.889000000000001
200 day,18.67967500000001,18.639875000000007,18.60032500000001,18.557225000000006,18.51212500000001,18.46682500000001,18.41852500000001,18.370625000000008,18.321425000000005,18.229225000000007,18.098075000000005,18.058525000000007,18.022125000000006,17.991175000000005,17.962125000000004,17.942800000000005,17.928250000000006,17.905600000000003,17.887250000000005,17.829350000000005,17.772400000000005,17.7525,17.736250000000005,17.698150000000002,17.676450000000006,17.651450000000004,17.628550000000004,17.603350000000002,17.576250000000005,17.552850000000003,17.4757
25 min,15.377519999999999,15.08456,15.133000000000003,14.661360000000002,13.9926,14.111399999999994,13.715559999999998,13.356000000000003,12.730439999999998,13.491999999999997,13.481160000000004,14.059800000000001,14.213120000000004,14.951800000000002,15.370919999999995,15.744999999999997,16.0816,15.53924,15.929919999999997,15.777640000000002,15.477199999999996,15.296680000000002,15.429839999999997,15.432720000000002,14.729599999999998,13.331040000000005,13.882320000000002,13.633839999999998,13.572119999999995,13.867719999999997,12.892400000000002
3 hr,15.354805555555552,15.152066666666672,15.047266666666651,14.75175555555556,14.020394444444424,14.142066666666684,13.969255555555563,13.185400000000005,12.92302777777777,13.352188888888875,13.508094444444449,14.12247777777777,14.335649999999989,14.888166666666638,15.526038888888879,15.776394444444453,16.210683333333314,15.570050000000005,15.982083333333323,15.76767222222222,15.582444444444445,15.195322222222229,15.348277777777781,15.300144444444433,14.800811111111127,13.36989444444445,13.9212,13.65320555555555,13.563366666666644,13.800455555555562,12.91627222222224
3.5 hr,15.378852380952383,15.165071428571432,15.041552380952375,14.765900000000002,14.045804761904735,14.158895238095255,13.994480952380965,13.20400000000001,12.937957142857147,13.34537142857142,13.506590476190475,14.11159047619047,14.35003333333332,14.881952380952352,15.551461904761887,15.780052380952391,16.20587142857141,15.575376190476199,15.999447619047608,15.754485714285714,15.602461904761899,15.168614285714293,15.342185714285725,15.267980952380945,14.80569047619049,13.387490476190477,13.937076190476187,13.670747619047615,13.558095238095222,13.787752380952385,12.91133809523811
30 day,16.787999999999997,16.768666666666665,16.738666666666663,16.699999999999996,16.626333333333328,16.545666666666662,16.44233333333333,16.313333333333325,16.15433333333333,15.846666666666662,15.421666666666662,15.307999999999996,15.198,15.11833333333333,15.079666666666663,15.047333333333333,15.02433333333333,14.981333333333334,14.961000000000002,14.84266666666667,14.754666666666667,14.744333333333335,14.739666666666666,14.738333333333335,14.725666666666665,14.678666666666667,14.672666666666665,14.658,14.652666666666665,14.669999999999998,14.703666666666667
