,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-16,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-28,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
2 day,134.445,135.82999999999998,136.68,133.535,129.385,128.925,129.35500000000002,126.53,122.61500000000001,122.125,127.92000000000002,128.78500000000003,125.405,125.065,130.5,133.29500000000002,135.32,136.74,135.59,139.115,140.39499999999998,138.275,136.77,141.425,146.6,148.135,150.32999999999998,152.005,152.35,151.42000000000002,154.44,157.055,159.785,159.985,160.14499999999998
2 hr,134.2420833333333,138.18131666666667,135.41811666666666,131.6138916666667,127.389725,130.1564833333334,129.78675833333335,124.78421666666662,121.54150000000004,123.59887499999999,128.08310833333337,128.81062500000002,121.9874,128.19764999999995,132.65845000000004,133.69215000000003,136.75117500000005,136.71895833333332,135.638625,140.9710083333333,138.98201666666668,137.08542500000001,135.96740833333337,140.168525,147.49980833333333,148.68644166666667,151.91102499999994,152.55906666666667,151.9874416666667,150.24172499999992,154.5985083333334,159.36339999999998,160.61477499999995,160.22981666666664,160.19857499999998
2.5 hr,134.21764666666664,138.34924666666666,135.51636,131.68096666666668,127.54287999999998,130.09274666666673,130.51777333333337,124.61081333333331,121.77296000000003,123.39306666666666,128.20402666666675,128.91824666666673,122.07941333333333,128.32427333333337,132.72291333333337,133.6295066666666,136.81853333333336,136.6250133333333,135.6081133333334,140.84843999999998,139.10245333333333,137.10126,135.97222000000008,140.2051733333333,147.5346533333333,148.74677333333332,151.96739333333318,152.45647333333338,152.07467333333335,150.22583999999995,154.5793533333333,159.29038000000003,160.55458,160.28051999999988,160.18621333333328
20 day,135.847,136.231,136.4635,136.56699999999998,136.216,136.043,136.1625,136.2565,135.5195,134.1575,131.87650000000002,131.0995,129.791,129.213,128.842,128.90699999999998,128.9945,129.1365,129.66350000000003,130.6395,131.346,132.20549999999997,133.092,134.56750000000002,136.99549999999996,138.35649999999998,139.522,140.507,141.42749999999998,142.11700000000002,143.88850000000002,145.12800000000001,146.3355,147.56750000000002,148.76
20 min,134.14749999999998,138.20405,135.5718,131.28629999999998,126.97375,130.96700000000004,128.2958,124.96399999999998,120.88325,124.9585,128.0495,128.5597,121.86895000000001,127.99449999999997,132.93125000000003,133.70734999999996,136.38385000000002,136.85775,135.34055,141.2181,138.5685,137.28444999999996,135.97815,140.4719,146.92425,148.85070000000002,151.48899999999998,152.22199999999995,152.24615,150.58095,154.465,159.47795000000002,160.24899999999997,160.09474999999998,159.9138
200 day,135.98849999999996,136.09684999999996,136.18734999999995,136.27114999999995,136.32609999999994,136.38464999999997,136.42594999999994,136.36209999999994,136.27714999999995,136.10974999999996,135.98144999999997,135.9475,135.88519999999997,135.8536,135.83949999999996,135.8518,135.89555,135.908,136.11539999999997,136.24484999999996,136.30004999999994,136.35874999999996,136.40114999999997,136.50204999999997,136.71354999999994,136.79599999999994,136.88459999999995,136.98504999999994,137.09599999999992,137.20289999999991,137.50904999999992,137.67184999999992,137.83879999999994,138.00899999999993,138.17544999999993
25 min,134.254,138.21264000000002,135.52144,131.31364,126.94559999999997,130.89140000000003,128.25804,125.14879999999998,120.76892,124.82520000000001,128.10264,128.48615999999998,121.89656000000002,127.97119999999997,132.92280000000005,133.75083999999998,136.44396000000003,136.85948,135.35604,141.22328,138.5504,137.32196,135.96316,140.432,146.95908,148.8578,151.4596,152.27339999999995,152.19943999999998,150.53676,154.43480000000002,159.46316,160.3046,160.12679999999997,159.88244000000003
3 hr,134.3619277777777,138.46316111111113,135.45507777777775,131.81284999999994,127.80754999999992,130.22750000000008,130.9770166666667,124.45346666666663,121.89406111111111,123.1404055555555,128.33377222222228,128.99278888888895,122.28002777777782,128.4307277777778,132.77282222222223,133.54858888888887,136.87201111111114,136.60533333333328,135.5791111111111,140.71389444444438,139.15811111111114,137.14520555555558,135.9706555555556,140.25699444444444,147.59913888888892,148.82171666666667,152.01923333333318,152.3587444444445,152.13348888888893,150.1611722222222,154.60917777777777,159.17532777777785,160.49697777777786,160.36016111111107,160.15434999999997
3.5 hr,134.48288095238092,138.53582380952386,135.42295238095232,131.9533571428571,128.11364285714282,130.29606666666672,131.37959523809528,124.28892857142853,121.91231904761908,123.0012047619047,128.36458571428577,128.90210952380957,122.55859047619053,128.44291904761906,132.80394761904762,133.44533333333337,136.88625238095239,136.62071904761902,135.58022380952383,140.56961904761903,139.24834761904762,137.12378571428573,136.0120238095239,140.27264285714284,147.598980952381,148.85558571428572,152.08677619047603,152.33332857142867,152.13036666666673,150.07853809523806,154.68701428571427,159.05260952380956,160.52465238095246,160.39897142857143,160.1343809523809
30 day,134.9306666666667,135.38600000000002,135.70633333333336,135.78133333333332,135.51600000000002,135.39766666666668,135.21866666666668,134.92633333333333,134.30566666666667,133.24200000000002,133.00166666666667,132.824,132.41766666666666,132.50233333333333,132.82466666666667,132.78566666666669,132.92166666666668,132.852,131.8286666666667,131.50766666666667,131.47166666666666,131.63566666666665,131.67000000000002,132.043,133.34366666666665,133.95999999999998,134.742,135.65833333333333,136.7243333333333,137.799,139.65033333333335,140.72733333333332,141.77466666666666,142.80733333333333,144.09066666666664
