,2018-12-11,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-14,2019-02-15
2 day,503.08500000000004,513.94,502.03,486.78,482.055,477.14,465.9,452.95,448.435,475.06,472.475,458.135,475.06,480.71500000000003,500.05,517.59,511.69500000000005,504.015,515.6949999999999,525.105,538.415,539.665,533.365,533.0350000000001,525.5799999999999,505.885,495.49,501.365,516.06,524.145,522.66,522.4200000000001,515.655,513.2049999999999,523.255,534.585,534.7750000000001,542.29
2 hr,506.03380833333335,510.73013333333324,494.77643333333333,480.05449999999985,482.71815000000004,476.15905,459.77320000000003,450.6797416666666,453.02721666666673,476.48983333333325,465.19959999999986,452.79489166666656,478.3435833333332,481.0029833333332,517.7934083333333,516.8586166666666,503.9508833333336,502.43215000000015,518.5150333333332,530.8007333333334,540.7507416666668,534.1057916666664,527.626975,533.6752833333335,512.1205083333333,498.8044083333334,493.2380999999999,506.34875,522.9078249999999,521.4886166666664,522.7767333333335,518.7202999999998,508.907,515.3801916666664,529.9408083333334,541.9476833333334,536.1719166666666,545.4963500000001
2.5 hr,505.1843199999998,510.89230000000003,495.41916666666674,480.0492466666662,483.01667999999995,478.86140666666654,459.6859333333334,451.66708666666653,452.86042,476.86379333333343,465.93628666666626,453.0695933333332,478.28645999999986,480.78042,517.5573999999999,516.2026399999999,503.88280666666685,502.1742133333337,518.37936,530.21872,540.6433466666666,534.510393333333,527.6266066666666,533.4395200000001,512.2854799999999,499.3233533333332,493.53800666666666,504.55802666666676,522.9730599999999,521.3700533333335,522.5122733333336,518.5829866666664,509.12189333333316,515.0377066666666,529.9491800000002,541.9718733333334,535.8278533333331,545.3769933333332
20 day,507.2969999999999,508.31899999999985,507.97749999999996,506.383,504.57399999999996,504.0365,502.7685,500.48850000000004,495.68950000000007,489.64400000000006,486.40199999999993,481.46750000000003,477.0780000000001,476.64300000000003,477.59299999999985,478.09349999999984,477.57799999999986,477.10099999999994,479.99249999999995,482.58849999999995,486.1199999999999,489.965,494.1614999999999,499.22299999999996,501.8759999999999,503.2775,504.43,505.908,508.7885,512.509,517.269,519.217,518.8294999999998,518.7785,519.9855,521.8354999999999,523.7435000000002,524.4545000000002
20 min,508.31915,512.0466,492.3448,480.5227999999999,484.7214,471.3321499999999,460.0188999999999,447.58305,458.8835499999999,476.84885,464.52985,451.53185,479.5809499999999,482.55105000000003,517.3952000000002,518.6897,504.26165000000003,502.8884000000001,517.0106000000001,532.9454,542.22275,535.3048999999999,528.6771,535.1521,513.52475,496.43820000000005,494.05639999999994,508.65505,522.9344000000001,523.8488,523.4858,521.7133,508.9174999999999,516.413,529.8543000000001,539.93195,536.4471500000002,547.0453
200 day,492.3011000000001,493.15335000000016,493.5517500000002,493.8735500000002,494.1641000000002,494.3912000000002,494.53830000000016,494.6066000000002,494.69390000000016,495.17330000000015,495.32415000000015,495.4410500000002,495.9157500000001,496.26120000000026,496.8510000000002,497.3657500000003,497.8662500000002,498.36785000000026,499.45620000000025,500.11025000000024,500.8134000000002,501.4667000000003,502.13370000000015,502.78605000000016,503.2677500000002,503.6908000000003,504.0868000000004,504.5560500000003,505.0823500000003,505.52835000000033,506.0862500000003,506.4146500000003,506.72225000000026,507.1251500000003,507.5826500000002,508.05025000000023,508.95895000000024,509.46370000000024
25 min,508.48612,511.76344000000006,492.4503199999999,480.2443599999999,484.45720000000006,470.9771999999999,460.60375999999997,447.67560000000003,458.2785199999999,477.10376,464.25104000000005,451.63611999999995,479.51599999999996,482.41956,517.69024,518.53128,504.16380000000004,502.9365600000001,517.1500800000001,532.8551199999999,542.3534,535.0941999999999,528.49772,534.99888,513.3466000000001,496.65936,493.9583199999999,508.62284,522.9252799999999,523.71252,523.39884,521.5982399999999,508.84979999999996,516.51412,529.9655600000001,539.99076,536.4975600000001,546.7433599999999
3 hr,505.03534444444426,510.6294055555554,496.07137777777785,480.38242222222186,483.5358111111111,480.4820777777776,459.742438888889,451.97835000000003,452.5295277777776,477.1568222222221,466.3897999999997,453.3740277777776,478.37217222222205,480.3987888888891,517.2728833333333,516.0825055555557,503.6989833333336,501.87831111111154,518.3834333333334,529.6183555555555,540.5472777777776,534.6080833333331,527.52775,533.093338888889,512.5332222222223,499.34619999999995,493.6828,503.4504555555556,523.0147444444445,521.3939666666669,521.9924444444448,518.6123277777775,509.26422222222214,514.636233333333,529.9561555555555,541.7830166666665,535.6505499999998,545.1229055555555
3.5 hr,504.9124666666665,510.5566285714287,496.4380095238096,480.8692999999998,483.82058571428564,481.84716190476166,459.74174285714304,451.99593333333326,452.4149857142857,477.3290428571427,466.2510428571427,453.99249523809516,478.54265238095223,479.87320952380986,516.962580952381,516.3835666666668,503.54012380952406,501.7541523809527,518.4808666666667,529.0884428571429,540.4763571428571,534.9189761904761,527.2093523809524,533.0209476190477,513.3282047619049,499.38370952380967,494.04353333333336,502.6041714285716,523.0108857142859,521.4953333333335,521.7429000000002,518.6101428571426,509.32003809523786,514.2780095238091,529.7569857142857,541.7355523809523,535.4507047619047,545.1042714285711
30 day,510.53266666666667,512.506,511.527,510.2983333333333,509.16966666666667,507.98699999999997,505.9933333333333,502.67133333333334,496.8143333333334,493.9056666666667,492.31866666666673,490.0420000000001,489.4490000000001,489.1613333333334,490.0793333333333,490.5723333333333,490.8543333333333,490.21466666666663,489.53299999999996,489.0446666666666,489.8356666666666,490.4253333333333,491.70066666666656,492.96766666666656,493.2003333333332,492.5703333333333,491.9703333333334,492.526,493.92233333333337,495.33200000000005,499.11600000000004,501.64700000000005,504.1293333333333,505.9650000000001,507.99033333333335,510.274,514.4273333333334,517.7026666666668
