,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2019-01-03,2019-01-04,2019-01-07,2019-01-18,2019-01-23,2019-01-31,2019-02-04,2019-02-06,2019-02-07
2.5 hr,376.93586000000005,368.77629333333357,363.9484933333332,357.6397999999998,347.34885333333335,357.3553466666666,375.8538533333334,398.3928666666666,397.69665333333336,416.8758866666667,399.5354733333334,426.10020666666674,424.4227466666668,410.5682399999998,406.9422466666665
20 day,363.88250000000005,365.066,366.1515,367.09849999999994,367.16999999999996,367.6645,368.683,369.9205,370.6675,385.2205,390.477,406.938,411.23400000000004,412.91949999999997,413.2635
20 min,374.11609999999996,368.7745000000001,360.09529999999995,356.54085,346.55885,360.67615000000006,374.60724999999996,397.97625000000005,397.0939,417.4733,400.68955000000005,429.8882500000001,424.6543,408.41965000000005,406.05454999999995
200 day,351.01232499999963,351.1877749999996,351.3238749999997,351.4329749999997,351.4520749999997,351.5404749999998,352.2852249999998,352.6036749999998,352.91247499999986,356.2532749999998,357.0420749999997,359.8977749999998,360.9554249999998,361.9430249999998,362.3952749999999
25 min,374.13163999999995,368.32880000000006,360.0088799999999,357.05608,346.22076,360.4492000000001,374.80620000000005,398.08340000000004,397.10424,417.34623999999997,400.5557999999999,429.70700000000005,424.60803999999996,408.75091999999995,405.8713599999999
3 hr,377.6657666666667,369.5341500000001,364.746933333333,358.0651499999999,347.238211111111,356.89156666666656,375.8898500000001,398.5031777777777,397.96374444444444,416.8064777777779,399.3002055555555,425.60490555555583,424.2905611111114,410.85031111111107,407.17647777777745
3.5 hr,378.2206380952379,370.43838095238107,365.6320952380954,358.4023285714284,347.40876666666645,356.37932857142835,376.0208952380952,398.4630999999999,398.12974285714284,416.70827619047645,398.8735,425.2440380952384,424.1049380952383,410.90593333333334,407.24039523809495
30 day,359.821,360.36800000000005,360.5603333333334,360.51433333333335,359.8593333333334,359.3236666666667,363.74033333333335,365.69233333333335,367.67033333333336,381.836,383.5506666666667,391.5523333333334,395.7473333333334,399.973,402.1670000000001
30 min,374.1748666666666,367.9943333333333,359.9967333333333,357.36606666666665,346.1313,360.1971666666667,374.9761666666667,398.20776666666666,397.1412,417.2420666666667,400.45699999999994,429.4898333333333,424.5873666666667,408.9929333333333,405.76029999999986
4 hr,378.94411666666656,371.24991250000016,366.3902708333334,358.2798583333331,347.5924916666665,355.73933333333304,376.15348750000004,398.3555958333331,398.1530375000001,416.75412500000033,398.426375,425.4509416666669,423.96700833333347,410.8508541666667,407.32340416666636
4.5 hr,379.46052962962955,371.85027777777805,366.7982000000001,358.06601481481465,347.9725703703701,354.9283148148146,376.4563074074074,398.23420740740727,398.145951851852,416.5382444444449,398.4928814814816,425.59850370370395,423.9407518518518,411.0167222222222,407.34701481481466
40 day,358.68325000000004,358.1625,357.48500000000007,356.87350000000004,356.70375000000007,357.48300000000006,360.54825000000005,361.61375000000004,362.58925000000005,375.68600000000004,378.8235,388.0737500000001,390.57725000000005,392.40425,393.12600000000003
45 min,374.6903111111111,367.2475333333334,359.95053333333334,357.6475777777777,346.0013333333334,359.4350000000001,375.0641333333333,398.4850444444445,397.49388888888893,417.12137777777775,400.20059999999995,428.8991777777777,424.48428888888884,409.5698222222221,405.7257111111111
5 day,377.77200000000005,376.428,372.976,368.52000000000004,361.206,353.09200000000004,369.08599999999996,375.63800000000003,382.44,409.302,409.34399999999994,419.71400000000006,424.37600000000003,422.48400000000004,417.922
