,2018-12-13,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2019-01-04,2019-01-09,2019-01-14,2019-01-16,2019-01-18,2019-02-08,2019-02-12,2019-02-14,2019-02-15
2 hr,23.840191666666662,22.949458333333332,23.11856666666666,22.90948333333334,21.893649999999997,21.35575,21.391733333333338,22.278475,21.54148333333334,22.490616666666675,22.83447499999999,23.569066666666682,23.607008333333322,22.024275000000014,22.48253333333333
2.5 hr,23.835653333333326,22.97954666666667,23.114333333333327,23.00280666666667,21.89721333333333,21.391326666666675,21.382993333333335,22.261733333333325,21.52182666666667,22.487199999999998,22.83310666666667,23.56273333333335,23.551373333333324,22.030240000000017,22.485659999999996
20 day,24.86828,24.698324999999997,24.614839999999997,24.554709999999996,24.46004,24.30058,22.687040000000003,22.245185,21.926260000000003,21.865925,21.853500000000004,22.903000000000002,23.0515,23.072499999999998,23.069499999999998
20 min,23.919,22.791249999999998,23.1685,22.823000000000008,21.891,21.251100000000005,21.394249999999996,22.31655,21.56650000000001,22.481650000000005,22.825500000000005,23.609249999999992,23.85,21.99355,22.488100000000003
200 day,23.952670999999995,23.959683,23.962479,23.963202000000003,23.961339499999998,23.957159499999992,23.93852549999999,23.95099899999999,23.968143999999985,23.98440549999998,24.006474999999977,24.232012499999975,24.268392499999973,24.291276499999977,24.288162499999977
25 min,23.914199999999997,22.793799999999997,23.167799999999996,22.812200000000004,21.918999999999997,21.227320000000006,21.394799999999996,22.31844,21.56620000000001,22.480680000000007,22.827160000000006,23.602879999999995,23.853199999999998,22.00264,22.485680000000002
3 hr,23.830638888888895,22.98338333333334,23.117194444444447,23.0636,21.910794444444434,21.407188888888886,21.379066666666663,22.245777777777775,21.49898333333334,22.484488888888883,22.83937777777778,23.55372222222224,23.518888888888878,22.049866666666677,22.489905555555556
3.5 hr,23.832861904761906,22.99263333333335,23.1040523809524,23.10461904761906,21.924061904761892,21.420376190476176,21.368980952380955,22.234914285714286,21.479152380952385,22.483442857142833,22.848995238095238,23.53985714285714,23.505961904761904,22.081461904761916,22.487985714285713
30 day,24.844586666666668,24.759776666666667,24.71704,24.64680666666667,24.553546666666666,24.426699999999997,23.491806666666665,23.27376666666667,22.975013333333337,22.757550000000002,22.571693333333336,22.511000000000006,22.649000000000004,22.722333333333335,22.77833333333333
30 min,23.911499999999993,22.795499999999993,23.17133333333333,22.807000000000002,21.93156666666666,21.225433333333342,21.393833333333326,22.320266666666665,21.565000000000005,22.480300000000007,22.82896666666668,23.594899999999992,23.845166666666657,22.006199999999996,22.48556666666667
4 hr,23.831812499999998,23.021812500000014,23.09017083333337,23.133437500000017,21.925016666666654,21.434145833333318,21.366562500000008,22.216662499999998,21.473599999999994,22.481716666666635,22.856141666666662,23.522679166666656,23.49711666666669,22.112458333333347,22.485325000000003
4.5 hr,23.847522222222228,23.042703703703722,23.0742703703704,23.149118518518538,21.922922222222205,21.46723703703702,21.356851851851864,22.205366666666666,21.479692592592603,22.476499999999977,22.858040740740744,23.51048518518518,23.498925925925956,22.133911111111132,22.47283333333334
40 day,24.6245225,24.5596725,24.515197500000003,24.466995000000004,24.4072375,24.353845,23.826605,23.6044375,23.397270000000002,23.282125,23.204105000000006,22.522145000000002,22.48888,22.4692125,22.45825
