,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-26,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-22,2019-01-24,2019-01-25,2019-01-30,2019-02-04
2 day,0.1451,0.1051,0.10055,0.11345,0.09620000000000001,0.08405,0.079,0.16695,0.24985000000000002,0.28985,0.274,0.2459,0.2894,0.35475,0.397,0.3581,0.2982
2 hr,0.14049583333333335,0.09669166666666665,0.1226658333333334,0.10625250000000001,0.08248916666666671,0.07907333333333331,0.08367166666666659,0.2283041666666666,0.26267000000000007,0.2876433333333332,0.2443658333333332,0.24259249999999982,0.2939366666666665,0.3880091666666667,0.4186191666666664,0.3144516666666665,0.27970000000000017
2.5 hr,0.1413573333333333,0.09782533333333333,0.12258533333333342,0.10691733333333334,0.08275800000000008,0.07900599999999995,0.08410533333333331,0.23283666666666666,0.26223399999999997,0.2870766666666664,0.24506733333333325,0.24258133333333304,0.2936839999999999,0.3901013333333335,0.4178413333333331,0.31763399999999997,0.28207200000000027
20 day,0.35652000000000006,0.34245000000000003,0.32996500000000006,0.315655,0.30117000000000005,0.28612000000000004,0.23754,0.18710500000000002,0.18067,0.17717,0.17056999999999997,0.164725,0.20173999999999997,0.22974999999999995,0.24607999999999994,0.28821500000000005,0.29407000000000005
20 min,0.13627000000000003,0.08367500000000001,0.11898,0.10326500000000001,0.08504500000000002,0.08033000000000004,0.08486500000000001,0.23258500000000004,0.2678150000000001,0.29467999999999994,0.24729,0.2422450000000001,0.2969500000000001,0.3798200000000001,0.42432,0.30935,0.273845
200 day,1.5291115000000004,1.5207615000000003,1.5105170000000003,1.4998960000000003,1.4897790000000004,1.4790365,1.4477720000000003,1.409214,1.4009624999999999,1.3928125,1.3841525,1.3758214999999998,1.3045605,1.289258,1.2818800000000001,1.2600855000000002,1.2379195000000003
25 min,0.13704000000000005,0.08513200000000001,0.118644,0.10377600000000001,0.08452000000000001,0.07983200000000001,0.085056,0.22984400000000005,0.2673480000000001,0.293988,0.24745999999999999,0.24239600000000014,0.29647200000000007,0.3794440000000001,0.424292,0.309196,0.27400800000000003
3 hr,0.14197499999999996,0.09822833333333342,0.1221627777777779,0.10748499999999997,0.08307444444444452,0.0788494444444444,0.08560999999999995,0.23453055555555558,0.26306111111111097,0.28722111111111104,0.24608277777777784,0.24261888888888855,0.29462222222222206,0.3926866666666668,0.4172255555555554,0.32469055555555537,0.28456444444444456
3.5 hr,0.14234809523809527,0.09864571428571438,0.12189952380952394,0.10812619047619047,0.08349857142857146,0.07889857142857137,0.08700238095238093,0.23038619047619055,0.2635357142857142,0.28764190476190477,0.2464938095238095,0.2426423809523808,0.29388238095238095,0.3986542857142855,0.4161442857142854,0.32902333333333317,0.28727809523809533
30 day,0.3800266666666668,0.3688033333333334,0.35700666666666675,0.3455333333333334,0.3330833333333334,0.3209733333333334,0.28659000000000007,0.2546233333333333,0.25088,0.2483366666666667,0.24385333333333334,0.23866000000000004,0.19510000000000005,0.19494999999999998,0.19746333333333332,0.22349333333333338,0.24360333333333334
30 min,0.13754333333333338,0.08648000000000003,0.11824666666666667,0.10369999999999999,0.08392333333333335,0.07940333333333335,0.08537,0.22731666666666672,0.2670433333333334,0.29327666666666663,0.24763666666666667,0.24249000000000012,0.2964466666666668,0.37781333333333333,0.42426,0.3092166666666667,0.27395
4 hr,0.142705,0.09910833333333345,0.12199500000000013,0.10865208333333333,0.08351625000000004,0.07907750000000006,0.08784249999999995,0.22299041666666672,0.2657020833333332,0.2871666666666667,0.24820583333333343,0.24334916666666653,0.29305041666666704,0.40615541666666655,0.4159629166666664,0.33636624999999987,0.28911208333333327
