,2018-12-11,2018-12-14,2018-12-17,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-09,2019-01-11,2019-01-14,2019-01-18,2019-01-24,2019-01-25,2019-01-30,2019-02-01,2019-02-04,2019-02-05,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14
3.5 hr,313.12297619047627,310.0403142857143,308.86039523809524,304.2502523809524,294.5526523809522,285.8664380952379,279.5309761904762,287.4648714285714,289.8910190476192,302.95606666666663,302.62030952380957,297.88726666666656,292.6522619047621,292.1020476190473,291.07706190476193,285.3676000000001,289.5749285714287,291.16071428571433,339.5948714285716,338.6506904761907,337.92343809523817,342.4776428571428,338.3403714285713,340.97121904761923,338.7311190476191,341.9918
30 day,319.8540000000001,319.862,319.3520000000001,318.0956666666668,317.08833333333337,315.6073333333334,312.72266666666667,307.90866666666676,306.5406666666667,305.8453333333334,305.7273333333333,305.1733333333333,303.718,302.48066666666665,297.99899999999997,294.63100000000003,293.9266666666666,291.689,293.5820000000001,294.8953333333333,296.5703333333334,302.8713333333333,304.641,306.485,308.269,310.0559999999999
30 min,313.7364666666666,309.0735333333334,308.54516666666666,297.9885666666667,292.01806666666664,284.2063,282.2273666666668,287.1944666666667,288.2527,302.28020000000004,302.07893333333334,297.4362000000001,293.95533333333333,291.4148333333333,291.1088333333334,287.3448333333333,290.58396666666675,289.9245666666667,339.5605333333333,337.04513333333335,339.8492333333333,343.0857666666667,338.25780000000003,340.65266666666673,338.83233333333334,342.46343333333334
4 hr,313.2367125,310.1474083333334,308.9750333333333,304.7807166666667,294.69354166666653,286.3020958333332,279.55755833333336,286.9990208333333,290.11081666666666,302.7506583333334,302.71375000000006,297.9785083333333,292.49043750000004,292.136483333333,291.13284999999996,285.29964166666673,289.4866750000003,291.08804166666664,339.5480958333335,338.6984333333334,337.5968416666667,342.37881250000004,338.62942083333314,340.9913916666665,338.6216916666666,341.8418125
4.5 hr,313.45880370370367,310.38661851851845,309.0722518518518,305.00122592592595,294.77809629629604,287.05614444444444,279.34868148148155,286.7172962962963,290.3628407407409,302.3590444444444,302.7165000000002,298.0839925925925,292.4409185185187,292.26372962962927,291.1660148148148,285.1773962962966,289.44658148148176,290.96784814814816,339.65478148148145,338.78792962962973,337.2839296296296,342.34491851851845,338.88112592592563,341.00229999999993,338.6188888888888,341.52022592592607
40 day,318.57975000000005,318.15275,317.93225000000007,316.9967500000001,316.31075000000004,315.7577500000001,314.49275000000006,311.51150000000007,310.75225000000006,310.237,309.757,308.39050000000003,306.95925,306.13425,303.18925,301.61675,301.0712500000001,298.4187500000001,298.82125000000013,299.2002500000001,299.54825000000017,301.7557500000001,302.2817500000001,303.0047500000001,303.73150000000004,304.5395
45 min,314.0436,309.34673333333336,308.6088888888889,298.1344888888889,292.86568888888894,284.1917555555556,281.05193333333347,287.21664444444446,288.2968222222222,302.03608888888897,302.3649111111111,297.63968888888894,293.6537777777778,291.6488,290.97126666666674,287.3093333333333,290.50435555555566,290.62957777777774,339.37328888888885,337.34066666666666,339.85793333333334,343.0220222222223,338.26057777777777,340.69382222222225,339.0107777777778,342.3562888888889
5 day,318.5,313.172,311.9,306.742,302.536,297.438,286.24000000000007,285.694,286.054,289.656,292.934,298.012,297.406,295.424,293.03599999999994,288.57800000000003,287.97799999999995,289.908,308.51000000000005,317.738,327.922,341.976,342.14,342.08000000000004,341.076,340.494
5 hr,313.6655099999998,310.6299766666666,309.2540299999999,305.11532,294.90022666666636,287.67109333333343,278.9750666666668,286.52196000000004,290.53180666666674,302.1321500000001,302.66866333333354,298.1149133333332,292.4280633333335,292.4208533333329,291.30179,285.0922400000003,289.41804000000025,290.9265766666667,339.7499333333332,338.95430000000005,337.02880666666675,342.27404999999993,339.14730999999966,340.99413999999996,338.8110666666665,341.18589000000014
5 min,312.49799999999993,309.626,308.918,297.684,290.59900000000005,284.53000000000003,285.312,287.87019999999995,287.63599999999997,302.8284,301.63620000000003,297.06,294.65,291.19,290.988,287.78599999999994,291.293,289.22200000000004,341.2396,336.93600000000004,340.668,343.684,337.79200000000003,340.40700000000004,338.404,341.731
