,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-19,2019-01-04,2019-01-07,2019-01-08,2019-01-10,2019-01-11,2019-01-16,2019-01-17,2019-01-22,2019-01-23,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-02-01,2019-02-05,2019-02-06,2019-02-08,2019-02-13
5 hr,35.05062666666671,35.481653333333334,33.83719999999999,33.27189000000001,33.362349999999985,33.37622333333333,32.877763333333306,32.885740000000006,32.58045999999999,32.27858666666666,32.77396666666666,31.980173333333344,31.986133333333328,32.01859333333332,31.801056666666646,32.13895333333332,32.49497000000001,32.16761666666668,32.14907666666667,31.404176666666658,31.47400000000002,31.147023333333333,31.0109733333334,30.63048666666668
5 min,35.102999999999994,35.288,33.626999999999995,33.156000000000006,33.325599999999994,33.133,32.28099999999999,32.548,32.74399999999999,32.527,32.57099999999999,31.935999999999996,31.883000000000003,31.936,31.986,32.284000000000006,32.469,32.024,32.201,31.25,31.519,31.131999999999998,30.847,30.805
5.5 hr,35.20454848484854,35.45946969696971,33.87074242424244,33.324930303030314,33.34646363636362,33.38771515151514,32.86120909090905,32.88720303030303,32.508015151515124,32.260757575757566,32.794487878787876,31.97950909090908,31.99093636363634,32.038021212121194,31.81331212121211,32.113075757575736,32.50172121212122,32.16051212121214,32.132993939393934,31.430254545454535,31.49332727272727,31.12872727272729,31.01947878787885,30.63793636363638
50 day,38.45879999999999,38.361999999999995,38.23479999999999,38.086999999999996,37.96019999999999,37.702999999999996,36.678999999999995,36.57939999999999,36.484199999999994,36.2822,36.1556,35.681999999999995,35.5218,35.199799999999996,35.026599999999995,34.6652,34.5182,34.373400000000004,34.2534,34.02420000000001,33.842800000000004,33.717200000000005,33.5048,33.127
50 min,35.02470000000001,35.51877999999999,33.69654000000001,33.122500000000024,33.24144000000001,33.096239999999995,32.446360000000006,32.53169999999998,32.774,32.402979999999985,32.43525999999998,31.992340000000002,31.972599999999996,31.977440000000005,31.910940000000018,32.23892000000001,32.486059999999995,32.13220000000002,32.19885999999999,31.233199999999997,31.54520000000001,31.12324000000001,30.909220000000023,30.80574
55 min,35.00112727272728,35.52507272727272,33.697254545454555,33.1251272727273,33.24267272727274,33.08058181818182,32.463763636363645,32.532581818181804,32.77027272727273,32.3868909090909,32.43432727272726,31.99767272727273,31.97481818181818,31.976945454545458,31.91267272727275,32.239200000000004,32.48096363636364,32.136909090909114,32.20496363636363,31.235890909090905,31.54163636363637,31.13185454545455,30.90707272727275,30.799854545454544
6 hr,35.33385000000005,35.451761111111125,33.95866666666668,33.379391666666685,33.313338888888886,33.41271388888886,32.84283611111107,32.862422222222214,32.4495972222222,32.23864999999998,32.78672222222222,31.98081944444443,32.010580555555535,32.04796388888888,31.829811111111102,32.09598055555552,32.461830555555565,32.15959722222224,32.106711111111096,31.476599999999987,31.515877777777767,31.12113611111113,31.03632777777783,30.64556944444446
6.5 hr,35.470082051282105,35.440597435897445,34.064102564102576,33.41195641025644,33.290764102564104,33.45278461538457,32.84830769230766,32.81054102564102,32.43846410256409,32.21453589743589,32.75407692307692,31.980417948717918,32.01541282051282,32.06064615384615,31.84540769230769,32.076771794871746,32.40992051282052,32.15213846153848,32.10102307692306,31.53754358974358,31.52970512820513,31.132110256410282,31.054458974359015,30.680564102564126
60 day,38.91399999999999,38.81549999999999,38.682666666666655,38.53816666666666,38.393999999999984,38.15583333333333,36.897166666666664,36.774333333333324,36.670833333333334,36.49766666666667,36.40433333333333,36.13049999999999,36.06016666666666,35.88683333333333,35.79549999999999,35.58483333333333,35.47766666666667,35.33983333333333,35.21933333333333,34.94533333333334,34.65333333333333,34.49400000000001,34.17133333333334,33.77033333333334
70 day,39.77199999999999,39.61085714285714,39.401571428571415,39.19414285714285,39.0492857142857,38.75471428571428,37.40042857142856,37.292285714285704,37.16542857142856,36.93385714285714,36.827857142857134,36.48257142857142,36.365714285714276,36.15285714285713,36.05385714285713,35.86914285714284,35.78771428571428,35.70485714285713,35.62414285714284,35.48914285714285,35.32028571428571,35.229142857142854,35.030142857142856,34.66728571428572
80 day,40.56587499999999,40.42312499999999,40.249374999999986,40.067874999999994,39.91687499999999,39.59224999999999,38.018874999999994,37.86612499999999,37.72224999999999,37.465875,37.359749999999984,36.99262499999998,36.88262499999998,36.68374999999998,36.563749999999985,36.329374999999985,36.23537499999999,36.136124999999986,36.03137499999998,35.82787499999999,35.623874999999984,35.525999999999996,35.34824999999999,35.09049999999999
90 day,41.24488888888888,41.139222222222216,41.00155555555554,40.8541111111111,40.70622222222221,40.383777777777766,38.8451111111111,38.706666666666656,38.565888888888885,38.29411111111111,38.1401111111111,37.65799999999999,37.52977777777777,37.26144444444443,37.125555555555536,36.869444444444426,36.77399999999999,36.66788888888887,36.56055555555554,36.3471111111111,36.15455555555554,36.03788888888888,35.81522222222221,35.511777777777766
Tomorrow,35.2,33.61,33.22,33.4,33.74,32.77,32.51,32.74,33.71,32.62,32.27,31.92,32.55,32.02,31.49,32.52,32.03,32.23,32.3,31.6,31.12,31.54,31.15,30.29
