,2018-12-14,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2019-01-02,2019-01-03,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-16,2019-01-18,2019-01-29,2019-02-01,2019-02-04,2019-02-11,2019-02-13,2019-02-14
40 day,7.667250000000001,7.539500000000001,7.477000000000001,7.408250000000001,7.345000000000001,7.233,7.120749999999999,7.091749999999999,7.04725,7.043000000000001,7.0605,7.07,7.127249999999998,7.1572499999999994,7.34825,7.539,7.6175,7.9647499999999996,8.09,8.177000000000003
45 min,6.9017777777777765,6.188488888888888,6.406955555555556,6.153133333333335,5.9372,6.400844444444446,6.980488888888892,7.0957333333333334,7.714155555555558,8.19237777777778,8.51544444444444,7.984177777777779,7.979466666666667,8.349311111111112,9.261422222222217,10.006422222222229,10.168533333333333,9.35262222222222,9.523822222222217,9.968244444444442
5 day,6.884,6.69,6.553999999999999,6.409999999999999,6.228,6.198,6.769999999999999,6.894,7.282000000000001,7.542,7.8340000000000005,8.001999999999999,7.792,8.0,8.505999999999998,9.628,9.870000000000001,9.668000000000001,9.454,9.524000000000001
5 hr,6.969260000000004,6.331026666666685,6.480163333333331,6.094729999999981,5.989953333333335,6.216190000000004,7.011663333333325,7.2217433333333245,7.692783333333341,8.100166666666656,8.50487666666666,7.970973333333338,8.015836666666665,8.276489999999999,9.240646666666658,9.96330333333333,10.188536666666659,9.326066666666652,9.53001999999999,9.896643333333342
5 min,6.890000000000001,6.172,6.4033999999999995,6.103,5.9468000000000005,6.508,7.052,7.1056,7.8180000000000005,8.238,8.549000000000001,7.996,7.946599999999999,8.347,9.256,10.096,10.217000000000002,9.4,9.517999999999999,9.978000000000002
5.5 hr,6.988451515151512,6.340948484848503,6.46350909090909,6.108839393939378,6.000151515151512,6.196190909090913,7.003724242424229,7.21167878787878,7.689387878787883,8.094069696969688,8.48918787878788,7.988369696969699,8.017406060606064,8.262509090909091,9.23553636363635,9.96276666666666,10.177342424242418,9.320290909090899,9.53420909090908,9.888054545454564
50 day,7.9198,7.8132,7.7627999999999995,7.6978,7.644399999999999,7.545799999999999,7.375000000000001,7.340800000000001,7.290200000000001,7.285200000000002,7.281400000000002,7.2760000000000025,7.259200000000001,7.2584,7.349799999999999,7.4856,7.541999999999999,7.792600000000001,7.875600000000002,7.931000000000003
50 min,6.901199999999998,6.189139999999998,6.409760000000001,6.153080000000001,5.94368,6.389360000000002,6.982140000000003,7.09796,7.712640000000002,8.183740000000006,8.512399999999998,7.980160000000001,7.980120000000002,8.35248,9.261579999999995,10.003120000000006,10.16928,9.3469,9.523539999999992,9.965539999999997
55 min,6.898909090909089,6.187672727272727,6.40778181818182,6.149890909090911,5.950599999999998,6.379418181818182,6.9850363636363655,7.100872727272726,7.706,8.178109090909096,8.511381818181817,7.9764181818181825,7.980018181818185,8.35461818181818,9.263436363636357,9.998818181818187,10.170254545454544,9.34170909090909,9.522127272727266,9.966309090909089
6 hr,6.996424999999998,6.350700000000011,6.447558333333335,6.124699999999988,6.006463888888887,6.17700555555556,6.994511111111101,7.204324999999997,7.678744444444451,8.089430555555547,8.480394444444443,8.001894444444444,8.025938888888891,8.251958333333333,9.231663888888873,9.966152777777769,10.179397222222216,9.323447222222216,9.537366666666662,9.876447222222236
6.5 hr,6.991266666666662,6.361379487179498,6.4287871794871805,6.143189743589735,6.010776923076927,6.165323076923087,6.978348717948711,7.200866666666664,7.661807692307693,8.076935897435888,8.471238461538462,8.011333333333335,8.021812820512821,8.24694358974359,9.216769230769215,9.971982051282039,10.178861538461529,9.330194871794863,9.52820512820512,9.872356410256423
60 day,8.094833333333332,8.003333333333334,7.9575,7.9076666666666675,7.8665,7.7813333333333325,7.631333333333333,7.602,7.551166666666666,7.544666666666668,7.544666666666668,7.529500000000001,7.448000000000002,7.429166666666669,7.4430000000000005,7.5311666666666675,7.562166666666667,7.711333333333333,7.791333333333333,7.826000000000001
70 day,8.17657142857143,8.130285714285714,8.105714285714285,8.070285714285713,8.02942857142857,7.963142857142855,7.822000000000001,7.795142857142858,7.752,7.7492857142857146,7.7478571428571446,7.733714285714288,7.657285714285714,7.640142857142858,7.602428571428573,7.646285714285716,7.665142857142859,7.752571428571428,7.796142857142858,7.820428571428573
80 day,8.283750000000001,8.233875000000001,8.202625000000001,8.166500000000001,8.123875,8.039625,7.944250000000001,7.932250000000001,7.9137499999999985,7.906499999999999,7.907000000000001,7.8987500000000015,7.820875000000001,7.801500000000002,7.772000000000001,7.804000000000002,7.820250000000003,7.8717500000000005,7.878625000000001,7.891875000000001
90 day,8.169,8.153777777777778,8.145888888888889,8.135777777777777,8.123222222222221,8.10322222222222,8.05877777777778,8.046333333333335,8.016666666666667,8.004111111111113,7.993222222222225,7.973888888888891,7.929666666666668,7.934111111111112,7.903333333333334,7.93177777777778,7.94366666666667,7.992777777777778,7.995444444444445,8.005333333333333
Tomorrow,6.52,6.39,6.1,5.97,6.01,6.54,7.14,7.4,8.25,8.57,7.98,7.59,8.26,8.18,9.79,10.21,10.25,9.18,10.0,10.31
